windows_min_Home Sweet Home : Survive,windows_min_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive
процессор,i3+,процессор,i5+,процессор,i3+,процессор,i5+,процессор,i3+,процессор,i5+
оперативная память,6 gb,оперативная память,8 gb,оперативная память,6 gb,оперативная память,8 gb,оперативная память,6 gb,оперативная память,8 gb
видео карта,gtx 460+ hd 5770+,видео карта,gtx 760+ hd7000+,видео карта,gtx 460+ hd 5770+,видео карта,gtx 760+ hd7000+,видео карта,gtx 460+ hd 5770+,видео карта,gtx 760+ hd7000+
directx,version 10,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,6 gb,диск,8 gb,диск,6 gb,диск,8 gb
диск,6 gb,диск,8 gb,,,,,дополнительно,must have opencl compatible cpu or gpu (dx10.1),дополнительно,must have opencl compatible cpu or gpu (dx10.1)
,,,,,,,,,,,
windows_min_Dishonored,windows_min_Dishonored,windows_req_Dishonored,windows_req_Dishonored
операционная система,windows vista / windows 7,операционная система,windows vista / windows 7 (enhanced for os)
процессор,3.0 ghz dual core,процессор,2.4 ghz quad core (enhanced for multi-core s)
оперативная память,3 gb,оперативная память,4 gb
видео карта,directx 9 compatible with 512 mb video (nvidia geforce gtx 460 / ati radeon hd 5850),видео карта,directx 9 compatible with 768 mb video (nvidia geforce gtx 460 / ati radeon hd 5850)
диск,9 gb,диск,9 gb
,,,
windows_min_Seen,windows_min_Seen
операционная система,windows 7 / 8 / 10s
оперативная память,4 gb
видео карта,1gb of memory or higher
directx,version 11
,
windows_min_X Rebirth,windows_min_X Rebirth,windows_req_X Rebirth,windows_req_X Rebirth,macos_min_X Rebirth,macos_min_X Rebirth,macos_req_X Rebirth,macos_req_X Rebirth,linux_min_X Rebirth,linux_min_X Rebirth,linux_req_X Rebirth,linux_req_X Rebirth
операционная система,"windows 10 (), windows 8 (), windows 7 sp1 (), vista sp2 (), xp sp3 ()",операционная система,"windows 10 (), windows 8 (), windows 7 sp1 ()",операционная система,os x 10.9 mavericks,операционная система,os x 10.10 yosemite,операционная система,steamos () or ubuntu 14.04 (),операционная система,steamos () or ubuntu 14.04 ()
процессор,intel i-series at 2ghz or amd equivalent,процессор,intel i5 (quad) or i7 at 2.5ghz or amd equivalent,процессор,intel i-series at 2ghz or amd equivalent,процессор,intel i5 (quad) or i7 at 2.5ghz or amd equivalent,процессор,intel i-series at 2ghz or amd equivalent,процессор,intel i5 (quad) or i7 at 2.5ghz or amd equivalent
оперативная память,4 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,12 gb,оперативная память,8 gb,оперативная память,12 gb
видео карта,"nvidia gt400 series with 512mb, ati 4870hd with 512mb",видео карта,"nvidia gt500 series with 1gb, ati 5870hd with 1gb",видео карта,intel iris pro,видео карта,"nvidia gt750m, nvidia gt600 series with 1 gb, amd 6850hd with 1 gb",видео карта,"vendor proprietary drivers, nvidia gt500 series with 1gb, ati 5870hd with 1gb",видео карта,"vendor proprietary drivers, nvidia gt600 series with 1gb, ati 6850hd with 1gb"
directx,version 9.0c,directx,version 9.0c,диск,8 gb,диск,12 gb,диск,8 gb,диск,12 gb
диск,8 gb,диск,12 gb,звуковая карта,openal soft compatible,звуковая карта,openal soft compatible,звуковая карта,openal soft compatible,звуковая карта,openal soft compatible
,,,,,,,,,,,
windows_min_Devil Daggers,windows_min_Devil Daggers
операционная система,10.9
процессор,2.0 ghz dual core
оперативная память,500 mb
видео карта,dedicated gpu opengl 3.3 support
,
windows_min_VVVVVV,windows_min_VVVVVV,macos_min_VVVVVV,macos_min_VVVVVV,linux_min_VVVVVV,linux_min_VVVVVV
операционная система,windows xp,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3,",операционная система,ubuntu 12.04 lts
процессор,2 ghz,процессор,intel mac 2 ghz,процессор,2 ghz
оперативная память,256mb,оперативная память,256mb,оперативная память,256mb
видео карта,direct x9.0c compatible card,диск,42mb,видео карта,—
directx,directx 9.0c,звуковая карта,standard audio,диск,42mb
диск,42mb,,,звуковая карта,standard audio
,,,,,
windows_min_EVERSPACE™ 2,windows_min_EVERSPACE™ 2,windows_req_EVERSPACE™ 2,windows_req_EVERSPACE™ 2
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-2500k@2.9ghz or amd fx 6300@2.9ghz,процессор,intel core i7-4770k@3.5ghz or ryzen 5 1500x@3.5ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 780 (3 gb) or amd radeon r9 290 (4gb),видео карта,nvidia geforce gtx 1060 (6 gb) or amd radeon rx 580 (8gb)
directx,version 11,directx,version 12
диск,30 gb,диск,30 gb
,,,
windows_min_Never Alone (Kisima Ingitchuna),windows_min_Never Alone (Kisima Ingitchuna),windows_req_Never Alone (Kisima Ingitchuna),windows_req_Never Alone (Kisima Ingitchuna),macos_min_Never Alone (Kisima Ingitchuna),macos_min_Never Alone (Kisima Ingitchuna),macos_req_Never Alone (Kisima Ingitchuna),macos_req_Never Alone (Kisima Ingitchuna),linux_min_Never Alone (Kisima Ingitchuna),linux_min_Never Alone (Kisima Ingitchuna),linux_req_Never Alone (Kisima Ingitchuna),linux_req_Never Alone (Kisima Ingitchuna)
операционная система,windows 7,операционная система,windows 7,операционная система,10.8.5 (mountain lion) (32-bit),операционная система,10.10.2 (yosemite) (32-bit),операционная система,ubuntu 14.04 (),операционная система,current version of steamos
процессор,intel core 2 duo e4500 @ 2.2ghz or amd athlon 64 x2 5600+ @ 2.8 ghz,процессор,intel core 2 quad q9550 @ 2.8 ghz or amd phenom ii x4 955 @ 3.2 ghz,процессор,1.7 ghz intel core i5,процессор,2.7 ghz intel core i5,процессор,intel core 2 duo e4500 @ 2.2ghz or amd athlon 64 x2 5600+ @ 2.8 ghz,процессор,intel core 2 quad q9550 @ 2.8 ghz or amd phenom ii x4 955 @ 3.2 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 240 gt or radeon hd 6570,видео карта,geforce gtx 650 ti or radeon hd 7790,видео карта,intel hd graphics 4000 series,видео карта,intel iris pro,видео карта,geforce 440 gt (1gb) or radeon hd 6570 (2 gb),видео карта,geforce gtx 650 ti or radeon hd 7790
directx,version 9.0c,directx,version 9.0c,диск,3 gb,диск,3 gb,диск,4 gb,диск,4 gb
диск,3 gb,диск,3 gb,дополнительно,"xbox 360, playstation 3 gamepad required for local co-op. gamepads may require third party driver.",дополнительно,"xbox 360, playstation 3 gamepad required for local co-op. gamepads may require third party driver.",дополнительно,xbox 360 gamepad required for local co-op. version of linux is required to play.,дополнительно,xbox 360 controller recommended
,,,,,,,,,,,
windows_min_Blazing Sails,windows_min_Blazing Sails,windows_req_Blazing Sails,windows_req_Blazing Sails
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3,процессор,intel core i7
