windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
видео карта,nvidia geforce gtx 970 / amd r9 390,видео карта,nvidia geforce gtx 1070 / amd rx 590
диск,11 gb,диск,Ч
,,,
windows_min_Sherlock Holmes: The Devil's Daughter,windows_min_Sherlock Holmes: The Devil's Daughter,windows_req_Sherlock Holmes: The Devil's Daughter,windows_req_Sherlock Holmes: The Devil's Daughter
операционна€ система,windows 7 / windows 8.1 / windows 10,операционна€ система,windows 7 / windows 8.1 / windows 10
процессор,intel core i3 3.6ghz / amd fx series 4.2ghz quad-core,процессор,intel core i5 2100 3.1 ghz / amd a8-7600 3.1 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,1024 mb 100% directx 11 compatible amd radeon hd 7790 / nvidia geforce 460 gtx,видео карта,2048mb 100% directx 11 compatible ati r9 270x / nvidia geforce 760 gtx or higher
directx,version 11,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_Crysis 2 - Maximum Edition,windows_min_Crysis 2 - Maximum Edition
операционна€ система,"windows xp, vista or windows 7, with the latest service pack"
процессор,"intel core 2 duo at 2ghz, or amd athlon 64 x2 2ghz,"
оперативна€ пам€ть,2gb
диск,9gb
видео карта,"nvidia 8800gt with 512mb, ati 3850hd with 512mb"
звукова€ карта,directx compatible sound card
,
windows_min_Call of DutyЃ: Ghosts,windows_min_Call of DutyЃ: Ghosts,windows_req_Call of DutyЃ: Ghosts,windows_req_Call of DutyЃ: Ghosts
,,,
windows_min_SYNTHETIK: Legion Rising,windows_min_SYNTHETIK: Legion Rising,windows_req_SYNTHETIK: Legion Rising,windows_req_SYNTHETIK: Legion Rising
операционна€ система,"windows xp sp3, vista or higher",операционна€ система,"windows xp sp3, vista or higher"
процессор,intel celeron g1820 2.7 ghz / amd fx 8320 3.5 ghz,процессор,intel core i3-4160 3.6 ghz / amd qc a8-7670k 3.6ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,"geforce gtx 460, radeon hd 5770, 768 mb vram",видео карта,"geforce gtx 560+ series, radeon r9 270+"
directx,version 11,directx,version 11
диск,600 mb,диск,600 mb
,,,
windows_min_Exanima,windows_min_Exanima,windows_req_Exanima,windows_req_Exanima
операционна€ система,windows 7 (32-bit),операционна€ система,windows 10 / 11 ()
процессор,intel core i5 or amd ryzen 3,процессор,intel i5-8400
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia / amd / intel (opengl 4.6+),видео карта,nvidia gtx 1060
диск,10 gb,диск,Ч
звукова€ карта,openal compatible,звукова€ карта,Ч
,,,
"windows_min_Flashing Lights - Police, Firefighting, Emergency Services Simulator","windows_min_Flashing Lights - Police, Firefighting, Emergency Services Simulator"
операционна€ система,os x 10.10 and above (s only)
процессор,intel core i3 2ghz
оперативна€ пам€ть,4 gb
видео карта,dedicated graphics card with 1gb memory
directx,version 11
,
windows_min_Drug Dealer Simulator,windows_min_Drug Dealer Simulator
операционна€ система,windows 7
процессор,i5-2500 3.30 ghz
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 780 gtx or amd radeon radeon r7 260x series card or higher
,
windows_min_Moonlighter,windows_min_Moonlighter,windows_req_Moonlighter,windows_req_Moonlighter,macos_min_Moonlighter,macos_min_Moonlighter,macos_req_Moonlighter,macos_req_Moonlighter,linux_min_Moonlighter,linux_min_Moonlighter,linux_req_Moonlighter,linux_req_Moonlighter
операционна€ система,windows 7,операционна€ система,windows 10,операционна€ система,10.6,операционна€ система,10.11,операционна€ система,ubuntu 12.04,операционна€ система,ubuntu 12.04
процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,intel(r) core(tm) i5,процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,intel(r) core(tm) i5,процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,intel(r) core(tm) i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,geforce gtx 660,видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,geforce gtx 660,видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,geforce gtx 660
диск,4 gb,диск,4 gb,диск,4 gb,диск,4 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Cossacks 3,windows_min_Cossacks 3,windows_req_Cossacks 3,windows_req_Cossacks 3
операционна€ система,"steamos, ubuntu, mint",операционна€ система,Ч
процессор,quad core,процессор,Ч
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,Ч
видео карта,"opengl 3.2+, 512 mb gpu (intel video-cards are not officially supported and game may not work)",видео карта,Ч
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,Ч
диск,6 gb,диск,Ч
,,,
windows_min_Remember Me,windows_min_Remember Me,windows_req_Remember Me,windows_req_Remember Me
операционна€ система,"windows vista/xp, windows 7, windows 8",операционна€ система,"windows vista, windows 7, windows 8"
