windows_min_The Drone Racing League Simulator,windows_min_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator
операционная система,macos 10.12 (metal support),операционная система,macos 10.14
процессор,intel compatible,процессор,intel core i5
оперативная память,2048 mb,оперативная память,4096 mb
directx,version 10,directx,version 11
диск,2 gb,диск,10 gb
,,,
windows_min_Pandemic Express - Zombie Escape,windows_min_Pandemic Express - Zombie Escape
операционная система,windows 7/8/10 64bit
процессор,"intel i5-2400, amd fx-6300"
оперативная память,8 gb
видео карта,nvidia geforce gtx 550ti or amd radeon hd 7750
directx,version 11
сеть,широкополосное подключение
диск,9 gb
,
windows_min_Angvik,windows_min_Angvik
операционная система,mac os 10.7+
процессор,2 ghz dual core
оперативная память,2 gb
,
windows_min_METAL SLUG X,windows_min_METAL SLUG X,windows_req_METAL SLUG X,windows_req_METAL SLUG X
операционная система,"windows vista, 7, 8",операционная система,"windows vista, 7, 8"
процессор,pentium 4 2.4ghz,процессор,2 ghz dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,nvidia geforce gt 640
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Clicker Heroes 2,windows_min_Clicker Heroes 2
операционная система,"mac os x v10.6, and above"
процессор,intel core™ duo 1.83ghz or faster
оперативная память,2 gb
видео карта,2008 graphics card.
диск,3 gb
,
windows_min_Rock of Ages 2: Bigger & Boulder™,windows_min_Rock of Ages 2: Bigger & Boulder™
операционная система,"windows 7 service pack 1, or windows 8"
процессор,2 ghz dual-core cpu
оперативная память,4 gb
видео карта,directx10 compatible gpu with 1 gb video
directx,version 10
,
windows_min_Guacamelee! Super Turbo Championship Edition,windows_min_Guacamelee! Super Turbo Championship Edition
операционная система,"windows 7, 8, xp, 2000 and vista"
процессор,2 ghz+
оперативная память,512 mb
видео карта,"shader model 3.0, 512 mb vram"
directx,version 9.0c
диск,800 mb
,
windows_min_River City Ransom: Underground,windows_min_River City Ransom: Underground,macos_min_River City Ransom: Underground,macos_min_River City Ransom: Underground,linux_min_River City Ransom: Underground,linux_min_River City Ransom: Underground
операционная система,microsoft windows xp / vista / 7 / 8 / 10,операционная система,latest macos version,операционная система,"glibc 2.15+, 32/"
процессор,intel core 2 duo 1.8ghz,процессор,intel core 2 duo 1.8ghz,процессор,intel core 2 duo 1.8ghz
оперативная память,3 gb,оперативная память,3 gb,оперативная память,3 gb
видео карта,"512mb gpu, directx 9, shader model 2.0 (xna 4.0 reach profile)",видео карта,"512mb gpu, opengl 3.0+ (2.1 with arb extensions acceptable)",видео карта,"512mb gpu, opengl 3.0+ (2.1 with arb extensions acceptable)"
directx,version 9.0c,диск,120 mb,диск,120 mb
диск,120 mb,дополнительно,a faster may be required for online multiplayer. sdl_gamecontroller devices supported.,дополнительно,a faster may be required for online multiplayer. sdl_gamecontroller devices supported.
,,,,,
windows_min_X-Morph: Defense,windows_min_X-Morph: Defense,windows_req_X-Morph: Defense,windows_req_X-Morph: Defense
операционная система,windows 7 64bit service pack 1,операционная система,windows 10
процессор,i3 2.6ghz or amd equivalent,процессор,i5 2.6ghz or amd equivalent
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 460 or amd equivalent,видео карта,geforce gtx 960 or amd equivalent
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Assassin’s Creed® Liberation HD,windows_min_Assassin’s Creed® Liberation HD,windows_req_Assassin’s Creed® Liberation HD,windows_req_Assassin’s Creed® Liberation HD
операционная система,"windows vista sp2, windows 7 sp1, windows 8 / 8.1 (both 32/64bit versions)",операционная система,"windows vista sp2, windows 7 sp1, windows 8 / 8.1 (both 32/64bit versions)"
процессор,intel core i3 2105 @ 3.1 ghz or amd phenom 2 x4 955 @ 3.2ghz,процессор,"intel core i5 2400s @ 2.5 ghz or amd fx 4100 @ 3,6 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt or amd radeon hd4870 (512mb vram & shader model 4.0),видео карта,nvidia geforce gtx 570 or amd radeon hd7870 (1250mb vram & shader model 5.0)
диск,3500 mb,диск,3500 mb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Animal Revolt Battle Simulator,windows_min_Animal Revolt Battle Simulator,windows_req_Animal Revolt Battle Simulator,windows_req_Animal Revolt Battle Simulator
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-2300,процессор,intel core i7-4770
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 650,видео карта,nvidia geforce gtx 970
directx,version 9.0,directx,version 10
,,,
windows_min_GUILTY GEAR Xrd -SIGN-,windows_min_GUILTY GEAR Xrd -SIGN-
операционная система,windows 7 / 8 / 8.1
процессор,"intel core i5, 2.0 ghz"
оперативная память,2 gb
видео карта,nvidia geforce gtx 560 / radeon hd 7770
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_Will To Live Online,windows_min_Will To Live Online,windows_req_Will To Live Online,windows_req_Will To Live Online
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3 3100 mhz,процессор,intel core i5 3100 mhz
оперативная память,12 gb,оперативная память,16 gb
видео карта,geforce gtx 1050 ti / amd r9 280,видео карта,geforce gtx 1060 6gb/ amd rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,45 gb,диск,45 gb
,,,
windows_min_/Han Xiongnu Wars,windows_min_/Han Xiongnu Wars,windows_req_/Han Xiongnu Wars,windows_req_/Han Xiongnu Wars
операционная система,windows xp,операционная система,windows 7 64bit
процессор,intel core duo 2.0 ghz or amd athlon 64 x2 3600+,процессор,"intel core i5-3450, fx-8120,"
оперативная память,2 gb,оперативная память,4 gb
видео карта,3d graphics card with 256mb,видео карта,"nvidia geforce gt 650m, hd 6750,"
диск,2 gb,диск,2 gb
,,,
