операционная система,"windows vista,windows 7, windows 8"
процессор,athlon or pentium 2 with 500 mhz
оперативная память,64 mb mb
видео карта,"3d- graphics card, 8mb (geforce, voodoo 5500)"
directx,version 8.1
диск,1400 mb
,
windows_min_BUTCHER,windows_min_BUTCHER,macos_min_BUTCHER,macos_min_BUTCHER,linux_min_BUTCHER,linux_min_BUTCHER
операционная система,windows xp sp2+,операционная система,mac os x 10.8+,операционная система,ubuntu 12.04+ or steamos+
процессор,core 2 duo,процессор,core 2 duo,процессор,core 2 duo
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,dx 9.0 / opengl 2 compliant with sm 2.0+,видео карта,opengl 2 compliant with sm 2.0+,видео карта,opengl 2 compliant with sm 2.0+
directx,version 9.0,диск,200 mb,диск,200 mb
,,,,,
windows_min_Kero Blaster,windows_min_Kero Blaster,windows_req_Kero Blaster,windows_req_Kero Blaster
операционная система,"windows xp, 7, 8",операционная система,"windows xp, 7, 8"
процессор,cpu 1.2ghz,процессор,2ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,800 x 600 vram 256mbyte,видео карта,800 x 600 vram 512mbyte
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Formata,windows_min_Formata,windows_req_Formata,windows_req_Formata
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 3770 3.4 ghz / amd cpu amd fx-8350 4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gpu geforce gtx 660 / amd gpu radeon hd 7870,видео карта,nvidia gpu geforce gtx 770 / amd gpu radeon r9 290
directx,version 11,directx,version 11
,,,
windows_min_Zompiercer,windows_min_Zompiercer,windows_req_Zompiercer,windows_req_Zompiercer
операционная система,windows 7 or higher (),операционная система,windows 7 or higher ()
процессор,2.4 ghz dual core cpu,процессор,3.0 ghz quad core cpu or faster
оперативная память,8 gb,оперативная память,16 gb
видео карта,4 gb dedicated memory,видео карта,8 gb dedicated memory
directx,version 11,directx,version 11
диск,23 gb,диск,23 gb
,,,
windows_min_Quadrilateral Cowboy,windows_min_Quadrilateral Cowboy,macos_min_Quadrilateral Cowboy,macos_min_Quadrilateral Cowboy,linux_min_Quadrilateral Cowboy,linux_min_Quadrilateral Cowboy
операционная система,windows 7 and above,операционная система,10.9 mavericks,операционная система,glibc 2.17+ only
оперативная память,3 gb,оперативная память,3 gb,оперативная память,3 gb
видео карта,"nvidia geforce 9800 gt or ati radeon hd 5750, 1 gb video",видео карта,"nvidia or ati gpu, 1 gb video",видео карта,"nvidia geforce 9800 gt or ati radeon hd 5750, 1 gb video"
