windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
процессор,"intel core 2 quad q6600 @ 2.4 ghz, amd fx 8120 @ 3.1 ghz",процессор,"intel i7 920 @ 2.7 ghz, amd phenom ii 945 @ 3.0 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gt 630 / 650m; amd radeon hd6570; hd graphics 4000 (),видео карта,"nvidia gtx 660, radeon r9-270"
directx,version 9.0c,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_SanctuaryRPG: Black Edition,windows_min_SanctuaryRPG: Black Edition
операционная система,windows xp
процессор,1.0 ghz
оперативная память,512 mb
видео карта,integrated graphics
диск,200 mb
звуковая карта,integrated audio
,
windows_min_The Coma: Recut,windows_min_The Coma: Recut,windows_req_The Coma: Recut,windows_req_The Coma: Recut,macos_min_The Coma: Recut,macos_min_The Coma: Recut,macos_req_The Coma: Recut,macos_req_The Coma: Recut,linux_min_The Coma: Recut,linux_min_The Coma: Recut,linux_req_The Coma: Recut,linux_req_The Coma: Recut
операционная система,windows xp,операционная система,windows10,операционная система,10.6.8,операционная система,version 10.6.8 or above,операционная система,red hat enterprise linux 4,операционная система,red hat enterprise linux 5 or above
процессор,core2duo,процессор,core2duo or above,процессор,core2duo,процессор,2.3 ghz intel core i5,процессор,p4,процессор,p4 or higher; 2.3 ghz or higher
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,any with hardware 3d acceleration,видео карта,nvidia 7900 / equivalent,видео карта,any with hardware 3d acceleration,видео карта,nvidia / amd gpu with 256 mb or more,видео карта,any with hardware 3d acceleration,видео карта,any with hardware 3d acceleration
directx,version 7.0,directx,version 9.0,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,звуковая карта,any with hardware 3d acceleration,звуковая карта,any with hardware 3d acceleration,звуковая карта,any with hardware 3d acceleration,звуковая карта,any with hardware 3d acceleration
звуковая карта,soundblaster / equivalent,звуковая карта,soundblaster / equivalent,дополнительно,earphones!,дополнительно,earphones!,дополнительно,earphones!,дополнительно,earphones!
,,,,,,,,,,,
windows_min_1979 Revolution: Black Friday,windows_min_1979 Revolution: Black Friday,windows_req_1979 Revolution: Black Friday,windows_req_1979 Revolution: Black Friday
операционная система,os x 10.6.x,операционная система,os x 10.8.x
процессор,2.0 ghz dual core,процессор,2.4 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,512mb nvidia or ati graphics card,видео карта,1024 mb nvidia or ati graphics card
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Garbage Day,windows_min_Garbage Day,windows_req_Garbage Day,windows_req_Garbage Day,macos_min_Garbage Day,macos_min_Garbage Day,macos_req_Garbage Day,macos_req_Garbage Day,linux_min_Garbage Day,linux_min_Garbage Day,linux_req_Garbage Day,linux_req_Garbage Day
операционная система,windows vista / windows 7,операционная система,windows vista / windows 7,операционная система,osx 10.9 (mavericks),операционная система,osx 10.9 (mavericks),операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2.4ghz dual core,процессор,2.4ghz dual core,процессор,2.4ghz dual core,процессор,2.4ghz dual core,процессор,2.4ghz dual core,процессор,2.4ghz dual core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)"
видео карта,512 mb nvidia geforce 9800 / ati radeon hd 2600 xt,видео карта,1 gb nvidia 460 / amd radeon 5870,видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher, intel hd 4000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)",,,,
directx,version 10,directx,version 11,диск,2 gb,диск,2 gb,,,,
,,,,,,,,,,,
