windows_min_Tiger Striker,windows_min_Tiger Striker
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,gtx 760 or higher,видео карта,gtx 760 or higher
directx,version 10,directx,version 10
,,,
windows_min_Street Fighter X Tekken: Gems Assist 3,windows_min_Street Fighter X Tekken: Gems Assist 3,windows_req_Street Fighter X Tekken: Gems Assist 3,windows_req_Street Fighter X Tekken: Gems Assist 3
операционна€ система,windows xp,операционна€ система,windows vista
процессор,intel dual core 1.8ghz (or higher) or amd athlon ii x2 (or higher),процессор,intel core2 duo 2.60ghz (or higher) or amd phenom ii x2 (or higher)
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,nvidia gf6600 (or higher) or ati x1600 (or higher) with 256mb of,видео карта,nvidia gf8800 (or higher) or ati x1950 (or higher) with 512mb of
directxЃ,9.0c,directxЃ,9.0c
диск,10 gb hd space,диск,10 gb hd space
,,,
windows_min_Street Fighter V - Season 4 Character Pass,windows_min_Street Fighter V - Season 4 Character Pass,windows_req_Street Fighter V - Season 4 Character Pass,windows_req_Street Fighter V - Season 4 Character Pass
операционна€ система,windows 7,операционна€ система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 480, gtx 570, gtx 670,",видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
звукова€ карта,directx compatible soundcard or onboard chipset,звукова€ карта,directx compatible soundcard or onboard chipset
,,,
windows_min_Rad Rodgers - Radical Edition,windows_min_Rad Rodgers - Radical Edition,windows_req_Rad Rodgers - Radical Edition,windows_req_Rad Rodgers - Radical Edition
операционна€ система,windows 7 sp1 / windows 8 / windows 8.1 / windows 10 (),операционна€ система,windows 10 ()
процессор,intel or amd at 2.5 ghz or more,процессор,intel coreЩ i5 or amd phenomЩ ii x4
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
