windows_min_The Elder ScrollsЃ Online,windows_min_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online
windows_min_Middle-earthЩ: Shadow of WarЩ,windows_min_Middle-earthЩ: Shadow of WarЩ,windows_req_Middle-earthЩ: Shadow of WarЩ,windows_req_Middle-earthЩ: Shadow of WarЩ
операционна€ система,windows 7 sp1 with platform update,операционна€ система,windows 10 creators update
процессор,"amd fx-4350, 4.2 ghz / intel core i5-2300, 2.80 ghz",процессор,"amd fx-8350, 4.0 ghz / intel core i7-3770, 3.4 ghz"
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,12 gb
видео карта,"amd hd 7870, 2 gb / nvidia gtx 660, 2 gb",видео карта,"amd rx 480, 4 gb or rx580, 4gb / nvidia gtx 970, 4gb or gtx1060, 6gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,70 gb,диск,70 gb
,,,
windows_min_Kingdom Come: Deliverance,windows_min_Kingdom Come: Deliverance,windows_req_Kingdom Come: Deliverance,windows_req_Kingdom Come: Deliverance
операционна€ система,os windows 7 or windows 8 (8.1) or windows 10,операционна€ система,os windows 7 or windows 8 (8.1) or windows 10
процессор,"intel cpu core i5-2500k 3.3ghz, amd cpu phenom ii x4 940",процессор,"intel cpu core i7 3770 3,4 ghz, amd cpu amd fx-8350 4 ghz"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,"nvidia gpu geforce gtx 660, amd gpu radeon hd 7870",видео карта,"nvidia gpu geforce gtx 1060, amd gpu radeon rx 580"
directx,version 11,directx,version 11
диск,70 gb,диск,90 gb
звукова€ карта,integrated,звукова€ карта,creative sound blaster zx
,,,
windows_min_Slime Rancher,windows_min_Slime Rancher,macos_min_Slime Rancher,macos_min_Slime Rancher,linux_min_Slime Rancher,linux_min_Slime Rancher
операционна€ система,windows 7+,операционна€ система,osx 10.11+,операционна€ система,ubuntu 12.04+
процессор,2.2ghz dual core,процессор,2.2ghz dual core,процессор,2.2ghz dual core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,512mb vram,видео карта,"opengl 3.2 compatible, 512 mb vram",видео карта,"opengl 3.2 compatible, 512 mb vram"
directx,version 11,диск,1 gb,диск,1 gb
,,,,,
windows_min_Castle CrashersЃ,windows_min_Castle CrashersЃ
операционна€ система,mac os x 10.11 - el capitan
процессор,i5 2.3ghz+
оперативна€ пам€ть,8 gb
видео карта,512 mb video card
directx,9.0c
диск,255 mb hd space
звукова€ карта,mac compatible sound card
other requirements,широкополосное подключение
,
windows_min_Resident Evil 2,windows_min_Resident Evil 2,windows_req_Resident Evil 2,windows_req_Resident Evil 2
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,intel coreЩ i5-4460 or amd fxЩ-6300,процессор,intel coreЩ i7-3770 or amd fxЩ-9590
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeonЩ rx 480 with 3gb vram
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_Tom Clancy's Ghost ReconЃ Wildlands,windows_min_Tom Clancy's Ghost ReconЃ Wildlands,windows_req_Tom Clancy's Ghost ReconЃ Wildlands,windows_req_Tom Clancy's Ghost ReconЃ Wildlands
операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)",операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)"
процессор,intel core i5-2400s @ 2.5 ghz or amd fx-4320 @ 4 ghz,процессор,intel core i7- 3770@ 3.5 ghz or amd fx-8350 @ 4 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx660 / amd r9 270x (2gb vram with shader model 5.0 ),видео карта,nvidia geforce gtx970 / gtx 1060 or amd r9 390/rx480 (4gb vram with shader model 5.0 )
диск,50 gb,диск,50 gb
звукова€ карта,directx-compatible using the latest drivers,звукова€ карта,directx-compatible using the latest drivers
,,,
windows_min_Black Mesa,windows_min_Black Mesa,windows_req_Black Mesa,windows_req_Black Mesa
операционна€ система,ubuntu 14.0,операционна€ система,ubuntu 14.0
процессор,2.6 dual core,процессор,3.2 quad core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,2 gb dedicated video card,видео карта,3 gb dedicated video card
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Metro 2033 Redux,windows_min_Metro 2033 Redux,windows_req_Metro 2033 Redux,windows_req_Metro 2033 Redux,macos_min_Metro 2033 Redux,macos_min_Metro 2033 Redux,macos_req_Metro 2033 Redux,macos_req_Metro 2033 Redux,linux_min_Metro 2033 Redux,linux_min_Metro 2033 Redux,linux_req_Metro 2033 Redux,linux_req_Metro 2033 Redux
операционна€ система,"windows vista, 7 or 8 ( only)",операционна€ система,windows 7 or 8 ( only),операционна€ система,os x 10.9.5 mavericks,операционна€ система,os x 10.9.5 mavericks,операционна€ система,ubuntu 12.04 or 14.04 or steam os,операционна€ система,ubuntu 12.04 or 14.04 or steam os
процессор,dual core cpu (2.2+ ghz dual core cpu ),процессор,any quad core or 3.0+ ghz dual core cpu,процессор,3.2 ghz intel core i5,процессор,3.2 ghz intel core i5,процессор,intel core i5 2.7 ghz ( amd),процессор,intel core i7 2.5 ghz ( amd)
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"directx 10, shader model 4 compliant graphics cards (geforce 8800 gt 512 mb, geforce gts 250, etc)",видео карта,directx 11 compliant graphics card (geforce gtx 480 and above),видео карта,radeon hd7950 3gb / nvidia geforce gtx 750m 1gb,видео карта,radeon hd7950 3gb / nvidia geforce gtx 775m 2gb,видео карта,nvidia geforce 460 / amd 5850 with 2gb vram,видео карта,nvidia geforce 680 / amd 7870 with 2gb vram+
directx,version 10,directx,version 11,диск,10 gb,диск,10 gb,диск,10 gb,диск,10 gb
