windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
видео карта,nvidia geforce 9600 gt 512mb,видео карта,nvidia geforce 9600 gt 512mb,видео карта,nvidia geforce 9600 gt 512mb
directx,version 9.0c,диск,2 gb,диск,2 gb
,,,,,
windows_min_Way of the Samurai 3,windows_min_Way of the Samurai 3,windows_req_Way of the Samurai 3,windows_req_Way of the Samurai 3
операционная система,windows 7,операционная система,windows 7
процессор,2.13ghz intel core2 duo,процессор,3ghz intel i3
оперативная память,1 gb,оперативная память,4 gb
видео карта,directx 9.0c compatible graphics card with 512mb and support for v3 shaders,видео карта,directx 9.0c compatible graphics card with 1gb and support for v3 shaders
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,2 gb
,,,
windows_min_Fractured Online,windows_min_Fractured Online,windows_req_Fractured Online,windows_req_Fractured Online
операционная система,"windows 7, 8 or 10 ()",операционная система,windows 10 ()
процессор,intel core i3 (2nd gen) amd,процессор,intel core i5 (4th gen) amd
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 ati radeon,видео карта,nvidia geforce gtx 1060 ati radeon
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Spaceport Hope,windows_min_Spaceport Hope,windows_req_Spaceport Hope,windows_req_Spaceport Hope,macos_min_Spaceport Hope,macos_min_Spaceport Hope,macos_req_Spaceport Hope,macos_req_Spaceport Hope,linux_min_Spaceport Hope,linux_min_Spaceport Hope,linux_req_Spaceport Hope,linux_req_Spaceport Hope
операционная система,windows xp/vista/7/8/10,операционная система,windows xp/vista/7/8/10,операционная система,mac os x 10.6 (snow leopard),операционная система,mac os x 10.6 (snow leopard),операционная система,linux,операционная система,linux
процессор,1.7ghz,процессор,2.0ghz or higher,процессор,2ghz,процессор,2ghz or higher,процессор,2ghz,процессор,2ghz or higher
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.0 + 512mb vram,видео карта,opengl 4.0 + 1gb vram or higher,видео карта,opengl 3.0 + 512mb vram,видео карта,opengl 4.0 + 1gb vram or higher,видео карта,opengl 3.0 + 512mb vram,видео карта,opengl 4.0 + 1gb vram or higher
диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Hold Your Own,windows_min_Hold Your Own,windows_req_Hold Your Own,windows_req_Hold Your Own
операционная система,windows 7+ (),операционная система,windows 7+ ()
процессор,intel core i5-2400 / amd fx-8320,процессор,3.0 ghz quad core cpu or faster
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb,видео карта,nvidia gtx 780 ti/960 (high settings) or amd r9 290 / amd rx480 (high settings)
