windows_min_VALHALL Tests,windows_min_VALHALL Tests,windows_req_VALHALL Tests,windows_req_VALHALL Tests
видео карта,(directx 11) amd radeon hd 5770 1024mb |; nvidia gts 450 1024mb |; intel hd4000 @720p,видео карта,(directx 11) amd radeon r9 270x 2048mb |; nvidia geforce gtx 760 2048mb @1080p,видео карта,"all amd graphics cards released from 2014 onwards, all nvidia cards with 2gb+ vram released from 2012 onwards, (macbookpro only) intel iris graphics 540 & 550 cards released from 2016 onwards",видео карта,—,видео карта,"1gb nvidia 650ti (driver version 367.28), 2gb amd r9 270 (mesa 13.0.1 driver compiled using llvm 3.9)",видео карта,"4gb nvidia 970 (driver version 367.28), 4gb amd rx 480 (mesa 13.0.1 driver compiled using llvm 3.9)"
directx,version 11,directx,version 11,диск,37 gb,диск,—,диск,29 gb,диск,35 gb
,,,,,,,,,,,
windows_min_Disintegration Technical Beta,windows_min_Disintegration Technical Beta,windows_req_Disintegration Technical Beta,windows_req_Disintegration Technical Beta
,,,
windows_min_BULLET SOUL /  -  -,windows_min_BULLET SOUL /  -  -,windows_req_BULLET SOUL /  -  -,windows_req_BULLET SOUL /  -  -
операционная система,windows7/8.1/10,операционная система,windows7/8.1/10 (64bit ver)
процессор,core i3 of sandy bridge generation,процессор,core i5 of ivy bridge generation
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics series (it needs 1gb memory allocation),видео карта,geforce (vram 1gb )
directx,version 9.0,directx,version 9.0
диск,3 gb,диск,3 gb
звуковая карта,sound devices compatible direct sound,звуковая карта,sound devices compatible direct sound
,,,
windows_min_Vindictive Drive,windows_min_Vindictive Drive,windows_req_Vindictive Drive,windows_req_Vindictive Drive
операционная система,microsoft windows 2000 / xp / vista,операционная система,microsoft windows xp / vista / 7
процессор,1.0 ghz intel pentium iii equivalent,процессор,2.0 ghz intel pentium 4 equivalent
оперативная память,256 mb,оперативная память,512 mb
видео карта,1024x768 video resolution,видео карта,1024x768 video resolution
,,,
windows_min_No Mans Land,windows_min_No Mans Land,windows_req_No Mans Land,windows_req_No Mans Land
операционная система,windows 7,операционная система,windows 8
процессор,"amd fx 4300, core i5 3330",процессор,"amd fx 4300, core i5 3330"
оперативная память,500 mb,оперативная память,500 mb
видео карта,gtx 560,видео карта,gtx 650
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,2 gb,диск,2 gb
звуковая карта,n/a,звуковая карта,n/a
,,,
windows_min_Fallout New Vegas: Honest Hearts,windows_min_Fallout New Vegas: Honest Hearts
процессор,dual core 2.0ghz
,
