windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
процессор,intel core 2 duo e6550 2ghz / amd turion ii p540 dual core 2.4 ghz,процессор,intel core 2 duo e8400 3ghz / amd phenom ii x2 545 3.0 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,ati radeon hd 3870 / nvidia geforce 8800 gt,видео карта,ati radeon hd 5670 / nvidia geforce gtx 260
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2500 mb,диск,2500 mb
,,,
windows_min_Hacktag,windows_min_Hacktag,windows_req_Hacktag,windows_req_Hacktag
операционная система,mac os x,операционная система,mac os x
процессор,"quad-core intel or amd, 2.0 ghz or faster",процессор,"quad-core intel or amd, 2.0 ghz or faster"
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560ti or amd radeon hd7850,видео карта,nvidia geforce gtx 770
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Симулятор Побега от Военкомата ,windows_min_Симулятор Побега от Военкомата ,windows_req_Симулятор Побега от Военкомата ,windows_req_Симулятор Побега от Военкомата 
операционная система,"windows 7, 8, 8.1, 10 ()",операционная система,"windows 7, 8, 8.1, 10 ()"
процессор,intel core i3 / amd a6 2.4ghz,процессор,intel core i3 / amd a6 2.4ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,intel hd graphics
directx,version 9.0,directx,version 9.0
,,,
windows_min_Orion Sandbox Enhanced,windows_min_Orion Sandbox Enhanced,windows_req_Orion Sandbox Enhanced,windows_req_Orion Sandbox Enhanced
операционная система,windows 7,операционная система,windows 10
