windows_min_Hitman: Absolution™,windows_min_Hitman: Absolution™,windows_req_Hitman: Absolution™,windows_req_Hitman: Absolution™
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Marvel’s Spider-Man Remastered,windows_min_Marvel’s Spider-Man Remastered,windows_req_Marvel’s Spider-Man Remastered,windows_req_Marvel’s Spider-Man Remastered
операционная система,windows 10,операционная система,windows 10
процессор,"intel core i3-4160, 3.6 ghz or amd equivalent",процессор,"intel core i5-4670, 3.4 ghz or amd ryzen5 1600, 3.2 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 950 or amd radeon rx 470,видео карта,nvidia gtx 1060 6gb or amd radeon rx 580 8gb
directx,version 12,directx,version 12
,,,
windows_min_ShellShock Live,windows_min_ShellShock Live,macos_min_ShellShock Live,macos_min_ShellShock Live,linux_min_ShellShock Live,linux_min_ShellShock Live
операционная система,windows xp or above,операционная система,mac os x 10.7 or above,операционная система,"ubuntu 10.10 or above, steamos"
процессор,1.5 ghz or faster,процессор,intel core 2 duo or above,процессор,1.5 ghz or faster
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,dx9 (shader model 2.0) capabilities; generally everything made since 2004 should work,видео карта,shader model 2.0 capabilities; generally everything made since 2004 should work,видео карта,shader model 2.0 capabilities; generally everything made since 2004 should work
directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,500 mb,диск,500 mb
,,,,,
windows_min_Ghostrunner,windows_min_Ghostrunner,windows_req_Ghostrunner,windows_req_Ghostrunner
операционная система,"windows 7, 8.1, 10 x64",операционная система,"windows 7, 8.1, 10 x64"
процессор,intel core i5-2500k (4 * 3300) amd phenom ii x4 965 (4 * 3400),процессор,intel core i7-6700k (4 * 4000) or amd ryzen 5 1500x (4 * 3500)
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 1050 (2048 mb) / radeon rx 550 (4096 mb),видео карта,geforce gtx 970 (4096 mb) or radeon rx 5700 (8192 mb)
диск,22 gb,диск,22 gb
,,,
windows_min_HITMAN™,windows_min_HITMAN™,windows_req_HITMAN™,windows_req_HITMAN™,macos_min_HITMAN™,macos_min_HITMAN™,macos_req_HITMAN™,macos_req_HITMAN™,linux_min_HITMAN™,linux_min_HITMAN™,linux_req_HITMAN™,linux_req_HITMAN™
операционная система,os windows 7,операционная система,os windows 7 / windows 8 (8.1) or windows 10,операционная система,macos 10.14,операционная система,—,операционная система,ubuntu 16.04 or steam os 2.0,операционная система,ubuntu 17.04 or steam os 2.0
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,"intel cpu core i7 3770 3,4 ghz / amd cpu amd fx-8350 4 ghz",процессор,2.0ghz intel core i5,процессор,—,процессор,intel core i5-2500k/amd fx-8350,процессор,intel core i7 3770
оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 770 / amd gpu radeon r9 290,видео карта,"2gb amd r9 m290, 2gb nvidia 680mx (requires macos 10.13.4 ), 1.5gb intel iris graphics 540 (requires macos 10.13.4 )",видео карта,—,видео карта,nvidia geforce gtx 680 / amd r9 270x graphics card *,видео карта,nvidia geforce gtx 970 / amd r9 290 graphics card *
directx,version 11,directx,version 11,диск,81 gb,диск,—,диск,81 gb,диск,81 gb
,,,,,,,,,,,
windows_min_Depth,windows_min_Depth,windows_req_Depth,windows_req_Depth
операционная система,windows vista and above,операционная система,windows 7 and above
процессор,intel 2.4 ghz or amd athlon 2.6 ghz (dual-core required),процессор,intel core i5-2300 or amd phenom ii x4 940
оперативная память,3 gb,оперативная память,4 gb
видео карта,ati radeon 4870 / 5770/6770 or nvidia geforce gtx 260/460/550 ti,видео карта,ati radeon 7870 / r9 270 or nvidia geforce gtx 660 ti/760
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,windows supported sound card,звуковая карта,windows supported sound card
,,,
windows_min_Far Cry® New Dawn,windows_min_Far Cry® New Dawn,windows_req_Far Cry® New Dawn,windows_req_Far Cry® New Dawn
операционная система,"windows 7 sp1, windows 8.1, windows 10 (64bit versions only)",операционная система,"windows 7 sp1, windows 8.1, windows 10 (64bit versions only)"
процессор,intel core i5 2400 @ 3.1 ghz or amd fx 6350 @ 3.9 ghz,процессор,intel core i7-4790 @ 3.6 ghz or amd ryzen 5 1600 @ 3.2 ghz
оперативная память,8 gb,оперативная память,8 gb
