windows_min_SWAT 3: Tactical Game of the Year Edition,windows_min_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition
видео карта,nvidia geforce gt 520
,
windows_min_Zack Zero,windows_min_Zack Zero,windows_req_Zack Zero,windows_req_Zack Zero
операционная система,"windows xp, windows vista sp1, windows 7 or windows 8",операционная система,windows 7 / windows 8
процессор,2.0ghz intel core 2 duo or amd equivalent,процессор,any quad-core intel or amd
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 8600 gt 512 mb video card or amd equivalent,видео карта,nvidia geforce gtx 275 512mb video card or amd equivalent
directx,9.0c,directx,9.0c
,,,
windows_min_Saints Row IV - How the Saints Save Christmas,windows_min_Saints Row IV - How the Saints Save Christmas,windows_req_Saints Row IV - How the Saints Save Christmas,windows_req_Saints Row IV - How the Saints Save Christmas
операционная система,ubuntu 14.04.3 lts or steamos brewmaster,операционная система,ubuntu 14.04.3 lts or steamos brewmaster
процессор,intel core i3-2100 (3.1 ghz) or amd athlon ii x4 645 am3 (3.1 ghz),процессор,intel core i5-2500k (3.3 ghz) or amd fx-4300 (3.8 ghz)
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,geforce gt 440 (1024 mb) or radeon hd 6670 (1024 mb),видео карта,geforce gtx 660 (2048 mb) or radeon hd 6970 (2048 mb)
directx,version 10,directx,version 11
,,,
windows_min_Air Conflicts: Secret Wars,windows_min_Air Conflicts: Secret Wars,windows_req_Air Conflicts: Secret Wars,windows_req_Air Conflicts: Secret Wars
операционная система,windows xp/windows 7/windows vista,операционная система,windows xp/windows 7/windows vista
процессор,intel/amd cpu (1.1ghz+),процессор,intel/amd cpu (1.8ghz+)
оперативная память,1 gb,оперативная память,1.5 gb
видео карта,shader 3.0 compatible graphics card with 256 mb,видео карта,"geforce 9x, or higher graphics card with 512mb"
,,,
windows_min_Mighty Switch Force! Hyper Drive Edition,windows_min_Mighty Switch Force! Hyper Drive Edition,windows_req_Mighty Switch Force! Hyper Drive Edition,windows_req_Mighty Switch Force! Hyper Drive Edition
операционная система,windowsvista™ or windows7,операционная система,windows7 or windows8
