windows_min_Retrowave Drift,windows_min_Retrowave Drift,windows_req_Retrowave Drift,windows_req_Retrowave Drift
процессор,intel core i3-4170 / amd fx-8120,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 980,видео карта,nvidia geforce gtx 2060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Wicked Rails VR,windows_min_Wicked Rails VR,windows_req_Wicked Rails VR,windows_req_Wicked Rails VR
операционная система,windows 10,операционная система,windows 10
процессор,i7 4400k,процессор,i7 8700k
оперативная память,16 gb,оперативная память,16 gb
видео карта,geforce 1080ti gtx,видео карта,geforce 2070 rtx
,,,
windows_min_ZERO GUNNER 2-,windows_min_ZERO GUNNER 2-
операционная система,windows 10
процессор,core i5 1.7ghz
оперативная память,4 gb
видео карта,intel hd graphics 4000
,
windows_min_TheDawn,windows_min_TheDawn,windows_req_TheDawn,windows_req_TheDawn
операционная система,windows 7 / windows 8.1 / windows 10 (latest service pack),операционная система,system windows 7 / windows 8.1 / windows 10 (latest service pack)
процессор,intel core™ i3 3250 3.5 ghz or intel pentium g4560 3.5 ghz / amd fx-4350 4.2 ghz,процессор,intel core™ i5 2400 3.4 ghz or i5 7400 3.5 ghz / amd ryzen r5 1600x 3.6 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2gb or gtx 1050 2gb / amd radeon hd 7850 2gb,видео карта,video nvidia geforce gtx 970 4gb or gtx 1060 6gb / amd r9 390 8gb memory 8 gb
directx,version 9.0,directx,version 10
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 6500,процессор,intel core i7 8700
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Dark Fantasy Warriors,windows_min_Dark Fantasy Warriors,windows_req_Dark Fantasy Warriors,windows_req_Dark Fantasy Warriors
операционная система,windows 7 x64,операционная система,windows 10
процессор,pentium,процессор,dual core
оперативная память,1 gb,оперативная память,2 gb
диск,7 gb,диск,7 gb
,,,
windows_min_Ultra Imposer,windows_min_Ultra Imposer,windows_req_Ultra Imposer,windows_req_Ultra Imposer
операционная система,windows 7/8.1/10 (64bit),операционная система,windows 7/8.1/10 (64bit)
процессор,intel core i5 sandy bridge,процессор,intel core i7 skylake
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Crash Dive 2,windows_min_Crash Dive 2,windows_req_Crash Dive 2,windows_req_Crash Dive 2
операционная система,windows 7 sp 1,операционная система,10
оперативная память,4 gb,оперативная память,8 gb
directx,version 9.0,directx,version 11
диск,300 mb,диск,300 mb
процессор,intel core i3,процессор,—
,,,
