windows_min_Serious Sam VR: The First Encounter,windows_min_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter
windows_min_Puyo Puyo™ Tetris® 2,windows_min_Puyo Puyo™ Tetris® 2,windows_req_Puyo Puyo™ Tetris® 2,windows_req_Puyo Puyo™ Tetris® 2
операционная система,8.1,операционная система,10
процессор,intel core i3-6100 or amd fx-4350,процессор,intel core i5-2300 or amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gts 750, 1 gb or radeon hd 5770, 1 gb",видео карта,"geforce gts 750ti, 2 gb or radeon hd 7770, 1 gb"
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
звуковая карта,directx9.0c,звуковая карта,directx9.0c
,,,
windows_min_Ratty Catty,windows_min_Ratty Catty,windows_req_Ratty Catty,windows_req_Ratty Catty
операционная система,windows vista,операционная система,"windows 7, windows 8, windows 10"
процессор,"intel core™ 2 duo 2.4 ghz, amd athlon™ x2 2.8 ghz, or higher",процессор,3.0 ghz dual core or higher
оперативная память,2 gb,оперативная память,4 gb
видео карта,"shader model 3.0, 768mb vram",видео карта,"shader model 3.0, 1gb vram"
диск,1 gb,диск,1 gb
,,,
windows_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,windows_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,macos_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,macos_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,linux_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,linux_min_AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
операционная система,windows xp/vista/7,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционная система,ubuntu 12.04
процессор,dual core,процессор,dual core,процессор,dual core
оперативная память,1gb,оперативная память,1gb,оперативная память,1gb
диск,2gb,диск,2gb,диск,2gb
видео карта,3d card with 512mb,видео карта,3d card with 512mb,видео карта,video card with 512mb of memory
directx,9.0c+,,,,
,,,,,
windows_min_Cannon Brawl,windows_min_Cannon Brawl,windows_req_Cannon Brawl,windows_req_Cannon Brawl,macos_min_Cannon Brawl,macos_min_Cannon Brawl,macos_req_Cannon Brawl,macos_req_Cannon Brawl,linux_min_Cannon Brawl,linux_min_Cannon Brawl,linux_req_Cannon Brawl,linux_req_Cannon Brawl
операционная система,"windows xp, vista, windows 7 or windows 8",операционная система,"windows xp, vista, windows 7 or windows 8",операционная система,mac os x 10.7.5,операционная система,mac os x 10.7.5,операционная система,ubuntu,операционная система,ubuntu
процессор,any with 2 cores,процессор,any with 2 cores,процессор,any with 2 or more cores,процессор,any with 2 or more cores,процессор,any with 2 or more cores,процессор,any with 2 or more cores
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"ati or nvidia videocard with at least 256mb, intel gma 950",видео карта,ati or nvidia videocard with at least 512mb,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,"ati or nvidia videocard with at least 256mb, or intel gma 950",видео карта,"ati or nvidia videocard with at least 256mb, or intel gma 950"
directx,version 9.0c,directx,version 9.0c,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Blaster Master Zero,windows_min_Blaster Master Zero
операционная система,"windows 7, 8.1, 10"
процессор,2ghz or faster processer
оперативная память,2 gb
видео карта,512mb vram (nvidia geforce)
directx,version 9.0c
,
windows_min_Panzer Dragoon: Remake,windows_min_Panzer Dragoon: Remake,windows_req_Panzer Dragoon: Remake,windows_req_Panzer Dragoon: Remake
операционная система,windows 8 / 10,операционная система,—
процессор,intel core i5-2200 (),процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 or amd radeon r9 290 (equivalent ),видео карта,—
диск,7 gb,диск,9 gb
,,,
windows_min_Black The Fall,windows_min_Black The Fall,windows_req_Black The Fall,windows_req_Black The Fall
операционная система,macos x 10.5 leopard,операционная система,—
процессор,intel core i3 2ghz,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,intel integrated graphics hd series,видео карта,—
directx,version 11,directx,version 11
,,,
windows_min_Void Destroyer 2,windows_min_Void Destroyer 2,windows_req_Void Destroyer 2,windows_req_Void Destroyer 2
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,16 gb
видео карта,geforce gtx 550,видео карта,geforce gtx 1070
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,2 gb
,,,
windows_min_RAD,windows_min_RAD,windows_req_RAD,windows_req_RAD
операционная система,windows 7 sp1 or windows 10 (),операционная система,windows 10 ()
процессор,"intel core i5-2400, 3.10 ghz / amd fx-8350, 4.00 ghz",процессор,"intel core i5-4570, 3.20 ghz / amd ryzen 5 1400, 3.20 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia gtx 780, 3 gb / amd rx 470, 4 gb",видео карта,"geforce gtx 980, 4 gb / radeon rx vega 64, 8 gb"
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
