windows_min_The Godfather 2,windows_min_The Godfather 2
операционна€ система,windows xp or higher
видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 1gb video card memory",видео карта,4gb video card memory,видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 1gb video card memory",видео карта,Ч,видео карта,"geforce gtx 960m / radeon hd 7750 or higher, 1gb video card memory",видео карта,4gb video card memory
directx,version 10,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,диск,8 gb,диск,Ч
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,8 gb,диск,Ч,дополнительно,"multiplayer only, make sure you have a stable and fast internet connection.",дополнительно,Ч
диск,8 gb,диск,Ч,дополнительно,"multiplayer only, make sure you have a stable and fast internet connection.",дополнительно,Ч,,,,
,,,,,,,,,,,
windows_min_Tanki Online Ц Steam Pack,windows_min_Tanki Online Ц Steam Pack,windows_req_Tanki Online Ц Steam Pack,windows_req_Tanki Online Ц Steam Pack
операционна€ система,mac os x 10.5.8,операционна€ система,mac os x 10.5.8
процессор,"1,6 ghz or faster",процессор,intel core i3-i5 2.33ghz
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,Ч
видео карта,128 mb,видео карта,1 gb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,100 mb,диск,250 mb
звукова€ карта,any,звукова€ карта,any
,,,
windows_min_Ocean Nomad: Survival on Raft,windows_min_Ocean Nomad: Survival on Raft,windows_req_Ocean Nomad: Survival on Raft,windows_req_Ocean Nomad: Survival on Raft
операционна€ система,windows 7,операционна€ система,windows 7
процессор,2.6 ghz dual core or similar,процессор,intel core i5 2.6ghz or similar
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 500 series or similar,видео карта,geforce gtx 700 series or similar
directx,version 11,directx,version 11
,,,
windows_min_SENRAN KAGURA Peach Beach Splash - Mega Outfit Pack 2,windows_min_SENRAN KAGURA Peach Beach Splash - Mega Outfit Pack 2
операционна€ система,windows 7+
процессор,intel core i3-550 @ 3.2 ghz (2-core)
