процессор,intel core 2 duo 2ghz+
оперативная память,1 gb
видео карта,directx9 compatible graphics card
directx,version 9.0
,
windows_min_Gemini: Heroes Reborn,windows_min_Gemini: Heroes Reborn,windows_req_Gemini: Heroes Reborn,windows_req_Gemini: Heroes Reborn
операционная система,windows 7,операционная система,windows 8
процессор,intel core i5 2500k,процессор,intel core i7 3770k
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce 560,видео карта,geforce 670
directx,version 10,directx,version 10
,,,
windows_min_Skirmish Line,windows_min_Skirmish Line
операционная система,os x 10.10+
процессор,dual core cpu @ 2.0ghz
оперативная память,1 gb
видео карта,"geforce 7800, amd hd 4600, intel hd graphics 3000 or above"
,
windows_min_Alone in the Dark: The New Nightmare,windows_min_Alone in the Dark: The New Nightmare
операционная система,windows 98 se/me/2000 pro/xp
процессор,intel pentium ii 300 mhz
оперативная память,64 mb
directx,version 9.0c
,
windows_min_Spin Rush,windows_min_Spin Rush,macos_min_Spin Rush,macos_min_Spin Rush,linux_min_Spin Rush,linux_min_Spin Rush
операционная система,windows 7,операционная система,mac os x 10.10.3,операционная система,ubuntu 12.04.05 lts (precise pangolin)
процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.0 ghz
оперативная память,128 mb,оперативная память,128 mb,оперативная память,128 mb
видео карта,version 9.0,видео карта,256 mb or higher,видео карта,256 mb or higher
,,,,,
windows_min_Death to Spies: Moment of Truth,windows_min_Death to Spies: Moment of Truth,windows_req_Death to Spies: Moment of Truth,windows_req_Death to Spies: Moment of Truth
операционная система,"windows xp sp3, windows vista sp1 / 7 / 8 / 8.1 / 10",операционная система,—
процессор,intel dual core 2.0 ghz or amd athlon 4000+,процессор,intel core 2 duo 2.4 ghz or amd athlon dual core 5200+
оперативная память,"xp – 1 gb, vista – 2 gb",оперативная память,2 gb
видео карта,"3d hardware accelerator card required – 100% directx 9.0c compatible 256 mb video memory. ati radeon x800, nvidia geforce 6800",видео карта,"256 mb 3d hardware accelerator card with shader 3.0 support. ati radeon hd 3870, nvidia geforce 8800 gt"
диск,4.5 gb + 1 gb swap file,диск,—
,,,
windows_min_Nefarious,windows_min_Nefarious,macos_min_Nefarious,macos_min_Nefarious,linux_min_Nefarious,linux_min_Nefarious
операционная система,"windows 7, 8, 10",операционная система,snow leopard,операционная система,unbuntu
процессор,intel core 2 duo 2.8ghz,процессор,intel core 2 duo 2.8ghz,процессор,2.8 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 10 compatible video card,видео карта,opengl 3.0+ support,диск,2 gb
,,,,,
windows_min_3079 -- Block Action RPG,windows_min_3079 -- Block Action RPG,macos_min_3079 -- Block Action RPG,macos_min_3079 -- Block Action RPG,linux_min_3079 -- Block Action RPG,linux_min_3079 -- Block Action RPG
операционная система,windows xp+,операционная система,10.7.3+,операционная система,all distributions that support java 7+
процессор,dual-core,процессор,dual-core,процессор,dual-core
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,dedicated 3d hardware,видео карта,dedicated 3d hardware,видео карта,dedicated 3d hardware
диск,100 mb,диск,100 mb,диск,100 mb
звуковая карта,openal support,звуковая карта,openal support,звуковая карта,openal support
,,,,,
windows_min_Bullet Heaven 2,windows_min_Bullet Heaven 2
процессор,2 ghz dual core
оперативная память,2 gb
видео карта,anything that's not ancient
диск,200 mb
,
windows_min_Road Madness,windows_min_Road Madness
операционная система,"xp, vista, windows 7"
процессор,1.6 ghz
оперативная память,1000 mb
видео карта,256mb
,
windows_min_Looterkings,windows_min_Looterkings,windows_req_Looterkings,windows_req_Looterkings
операционная система,windows 7,операционная система,windows 10
процессор,"2,5 ghz dual-core cpu",процессор,2.5 ghz quad-core cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 560 with 2 gb video,видео карта,nvidia gtx 770 with 2+ gb video
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Borderlands 2: Headhunter 1: Bloody Harvest,windows_min_Borderlands 2: Headhunter 1: Bloody Harvest,windows_req_Borderlands 2: Headhunter 1: Bloody Harvest,windows_req_Borderlands 2: Headhunter 1: Bloody Harvest,macos_min_Borderlands 2: Headhunter 1: Bloody Harvest,macos_min_Borderlands 2: Headhunter 1: Bloody Harvest,macos_req_Borderlands 2: Headhunter 1: Bloody Harvest,macos_req_Borderlands 2: Headhunter 1: Bloody Harvest,linux_min_Borderlands 2: Headhunter 1: Bloody Harvest,linux_min_Borderlands 2: Headhunter 1: Bloody Harvest,linux_req_Borderlands 2: Headhunter 1: Bloody Harvest,linux_req_Borderlands 2: Headhunter 1: Bloody Harvest
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/win 7,операционная система,10.12 (sierra),операционная система,10.12 (sierra),операционная система,"steamos, ubuntu 14.04",операционная система,—
процессор,2.4 ghz dual core,процессор,2.3 ghz quad core,процессор,2.2 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core,процессор,"intel core 2 quad, amd phenom ii x4",процессор,—
оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce 8500 / ati radeon hd 2600,видео карта,nvidia geforce gtx 560 / ati radeon hd 5850,видео карта,ati radeon hd 2600 / nvidia geforce 8800,видео карта,ati radeon hd 5750 / nvidia geforce 650m,видео карта,nvidia geforce 260,видео карта,—
диск,13 gb,диск,20 gb,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,—
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c-compatible,диск,13 gb,диск,13 gb,диск,13 gb,диск,—
дополнительно,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще",дополнительно,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще",дополнительно,borderlands 2 supports both the microsoft xbox 360 wired gamepad and the playstation 3 dualshock 3 wireless controller.,дополнительно,—,дополнительно,don't meet the above requirements? that doesn't mean your configuration wont run borderlands 2. visit the borderlands 2 community page to share your experience with other linux players and learn about how to send bugs ...  to aspyr. your feedback will help us improve borderlands 2 linux and future aaa linux releases!  еще,дополнительно,—
,,,,supported graphicss,"nvidia geforce 8800, gt 120, 320m, 330m, 640m, 650m, 660m, 675mx, 680mx ati radeon hd 2600, hd 3870, hd 4670, hd 4850, hd 5670, hd 5750, hd 5770, hd 5870, hd 6630, hd 6490, hd ...  6750, hd 6770, hd 6970 intel hd graphics 3000, 4000  еще",supported graphicss,—,,,,
,,,,,,,,,,,
windows_min_SpaceCorn,windows_min_SpaceCorn,windows_req_SpaceCorn,windows_req_SpaceCorn
операционная система,"windows xp, vista or 7",операционная система,"windows xp, vista or 7"
процессор,1ghz or more,процессор,1.5 ghz or more
оперативная память,512 mb,оперативная память,1 gb
видео карта,intel hd graphics or amd apu,видео карта,intel hd graphics or amd apu
диск,50 mb,диск,50 mb
,,,
windows_min_Hyper Jam,windows_min_Hyper Jam,windows_req_Hyper Jam,windows_req_Hyper Jam
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3-3210 @ 3.20ghz (),процессор,intel core i5-4430 @ 3.00ghz ()
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 480 / radeon hd 7870 (),видео карта,geforce gtx 960 / radeon rx 570 ()
directx,version 11,directx,version 11
диск,4500 mb,диск,4500 mb
,,,
windows_min_Gym Simulator,windows_min_Gym Simulator,windows_req_Gym Simulator,windows_req_Gym Simulator
операционная система,windows 10,операционная система,windows 10
процессор,i7,процессор,mid-to-high end
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 780,видео карта,mid-to-high end
directx,version 11,directx,version 11
,,,
windows_min_Omegalodon,windows_min_Omegalodon
операционная система,os x 10.5+
процессор,1.4 ghz intel
оперативная память,512 mb
видео карта,256 mb directx compatible
directx,version 9.0
сеть,широкополосное подключение
,
