windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack
видео карта,nvidia geforceЩ gtx 570 or nvidia geforceЩ gtx 1050/ amd radeonЩ hd 7850 or amd radeonЩ rx 550,видео карта,nvidia geforceЩ gtx 780 / amd radeonЩ r9 290 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Persistence,windows_min_The Persistence,windows_req_The Persistence,windows_req_The Persistence
операционна€ система,windows 10,операционна€ система,windows 10
процессор,intel i5 4570,процессор,intel i7 10700k
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 750ti,видео карта,nvidia geforce rtx 3080ti
directx,version 12,directx,version 12
,,,
windows_min_Remothered: Tormented Fathers - Artbook,windows_min_Remothered: Tormented Fathers - Artbook,macos_min_Remothered: Tormented Fathers - Artbook,macos_min_Remothered: Tormented Fathers - Artbook,linux_min_Remothered: Tormented Fathers - Artbook,linux_min_Remothered: Tormented Fathers - Artbook
операционна€ система,any,операционна€ система,any,операционна€ система,any
процессор,any,процессор,any,процессор,any
оперативна€ пам€ть,256 mb,оперативна€ пам€ть,256 mb,оперативна€ пам€ть,256 mb
видео карта,any,видео карта,any,видео карта,any
диск,500 mb,диск,500 mb,диск,500 mb
,,,,,
windows_min_METAL GEAR SOLID V: THE PHANTOM PAIN - MB Coin 2000,windows_min_METAL GEAR SOLID V: THE PHANTOM PAIN - MB Coin 2000,windows_req_METAL GEAR SOLID V: THE PHANTOM PAIN - MB Coin 2000,windows_req_METAL GEAR SOLID V: THE PHANTOM PAIN - MB Coin 2000
операционна€ система,"windows 7x64, windows 8x64, windows 10x64 ( os required)",операционна€ система,"windows 7x64, windows 8x64, windows 10x64 ( os required)"
процессор,intel core i5-4460 (3.40 ghz) ; quad-core,процессор,intel core i7-4790 (3.60ghz) ; quad-core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
