windows_min_SOS Survival,windows_min_SOS Survival,windows_req_SOS Survival,windows_req_SOS Survival
процессор,"intel pentium g4560, amd fx-6300",процессор,"intel pentium i5 7600, amd ryzen 1600"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 750ti, amd radeon r7 260x",видео карта,"geforce gtx 1060, amd radeon rx 580"
directx,version 11,directx,version 11
,,,
windows_min_Sapper - Defuse The Bomb Simulator,windows_min_Sapper - Defuse The Bomb Simulator
операционная система,"windows xp, windows vista, windows 7, windows 8, windows 8.1, windows 10"
оперативная память,4 gb
,
windows_min_Gunslingers & Zombies,windows_min_Gunslingers & Zombies
операционная система,"windows xp, windows vista, windows 7, windows 8, windows 8.1, windows 10"
процессор,3 ghz
оперативная память,4 gb
видео карта,gtx 660
,
windows_min_Ghost Song,windows_min_Ghost Song,windows_req_Ghost Song,windows_req_Ghost Song,macos_min_Ghost Song,macos_min_Ghost Song,macos_req_Ghost Song,macos_req_Ghost Song,linux_min_Ghost Song,linux_min_Ghost Song,linux_req_Ghost Song,linux_req_Ghost Song
операционная система,windows 10,операционная система,windows 10,операционная система,"snow leopard 10.6.8, 32/",операционная система,—,операционная система,ubuntu 14.10,операционная система,—
процессор,intel core i3-2100 or amd fx-4350,процессор,intel core i7-2600 or amd fx-8350,процессор,intel g850 dual-core 2.9ghz or similar,процессор,—,процессор,intel g850 dual-core 2.9ghz or similar,процессор,—
оперативная память,4 gb,оперативная память,6 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,"nvidia geforce gtx 550 ti, 1 gb or amd radeon hd 5770, 1 gb",видео карта,"nvidia geforce gtx 750, 2 gb or amd radeon r7 360, 2 gb",видео карта,dedicated (non-integrated) gpu with 1gb or more video memory,видео карта,—,видео карта,dedicated (non-integrated) gpu with 1gb or more video memory,видео карта,—
,,,,,,,,,,,
windows_min_Mask of Fury,windows_min_Mask of Fury,windows_req_Mask of Fury,windows_req_Mask of Fury
операционная система,windows 7,операционная система,windows 7
процессор,1.8ghz,процессор,2.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 4000 series,видео карта,geforce 780
directx,version 10,directx,version 10
,,,
windows_min_Gallic Wars: Battle Simulator,windows_min_Gallic Wars: Battle Simulator
операционная система,"windows xp, windows vista, windows 7, windows 8, windows 8.1, windows 10"
процессор,3.1 ghz
оперативная память,8 gb
видео карта,gtx 660
,
windows_min_SCARF,windows_min_SCARF,windows_req_SCARF,windows_req_SCARF
операционная система,mac os x 10.9,операционная система,—
процессор,quad core cpu,процессор,—
оперативная память,6 gb,оперативная память,—
видео карта,gtx 650 ti 1gb/ radeon 6950 1gb,видео карта,—
directx,version 11,directx,version 11
диск,8 gb,диск,—
,,,
windows_min_Nemezis: Mysterious Journey III,windows_min_Nemezis: Mysterious Journey III
операционная система,windows 7 / 8 / 10
процессор,"amd phenom ii x4 955 - 4 core, 3.2 ghz"
оперативная память,8 gb
видео карта,2gb / radeon r9 200 series or nvidia geforce gtx660
directx,version 11
диск,12 gb
,
windows_min_Gatewalkers,windows_min_Gatewalkers,windows_req_Gatewalkers,windows_req_Gatewalkers
операционная система,mac os x 10.13.5,операционная система,mac os x 10.13.5
процессор,"intel core i7 2,2ghz",процессор,"intel core i7 2,2ghz"
оперативная память,8 gb,оперативная память,8 gb
видео карта,ati radeon™ rx555,видео карта,ati radeon™ rx555
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Tower Princess,windows_min_Tower Princess
операционная система,windows 7+ / 8.1 / 10
процессор,intel i3
оперативная память,6 gb
видео карта,"ati 7770, nvidia geforce gtx 660 2gb"
directx,version 10
,
windows_min_Armored Front: Tiger Command,windows_min_Armored Front: Tiger Command,windows_req_Armored Front: Tiger Command,windows_req_Armored Front: Tiger Command
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1070 (),видео карта,nvidia gtx 1080 ()
directx,version 11,directx,version 11
диск,8 gb,диск,16 gb
,,,
windows_min_Paunch,windows_min_Paunch
операционная система,windows 7 sp1 ()
процессор,intel core i5-2500k / amd fx-8350
оперативная память,1 gb
видео карта,radeon hd 5000 / geforce 400
directx,version 11
сеть,широкополосное подключение
диск,1 gb
,
windows_min_Walking Zombie 2,windows_min_Walking Zombie 2
операционная система,windows 7 or higher
процессор,recent intel i3 or amd alternative
видео карта,dedicated gpu recommended
directx,version 11
,
windows_min_Firestone: Online Idle RPG,windows_min_Firestone: Online Idle RPG,macos_min_Firestone: Online Idle RPG,macos_min_Firestone: Online Idle RPG,linux_min_Firestone: Online Idle RPG,linux_min_Firestone: Online Idle RPG
операционная система,windows 7 and above,операционная система,"mac os x v10.6, and above",операционная система,ubuntu 16.04+
процессор,"2.33ghz or faster x86-compatible, or intel atom™ 1.6ghz or faster for netbook class devices",процессор,intel core™ duo 1.83ghz or faster,процессор,"2.33ghz or faster x86-compatible, or intel atom™ 1.6ghz or faster for netbook class devices"
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
,,,,,
windows_min_Warfork,windows_min_Warfork,windows_req_Warfork,windows_req_Warfork,macos_min_Warfork,macos_min_Warfork,macos_req_Warfork,macos_req_Warfork,linux_min_Warfork,linux_min_Warfork,linux_req_Warfork,linux_req_Warfork
операционная система,"xp, vista, 7, 8, 10, 11",операционная система,"xp, vista, 7, 8, 10, 11",операционная система,mac os x snow leopard (),операционная система,mac os x mojave (),операционная система,"debian stretch, ubuntu bionic beaver",операционная система,"debian buster, ubuntu disco dingo"
процессор,single core intel/amd 2.4+ ghz,процессор,dual core intel/amd 2.4+ ghz dual core,процессор,single core intel 2.4+ ghz,процессор,dual core intel 2.4+ ghz dual core,процессор,single core intel/amd 2.4+ ghz,процессор,dual core intel/amd 2.4+ ghz dual core
оперативная память,1024 mb,оперативная память,2048 mb,оперативная память,1024 mb,оперативная память,2048 mb,оперативная память,1024 mb,оперативная память,2048 mb
