windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
directx,11,directx,11,диск,1 gb hd space,диск,1 gb hd space,диск,1 gb hd space,диск,1 gb hd space
диск,1 gb hd space,диск,1 gb hd space,звуковая карта,any supported by the os,звуковая карта,any supported by the os,звуковая карта,"alsa, pulse or openal",звуковая карта,"alsa, pulse or openal"
звуковая карта,any supported by the os,звуковая карта,any supported by the os,other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,широкополосное подключение
other requirements,широкополосное подключение,other requirements,широкополосное подключение,additional,the mac port is in-progress and very unstable at the moment.,additional,the mac port is in-progress and very unstable at the moment.,additional,the linux port is in-progress and very unstable at the moment.,additional,the linux port is in-progress and very unstable at the moment.
,,,,,,,,,,,
windows_min_DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,windows_min_DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,windows_req_DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,windows_req_DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition
операционная система,windows 10 (32bit/64bit),операционная система,windows 10 (32bit/64bit)
процессор,pentium4 2.0ghz,процессор,core2duo 2.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"vram 128mb, 3d accelerator chip required(directx 9.0c /pixel shader 3.0 )",видео карта,"vram 256mb, 3d accelerator chip required(directx 9.0c /pixel shader 3.0 )"
directx,version 9.0c,directx,version 9.0c
диск,25 gb,диск,25 gb
,,,
windows_min_Unforgiving - A Northern Hymn,windows_min_Unforgiving - A Northern Hymn
операционная система,"windows 7, 8, 8.1, 10 32/"
процессор,intel core i3 amd
оперативная память,4 gb
видео карта,gtx460m
directx,version 11
диск,4 gb
,
windows_min_Cube Destroyer,windows_min_Cube Destroyer
операционная система,"windows xp, vista, 7, 8/8.1, 10"
процессор,1.8 ghz
оперативная память,2 gb
видео карта,512 mb vram
directx,version 9.0c
,
windows_min_High Hell,windows_min_High Hell,windows_req_High Hell,windows_req_High Hell
операционная система,os x 10.11 el capitan,операционная система,os x 10.11 el capitan
процессор,intel core 2 duo e6320 (2*1866),процессор,intel core i3-2100 (2 * 3100) or amd phenom ii x4 965 (4 * 3400)
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 7600 gs (512 mb),видео карта,geforce gtx 660 (2048 mb)
,,,
windows_min_Baldr Sky,windows_min_Baldr Sky
операционная система,windows 7/8/8.1/10
процессор,core 2 duo (core i3 or higher recommended)
оперативная память,4 gb
видео карта,opengl or directx compatible graphics card
directx,version 9.0c
,
windows_min_Mushihimesama,windows_min_Mushihimesama,windows_req_Mushihimesama,windows_req_Mushihimesama
операционная система,windows 7/8/8.1/10,операционная система,—
процессор,intel core i3 2ghz or higher.,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"intel hd graphics 4000, geforce 9500gt, radeon hd 3650",видео карта,—
directx,version 9.0c,directx,—
диск,1500 mb,диск,2 gb
,,,
windows_min_Last Tide,windows_min_Last Tide,windows_req_Last Tide,windows_req_Last Tide
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-2400 or amd fx-6300,процессор,intel core i5-6600k or amd ryzen 5 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1050 / 950/760 or amd radeon rx 560/rx 460/r7 370,видео карта,nvidia geforce gtx 1060 / 970/780 or amd radeon rx 580/570/480
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
звуковая карта,windows supported sound card,звуковая карта,windows supported sound card
,,,
windows_min_SURV1V3,windows_min_SURV1V3,windows_req_SURV1V3,windows_req_SURV1V3
операционная система,windows 10 - dx11/12,операционная система,windows 10 - dx11/12
процессор,intel i5-4590k,процессор,intel i7-6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 980 / amd with 4 gb of,видео карта,nvidia gtx 1070 / amd
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Battle Chef Brigade Deluxe,windows_min_Battle Chef Brigade Deluxe
операционная система,macos 10.8 or higher
процессор,dual core 2+ ghz
оперативная память,2 gb
видео карта,"intel hd graphics 3000, geforce 240 gt, radeon hd 6570"
directx,version 9.0c
диск,2026 mb
,
windows_min_Worms Rumble,windows_min_Worms Rumble,windows_req_Worms Rumble,windows_req_Worms Rumble
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-2300 or fx-4350,процессор,intel core i5-6600 or amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_Returnal™,windows_min_Returnal™,windows_req_Returnal™,windows_req_Returnal™
операционная система,windows 10 (version 1903),операционная система,windows 10 (version 1903)
процессор,intel core i5-6400 (4 core 2.7ghz) amd ryzen 5 1500x (4 core 3.5ghz),процессор,intel i7-8700 (6 core 3.7 ghz) amd ryzen 7 2700x (8 core 3.7 ghz)
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 (6 gb) amd radeon rx 580 (8 gb),видео карта,nvidia rtx 2070 super (8 gb) amd radeon rx 6700 xt (12 gb)
диск,60 gb,диск,60 gb
,,,
windows_min_The Last of Waifus,windows_min_The Last of Waifus
операционная система,windows 7 sp1+
процессор,intel core 2 or similar
оперативная память,2 gb
видео карта,graphics card with dx10
directx,version 10
диск,300 mb
,
windows_min_Taur,windows_min_Taur,windows_req_Taur,windows_req_Taur
операционная система,microsoft windows 7.1/8/8.1/10,операционная система,microsoft windows 7.1/8/8.1/10
процессор,dual core cpu,процессор,quad core cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities,видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10,directx,version 11
,,,
