windows_min_Super Dungeon Boy,windows_min_Super Dungeon Boy,windows_req_Super Dungeon Boy,windows_req_Super Dungeon Boy
операционная система,windows xp sp2+,операционная система,"windows 10, 8, 7, vista"
процессор,intel core™ duo or faster,процессор,intel core™ duo or faster
оперативная память,1 gb,оперативная память,2 gb
видео карта,optional,видео карта,"geforce 6100, intel x3000 or radeon x1300"
directx,version 9.0c,directx,version 11
диск,145 mb,диск,145 mb
,,,
windows_min_Vectronom,windows_min_Vectronom
операционная система,macos 10.12+
процессор,sse2 instruction set support
оперативная память,4 gb
видео карта,dx10 (shader model 4.0)
directx,version 10
,
windows_min_Undungeon,windows_min_Undungeon,windows_req_Undungeon,windows_req_Undungeon
операционная система,windows 7 and up,операционная система,windows 10
процессор,2ghz and up,процессор,i7 ~3 ghz / ryzen 7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 750,видео карта,gtx 1060
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Don't cut your hand,windows_min_Don't cut your hand,macos_min_Don't cut your hand,macos_min_Don't cut your hand,linux_min_Don't cut your hand,linux_min_Don't cut your hand
операционная система,windows 7,операционная система,osx 10,операционная система,ubuntu 12.4
процессор,1.0 ghz,процессор,1.0 ghz,процессор,1.0 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx compatible graphics,видео карта,"nvidia 320m or higher, or radeon 7000 or higher, or intel hd 3000 or higher",видео карта,"nvidia geforce 6200, ati/amd radeaon hd2400 xt"
,,,,,
windows_min_Shadows 2: Perfidia,windows_min_Shadows 2: Perfidia,windows_req_Shadows 2: Perfidia,windows_req_Shadows 2: Perfidia
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,windows vista / 7 / 8 / 10
процессор,intel core i3 6100,процессор,intel core i5 4460
оперативная память,4 gb,оперативная память,6 gb
видео карта,gtx 550 ti,видео карта,gtx 750
directx,version 9.0,directx,version 11
,,,
windows_min_Jetman Go,windows_min_Jetman Go,windows_req_Jetman Go,windows_req_Jetman Go
операционная система,windows 7,операционная система,windows 7
процессор,2.4 ghz dual core,процессор,2.5 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Naval Warfare,windows_min_Naval Warfare
операционная система,"windows xp sp3, windows vista, windows 7"
процессор,intel or amd dual-core prozessor (1.9 ghz)
оперативная память,2gb
диск,1.5 gb hard drive space
видео карта,nvidia geforce gts250 / ati radeon hd4800
directx,directx 9.0c
,
windows_min_Thunder Tier One,windows_min_Thunder Tier One,windows_req_Thunder Tier One,windows_req_Thunder Tier One
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 3.3 ghz,процессор,intel core i7 3770k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 950,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_Can't Drive This,windows_min_Can't Drive This,windows_req_Can't Drive This,windows_req_Can't Drive This,macos_min_Can't Drive This,macos_min_Can't Drive This,macos_req_Can't Drive This,macos_req_Can't Drive This,linux_min_Can't Drive This,linux_min_Can't Drive This,linux_req_Can't Drive This,linux_req_Can't Drive This
операционная система,windows 7 () () windows os,операционная система,windows 7 () () windows os,операционная система,os x 10.11,операционная система,os x 10.13,операционная система,linux,операционная система,linux
процессор,2.5 ghz dual core,процессор,3.0+ ghz quad core,процессор,2.5 ghz dual core,процессор,3.0+ ghz quad core,процессор,2.5 ghz dual core,процессор,3.0+ ghz quad core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,4 gb
