windows_min_2032: A New Threat,windows_min_2032: A New Threat,windows_req_2032: A New Threat,windows_req_2032: A New Threat
операционная система,windows 7 s or higher,операционная система,windows 10 s or higher
процессор,intel core i5-3330 @ 3.2ghz or amd ryzen 5 2600,процессор,intel(r) core(tm) i5-9400f cpu @ 2.90ghz or amd ryzen 5 3400
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1060 6gb or amd rx 570 4gb,видео карта,nvidia geforce gtx 1660ti 6gb or amd rx 580 8gb
directx,version 11,directx,version 11
диск,17 gb,диск,17 gb
звуковая карта,directx compatible audio card,звуковая карта,directx compatible audio card
,,,
windows_min_Kingdom Run VR,windows_min_Kingdom Run VR,windows_req_Kingdom Run VR,windows_req_Kingdom Run VR
операционная система,windows 10,операционная система,windows 10
процессор,intel i5 7600,процессор,intel i7 9700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1070,видео карта,gtx 2070
диск,1 gb,диск,1 gb
звуковая карта,-,звуковая карта,-
vr support,"openxr, steamvr",vr support,"openxr, steamvr"
,,,
windows_min_World Soccer Kid,windows_min_World Soccer Kid,windows_req_World Soccer Kid,windows_req_World Soccer Kid
операционная система,windows 7 and later os,операционная система,windows 7 and later os
процессор,1.2 ghz,процессор,1.2 ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,graahics cards supports direct x 9 or higher,видео карта,graahics cards supports direct x 9 or higher
,,,
windows_min_The Starving Tournament,windows_min_The Starving Tournament,windows_req_The Starving Tournament,windows_req_The Starving Tournament
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 or comparable,процессор,intel core i7 or comparable
оперативная память,8 gb,оперативная память,16 gb
видео карта,on board graphics,видео карта,nvidia geforce 1050 or comparable
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,5 gb
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_Limited Rescue,windows_min_Limited Rescue,windows_req_Limited Rescue,windows_req_Limited Rescue
операционная система,windows 7+,операционная система,s os and
процессор,"intel core i5-5257u, amd ryzen 3 1200",процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,"geforce gtx 1050, amd rx 460",видео карта,—
directx,version 11,directx,—
,,,
windows_min_Tribu,windows_min_Tribu
операционная система,ubuntu 20.04 lts
процессор,1st generation i3 from intel or amd equivalent
оперативная память,4 gb
видео карта,nvidia geforce gt 430 or amd equivalent (amd hd 4000 series)
directx,version 11
,
windows_min_Sphere Game Legendary,windows_min_Sphere Game Legendary,windows_req_Sphere Game Legendary,windows_req_Sphere Game Legendary
операционная система,windows 10,операционная система,windows 10
процессор,fx 8300,процессор,fx 8300
оперативная память,4 gb,оперативная память,4 gb
видео карта,rx 550,видео карта,rx 580
directx,version 11,directx,version 12
,,,
windows_min_Midnight Dash,windows_min_Midnight Dash
операционная система,windows 7
процессор,intel core i3 m380
оперативная память,2 gb
видео карта,intel hd 4000
directx,version 10
,
windows_min_Horror Tale 2: Samantha,windows_min_Horror Tale 2: Samantha
операционная система,"windows 7,8,10"
процессор,intel core tm i5 750
оперативная память,4 gb
видео карта,sapphire radeon hd 5770 1gb
directx,version 11
диск,1 gb
,
