windows_min_Buccaneers!,windows_min_Buccaneers!,windows_req_Buccaneers!,windows_req_Buccaneers!
windows_min_Lara Croft and the Temple of Osiris - Icy Death Pack,windows_min_Lara Croft and the Temple of Osiris - Icy Death Pack,windows_req_Lara Croft and the Temple of Osiris - Icy Death Pack,windows_req_Lara Croft and the Temple of Osiris - Icy Death Pack
операционная система,"windows vista, windows 7, windows 8",операционная система,"windows vista, windows 7, windows 8"
процессор,2.0 ghz high end dual core cpu,процессор,quad core cpu: amd phenom ii x4 955 or intel core i5-750
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 6000 series / nvidia geforce 500 series,видео карта,amd radeon hd r7/ nvidia gtx 650
,,,
windows_min_League of Pixels - 2D MOBA,windows_min_League of Pixels - 2D MOBA
операционная система,—
процессор,—
оперативная память,—
диск,—
,
windows_min_War Trigger 3,windows_min_War Trigger 3,windows_req_War Trigger 3,windows_req_War Trigger 3
операционная система,macos lion (10.7),операционная система,macos majave (10.14+)
процессор,intel core™ i3,процессор,intel core™ i7
оперативная память,4 gb,оперативная память,6 gb
видео карта,intel gma x3100,видео карта,nvidia geforce gt 650
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Hitman: Absolution: High Roller Disguise,windows_min_Hitman: Absolution: High Roller Disguise,windows_req_Hitman: Absolution: High Roller Disguise,windows_req_Hitman: Absolution: High Roller Disguise
операционная система,os x 10.9.2 mavericks,операционная система,os x 10.9.2 mavericks
процессор,2.0 ghz,процессор,2.4 ghz
storage space,24gb,storage space,24gb
оперативная память,4gb memory,оперативная память,8gb memory
видео карта,512 mb*,видео карта,1gb*
directx,10,directx,11
диск,24 gb hd space,диск,24 gb hd space
,,,
windows_min_Borderlands 2: Psycho Domination Pack,windows_min_Borderlands 2: Psycho Domination Pack,windows_req_Borderlands 2: Psycho Domination Pack,windows_req_Borderlands 2: Psycho Domination Pack
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/win 7
процессор,2.4 ghz dual core,процессор,2.3 ghz quad core
оперативная память,2 gb(xp)/ 2 gb(vista),оперативная память,2 gb
диск,13 gb free,диск,20 gb free
video memory,256 mb,video memory,512mb
видео карта,nvidia geforce 8500 / ati radeon hd 2600,видео карта,nvidia geforce gtx 560 / ati radeon hd 5850
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Devil May Cry 5 - 3 Blue Orbs,windows_min_Devil May Cry 5 - 3 Blue Orbs,windows_req_Devil May Cry 5 - 3 Blue Orbs,windows_req_Devil May Cry 5 - 3 Blue Orbs
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,"intel core™ i5-4460, amd fx™-6300,",процессор,"intel core™ i7-3770, amd fx™-9590,"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeon™ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_HITMAN™ 2 - Isle of Sgil,windows_min_HITMAN™ 2 - Isle of Sgil,windows_req_HITMAN™ 2 - Isle of Sgil,windows_req_HITMAN™ 2 - Isle of Sgil
операционная система,os windows 7,операционная система,os windows 7 / windows 8 (8.1) or windows 10
