windows_min_Thunder Wolves,windows_min_Thunder Wolves
операционная система,windows xp/vista/7™
процессор,2 ghz single-core
оперативная память,2 gb
видео карта,256mb directx9 compatible video card
directx,9.0c
диск,2 gb hd space
звуковая карта,directx 9.0c compatible
other requirements,широкополосное подключение
,
windows_min_Botology,windows_min_Botology,windows_req_Botology,windows_req_Botology
windows_min_99Vidas,windows_min_99Vidas,windows_req_99Vidas,windows_req_99Vidas,macos_min_99Vidas,macos_min_99Vidas,macos_req_99Vidas,macos_req_99Vidas,linux_min_99Vidas,linux_min_99Vidas,linux_req_99Vidas,linux_req_99Vidas
операционная система,microsoft windows 7 sp1,операционная система,microsoft windows 7 sp2 / windows 8.1 / windows 10,операционная система,mac os x 10.8,операционная система,mac os x 10.9,операционная система,ubuntu 12.04 / steamos,операционная система,ubuntu 16.04 / steamos
процессор,intel core 2 duo @ 2.0ghz or amd equivalent,процессор,intel core i5 @ 2.66ghz / amd phenom,процессор,intel core 2 duo @ 2.0ghz,процессор,intel core i5 @ 2.66ghz,процессор,intel core 2 duo @ 2.0ghz or amd equivalent,процессор,intel core i5 @ 2.66ghz / amd phenom
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800 (512mb) / ati radeon hd 2900 (512mb),видео карта,nvidia geforce gtx 460 (1gb) / ati radeon hd 5850 (1gb),видео карта,nvidia geforce 9400m,видео карта,nvidia geforce gt 750m / intel hd graphics 4000 / amd radeon r9 m290,видео карта,nvidia geforce 8800 (512mb) / ati radeon hd 2900 (512mb),видео карта,nvidia geforce gtx 460 (1gb) / ati radeon hd 5850 (1gb)
directx,version 9.0c,directx,version 11,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,дополнительно,supports usb gamepad controllers,дополнительно,supports usb gamepad controllers,дополнительно,supports microsoft xbox 360 controller,дополнительно,supports microsoft xbox 360 controller
дополнительно,supports microsoft xbox 360/one controller or direct input compatible controller; sony dualshock4 controller support for 64bits version only,дополнительно,supports microsoft xbox 360/one controller or direct input compatible controller; sony dualshock4 controller support for 64bits version only,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_Ghostbusters: The Video Game Remastered,windows_min_Ghostbusters: The Video Game Remastered,windows_req_Ghostbusters: The Video Game Remastered,windows_req_Ghostbusters: The Video Game Remastered
операционная система,windows 7 sp2,операционная система,windows 10
процессор,intel i3,процессор,intel core i5-4690
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 630,видео карта,nvidia geforce gtx 670
,,,
windows_min_Cobalt,windows_min_Cobalt
операционная система,"windows 7, 8 or 10"
процессор,"1,5 ghz or faster"
оперативная память,2 gb
видео карта,1gb vram
,
windows_min_Bedlam,windows_min_Bedlam,windows_req_Bedlam,windows_req_Bedlam
операционная система,mac os x 10.6,операционная система,mac os x 10.6
процессор,dual core 2ghz,процессор,quad core 3.5ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,any directx 9 level (shader model 2.0) capable card,видео карта,any directx10 capable card.
directx,version 9.0,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Alien Breed 2: Assault,windows_min_Alien Breed 2: Assault
операционная система,windows xp sp2
процессор,2.0+ ghz single core
оперативная память,1gb
видео карта,nvidia 6800+ or ati radeon x700+ video card
directx,9.0c
диск,1.5gb
,
windows_min_7 Sexy Sins,windows_min_7 Sexy Sins,windows_req_7 Sexy Sins,windows_req_7 Sexy Sins,macos_min_7 Sexy Sins,macos_min_7 Sexy Sins,macos_req_7 Sexy Sins,macos_req_7 Sexy Sins,linux_min_7 Sexy Sins,linux_min_7 Sexy Sins,linux_req_7 Sexy Sins,linux_req_7 Sexy Sins
операционная система,windows 7 sp1+,операционная система,windows 8 / windows 10,операционная система,mac osx 10.10+,операционная система,—,операционная система,ubuntu 12.04 lts,операционная система,—
процессор,intel core i3 or amd phenom ii,процессор,intel core i5 / amd ryzen 3,процессор,intel core i3,процессор,—,процессор,intel core i3,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,intel integrated graphics,видео карта,geforce gt630,видео карта,integrated graphics,видео карта,—,видео карта,integrated graphics,видео карта,—
directx,version 10,directx,version 10,диск,1200 mb,диск,—,диск,1200 mb,диск,—
,,,,,,,,,,,
windows_min_Dustoff Heli Rescue,windows_min_Dustoff Heli Rescue,windows_req_Dustoff Heli Rescue,windows_req_Dustoff Heli Rescue
операционная система,osx mavericks,операционная система,osx yosemite
процессор,any dual core,процессор,quad core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd 4000,видео карта,intel iris graphics
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Super Cane Magic ZERO - Legend of the Cane Cane,windows_min_Super Cane Magic ZERO - Legend of the Cane Cane,windows_req_Super Cane Magic ZERO - Legend of the Cane Cane,windows_req_Super Cane Magic ZERO - Legend of the Cane Cane,macos_min_Super Cane Magic ZERO - Legend of the Cane Cane,macos_min_Super Cane Magic ZERO - Legend of the Cane Cane,macos_req_Super Cane Magic ZERO - Legend of the Cane Cane,macos_req_Super Cane Magic ZERO - Legend of the Cane Cane,linux_min_Super Cane Magic ZERO - Legend of the Cane Cane,linux_min_Super Cane Magic ZERO - Legend of the Cane Cane,linux_req_Super Cane Magic ZERO - Legend of the Cane Cane,linux_req_Super Cane Magic ZERO - Legend of the Cane Cane
операционная система,microsoft windows 7 / 8 / 8.1 / 10 (),операционная система,microsoft windows 7 (sp1) / 8 / 8.1 / 10 (),операционная система,mac osx 10.12,операционная система,—,операционная система,ubuntu 12.04 lts or steamos,операционная система,ubuntu 12.04 lts or steamos
процессор,intel core2duo 2ghz or amd equivalent (),процессор,intel core i5 series or amd equivalent (),процессор,intel core2duo 2ghz (),процессор,—,процессор,intel core2duo 2ghz or amd equivalent (),процессор,intel core i5 series or amd equivalent ()
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd series 5000 () or discrete video card,видео карта,512 mb directx 9.0c compatible graphics card (shader model 4),видео карта,intel iris (),видео карта,—,видео карта,intel hd series 5000 () or discreet video card,видео карта,512 mb directx 9.0c compatible graphics card (shader model 4)
