видео карта,ati radeon 9600 or nvidia geforce 6 series,видео карта,ati x1600 or nvidia geforce 9 or higher,сеть,широкополосное подключение,сеть,широкополосное подключение,видео карта,"nvidia geforce 8 series, ati/amd radeaon hd2600 / 3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
directx,version 9.0c,directx,version 9.0c,диск,4 gb,диск,4 gb,сеть,широкополосное подключение,сеть,—
сеть,широкополосное подключение,сеть,широкополосное подключение,дополнительно,"mouse, keyboard, internet connection",дополнительно,"mouse, keyboard, internet connection",диск,4 gb,диск,4 gb
диск,4 gb,диск,4 gb,процессор,—,процессор,"dual core intel, 2ghz",звуковая карта,openal compatible sound card,звуковая карта,—
,,,,,,,,,,,
windows_min_Full Mojo Rampage,windows_min_Full Mojo Rampage
операционная система,"windows xp sp3, windows vista, windows 7, windows 8, windows 10"
процессор,intel core 2 duo or amd equivalent
оперативная память,2 gb
видео карта,nvidia geforce 8800gt or ati radeon hd 3870
directx,version 9.0c
диск,1 gb
звуковая карта,directx compatible sound card
,
windows_min_The Elder Scrolls Online - Greymoor,windows_min_The Elder Scrolls Online - Greymoor,windows_req_The Elder Scrolls Online - Greymoor,windows_req_The Elder Scrolls Online - Greymoor
операционная система,os x 10.9,операционная система,os x 10.9
процессор,intel core 2 duo,процессор,intel i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 460 or amd radeon 6850 (1gb of vram),видео карта,nvidia geforce 640 or amd radeon 5670 (1gb of vram)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,85 gb,диск,85 gb
,,,
windows_min_Alone in the Dark,windows_min_Alone in the Dark,windows_req_Alone in the Dark,windows_req_Alone in the Dark
операционная система,"windows xp/vista 32,",операционная система,"windows xp/vista 32,"
процессор,"intel pentium d 2.6 ghz, amd athlon™ x2 3800+",процессор,intel core™2 duo 2.2 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia geforce 7600, ati radeon x1650 xt",видео карта,"nvidia geforce 8800 gts, ati radeon hd3850"
directx,version 9.0c,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,9 gb,диск,9 gb
,,,
windows_min_Ziggurat 2,windows_min_Ziggurat 2,windows_req_Ziggurat 2,windows_req_Ziggurat 2,macos_min_Ziggurat 2,macos_min_Ziggurat 2,macos_req_Ziggurat 2,macos_req_Ziggurat 2,linux_min_Ziggurat 2,linux_min_Ziggurat 2,linux_req_Ziggurat 2,linux_req_Ziggurat 2
операционная система,windows 7 sp1 64bits,операционная система,windows 10 64bits,операционная система,"mac os x 10.9+, tested on osx 10.10+",операционная система,"mac os x 10.9+, tested on osx 10.10+",операционная система,tested on ubuntu 20.04.1,операционная система,—
процессор,dual core,процессор,i7 7700k,процессор,2.5ghz dual-core intel core i5,процессор,quad core,процессор,dual core,процессор,i7 7700k
оперативная память,4 gb,оперативная память,16 gb,оперативная память,2 gb,оперативная память,—,оперативная память,4 gb,оперативная память,16 gb
видео карта,geforce gtx 460 1gb,видео карта,geforce gtx 1060 3gb,видео карта,opengl 2 graphics card,видео карта,—,видео карта,geforce gtx 460 1gb,видео карта,geforce gtx 1060 3gb
directx,version 11,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_GIGA WRECKER,windows_min_GIGA WRECKER
операционная система,win 7 or above
процессор,core 2 duo ~2ghz or higher ()
оперативная память,2 gb
видео карта,graphics card nvidia gts 240 or higher ()
directx,version 9.0
,
windows_min_Hatsune Miku VR,windows_min_Hatsune Miku VR
операционная система,windows 8.1 -
процессор,intel core i5-4670
оперативная память,8 gb
видео карта,nvidia geforce gtx 970
directx,version 11
,
windows_min_Steredenn,windows_min_Steredenn,macos_min_Steredenn,macos_min_Steredenn,linux_min_Steredenn,linux_min_Steredenn
операционная система,windows xp,операционная система,os x 10.7,операционная система,"ubuntu 12.04+, steamos"
процессор,dual core cpu 2.4 ghz,процессор,dual core cpu 2.4 ghz,процессор,dual core cpu 2.4 ghz
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,"intel hd graphics 3000, nvidia geforce 8000, ati radeon hd 4800 series",видео карта,"intel hd graphics 3000, nvidia geforce 8000, ati radeon hd 4800 series",диск,500 mb
directx,version 9.0,диск,500 mb,,
,,,,,
windows_min_Stay Out of the House,windows_min_Stay Out of the House
операционная система,windows 7 sp1+
процессор,x86 32 bit
оперативная память,8 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10
,
windows_min_Easy Red 2,windows_min_Easy Red 2,windows_req_Easy Red 2,windows_req_Easy Red 2
операционная система,linux,операционная система,linux
процессор,intel celeron g530 or amd athlon ii x2 250,процессор,intel core i3-2100
оперативная память,2500 mb,оперативная память,6 gb
видео карта,nvidia geforce gt710 / amd radeon r5 240,видео карта,nvdia geforce gtx 750 ti / amd radeon r7 360
диск,3 gb,диск,3 gb
,,,
windows_min_G String,windows_min_G String,windows_req_G String,windows_req_G String
операционная система,vista/xp,операционная система,10/8.1/8/7/vista/xp
процессор,intel core 2 duo 2.4ghz or higher,процессор,"3.0 ghz p4, dual core 2.0 (or higher) or amd64x2 (or higher)"
