операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core™ i5 4460 or core™ i3 9100f / amd fx™-6300 or ryzen™ 3 3200g,процессор,intel core™ i7 3770 or core™ i3 8350 or core™ i3 9350f / amd ryzen™ 5 1500x or ryzen™ 5 3400g
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidiageforcegtx 760 or gtx1050 or amd radeon™ r7 260x or rx 560,видео карта,nvidia geforce gtx 1060 (vram 3gb) or gtx 1650 / amd radeon™ rx 480 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c ),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_Zombie Head,windows_min_Zombie Head
операционная система,windows 7 / 8 / 10
процессор,2.8 ghz
оперативная память,2 gb
видео карта,128 mb
directx,version 9.0c
,
windows_min_Endless World Idle RPG,windows_min_Endless World Idle RPG,windows_req_Endless World Idle RPG,windows_req_Endless World Idle RPG
операционная система,macos mojave 10,операционная система,macos mojave 10
процессор,intel core-i3 or faster,процессор,intel core-i5 or faster
оперативная память,4 gb,оперативная память,8 gb
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,400 mb,диск,1 gb
,,,
windows_min_Saints Row: The Third - Special Ops Vehicle Pack,windows_min_Saints Row: The Third - Special Ops Vehicle Pack,windows_req_Saints Row: The Third - Special Ops Vehicle Pack,windows_req_Saints Row: The Third - Special Ops Vehicle Pack
операционная система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster",операционная система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster"
процессор,intel core i5-4570t (2.9 ghz) or amd athlon ii x2 270 (3.8 ghz),процессор,intel core i5-4670k (3.4 ghz) or amd athlon x4 860k (3.7 ghz)
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,320mb video gpu w/ shader model 3.0 support. nvidia geforce 8800 series . ati radeon™ hd3800 series,видео карта,1gb video gpu w/ shader model 4.0 support. nvidia geforce gtx 400 series . ati radeon™ hd5000 series
directx,9.0c,directx,directx 11
диск,10gb,диск,10 gb
звуковая карта,100% directx 9.0c compliant sound card onboard sound,звуковая карта,100% directx 9.0c compliant sound card onboard sound
co-op play,nvidia geforce 8800 cards require 640mb of video. ati radeon™ hd3800 cards require 1gb of video,co-op play,—
gpu,geforce gt 630 (1024 mb) or radeon hd 6850 (1024 mb),gpu,geforce gtx 760 (2048 mb) or radeon hd 7950 (2048 mb)
,,,
windows_min_Top Gun,windows_min_Top Gun
операционная система,windows xp sp2 or vista
процессор,3.0ghz
оперативная память,1gb or more
диск,1gb of free space
видео карта,nvidia geforce 6800 / shader model 3.0 video card with 256mb vram
звуковая карта,directx 9.0c compatible sound card
,
windows_min_Marvel vs. Capcom: Infinite - Monster Hunter,windows_min_Marvel vs. Capcom: Infinite - Monster Hunter,windows_req_Marvel vs. Capcom: Infinite - Monster Hunter,windows_req_Marvel vs. Capcom: Infinite - Monster Hunter
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, gtx 570, gtx 670,",видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,59 gb,диск,59 gb
,,,
windows_min_Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack,windows_min_Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack,windows_req_Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack,windows_req_Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack
операционная система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions),операционная система,windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions)
процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz,процессор,intel core i5 2400s @ 2.5 ghz or amd phenom ii x4 940 @ 3.0 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 260 or amd radeon hd 4870 (512mb vram with shader model 4.0 or higher),видео карта,nvidia geforce gtx 470 or amd radeon hd 5850 (1024mb vram with shader model 5.0)
диск,30 gb,диск,30 gb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Gotham City Impostors Free to Play: Beaky,windows_min_Gotham City Impostors Free to Play: Beaky,windows_req_Gotham City Impostors Free to Play: Beaky,windows_req_Gotham City Impostors Free to Play: Beaky
,,,
windows_min_Call of Duty®: Advanced Warfare - United States Exoskeleton Pack,windows_min_Call of Duty®: Advanced Warfare - United States Exoskeleton Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_APEX Tournament,windows_min_APEX Tournament,windows_req_APEX Tournament,windows_req_APEX Tournament
операционная система,windows 7 64bit,операционная система,windows 10 64bit
процессор,intel core i5 - 4590 equivalent,процессор,intel core i7-6800 equivalent
оперативная память,6 gb,оперативная память,8 gb
видео карта,amd r9 290 or nvidia gtx 970,видео карта,amd fury or nvidia gtx 1070
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,4 gb,диск,—
,,,
windows_min_GROOVY,windows_min_GROOVY,windows_req_GROOVY,windows_req_GROOVY
операционная система,ubuntu 14.04 lts,операционная система,—
процессор,dual core 3.0 ghz,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,nvidia gtx 660 / amd hd 7850,видео карта,nvidia gtx 960 / amd r9 280
directx,version 11,directx,—
диск,3800 mb,диск,—
звуковая карта,directx 9.0c compatible,звуковая карта,—
,,,
windows_min_Eternity: The Last Unicorn,windows_min_Eternity: The Last Unicorn,windows_req_Eternity: The Last Unicorn,windows_req_Eternity: The Last Unicorn
операционная система,microsoft windows 7,операционная система,microsoft windows 7/8/10
процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,intel(r) core(tm) i7-3770 / amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 660 gtx+ or amd radeon hd 7870+,видео карта,nvidia geforce gtx 970 / ati radeon r9 series
directx,version 10,directx,version 11
диск,14 gb,диск,14 gb
звуковая карта,directx 9.0c compatible 16-bit sound card,звуковая карта,directx 9.0c compatible 16-bit sound card
,,,
windows_min_Shadow of the Tomb Raider - Sworn Defender,windows_min_Shadow of the Tomb Raider - Sworn Defender,windows_req_Shadow of the Tomb Raider - Sworn Defender,windows_req_Shadow of the Tomb Raider - Sworn Defender
операционная система,windows 7,операционная система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_Shadow of the Tomb Raider - Golden Eagle Gear,windows_min_Shadow of the Tomb Raider - Golden Eagle Gear,windows_req_Shadow of the Tomb Raider - Golden Eagle Gear,windows_req_Shadow of the Tomb Raider - Golden Eagle Gear
операционная система,windows 7,операционная система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_Of Bird and Cage,windows_min_Of Bird and Cage,windows_req_Of Bird and Cage,windows_req_Of Bird and Cage
операционная система,windows (64bit) os,операционная система,windows (64bit) os
процессор,intel i5-2500,процессор,intel i7-4700
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 730 gtx / 2gb vram,видео карта,nvidia 1060 gtx / 3gb vram
,,,
windows_min_DRAGON BALL FIGHTERZ - Janemba,windows_min_DRAGON BALL FIGHTERZ - Janemba,windows_req_DRAGON BALL FIGHTERZ - Janemba,windows_req_DRAGON BALL FIGHTERZ - Janemba
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,"amd fx-4350, 4.2 ghz / intel core i5-3470, 3.20 ghz",процессор,"amd ryzen 5 1400, 3.2 ghz / intel core i7-3770, 3.40 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,"radeon hd 7870, 2 gb / geforce gtx 660, 2 gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Warriors: Rise to Glory! Online Multiplayer Open Beta,windows_min_Warriors: Rise to Glory! Online Multiplayer Open Beta,windows_req_Warriors: Rise to Glory! Online Multiplayer Open Beta,windows_req_Warriors: Rise to Glory! Online Multiplayer Open Beta
операционная система,10.11,операционная система,10.13
процессор,2.3 ghz intel core i7,процессор,2.5 ghz intel core i7
оперативная память,1500 mb,оперативная память,2500 mb
видео карта,amd radeon r9 m365x,видео карта,amd radeon r9 m390x
directx,version 9.0,directx,version 9.0
диск,2 gb,диск,3 gb
звуковая карта,directx 9 compatible,звуковая карта,directx 9 compatible
,,,
