windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Call of Duty®: Advanced Warfare - Spain Exoskeleton Pack,windows_min_Call of Duty®: Advanced Warfare - Spain Exoskeleton Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_Deltaplan Simulator,windows_min_Deltaplan Simulator
операционная система,windows 7
процессор,intel i3 or amd fx-4300
оперативная память,4 gb
видео карта,gtx 560 or and r7 260
,
windows_min_Fallen Angel,windows_min_Fallen Angel
операционная система,windows 7 and above
процессор,2 ghz
оперативная память,3 gb
видео карта,512 mb video memory
,
windows_min_Heroes & Generals - GE Soldier Pack: Infantry Assault,windows_min_Heroes & Generals - GE Soldier Pack: Infantry Assault,windows_req_Heroes & Generals - GE Soldier Pack: Infantry Assault,windows_req_Heroes & Generals - GE Soldier Pack: Infantry Assault
операционная система,windows 7 and up,операционная система,windows 10 x64
процессор,2ghz cpu w. dual-core,процессор,intel i5 / amd ryzen 5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,ati hd 4810 / nvidia 9600gt or higher,видео карта,nvidia geforce gtx 560 / amd hd 6870 or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Styx: Shards of Darkness - The Akenash Set,windows_min_Styx: Shards of Darkness - The Akenash Set
операционная система,windows 7/8/10 ()
процессор,"amd fx-6300 (3,5ghz) / intel i5-2500 (3,3ghz)"
оперативная память,8 gb
видео карта,"1 gb, directx 11, amd radeon r7 260x / nvidia geforce gtx 560"
directx,version 11
диск,15 gb
,
windows_min_Sonic The Hedgehog 2,windows_min_Sonic The Hedgehog 2,windows_req_Sonic The Hedgehog 2,windows_req_Sonic The Hedgehog 2
операционная система,windows xp or higher,операционная система,windows xp or higher
видео карта,32mb graphics card,видео карта,—
directx,directx 9.0,directx,directx 9c
диск,50mb free disc space,диск,50mb free disc space
,,,
windows_min_LEGO® Marvel Super Heroes 2 - Agents of Atlas,windows_min_LEGO® Marvel Super Heroes 2 - Agents of Atlas,windows_req_LEGO® Marvel Super Heroes 2 - Agents of Atlas,windows_req_LEGO® Marvel Super Heroes 2 - Agents of Atlas
операционная система,macos 10.13.5,операционная система,—
процессор,1.8ghz intel core i3,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,—
,,,
windows_min_Devil May Cry 5 - DMC1 Battle Track 3-Pack,windows_min_Devil May Cry 5 - DMC1 Battle Track 3-Pack,windows_req_Devil May Cry 5 - DMC1 Battle Track 3-Pack,windows_req_Devil May Cry 5 - DMC1 Battle Track 3-Pack
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,"intel core™ i5-4460, amd fx™-6300,",процессор,"intel core™ i7-3770, amd fx™-9590,"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeon™ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_Day: 40,windows_min_Day: 40,windows_req_Day: 40,windows_req_Day: 40
операционная система,"windows 7 sp1+, 8, 10 versions only",операционная система,windows 10
процессор,sse2 instruction set support,процессор,intel core i5-2500k |; amd ryzen 5 1400
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities,видео карта,nvidia geforce gtx 970 |; amd radeon rx 570
directx,version 10,directx,version 11
,,,
