windows_min_One Finger Death Punch,windows_min_One Finger Death Punch,windows_req_One Finger Death Punch,windows_req_One Finger Death Punch
операционная система,windows xp / vista / 7 / 8,операционная система,windows xp / vista / 7 / 8
процессор,2.0 ghz+ dual core or higher,процессор,2.0 ghz+ dual core or higher
оперативная память,1 gb,оперативная память,2 gb
видео карта,512 mb vram with shader model 3.0 support and needs a directx 10 capable video card.,видео карта,512 mb vram with shader model 3.0 support and needs a directx 10 capable video card.
directx,version 9.0c,directx,version 9.0c
диск,200 mb,диск,200 mb
,,,
windows_min_Call of Juarez: Gunslinger,windows_min_Call of Juarez: Gunslinger,windows_req_Call of Juarez: Gunslinger,windows_req_Call of Juarez: Gunslinger
операционная система,windows xp (sp3) / windows vista (sp2) / windows 7 (sp1) / windows 8,операционная система,windows 7 (sp1)
процессор,2 ghz intel core™2 duo or 2 ghz amd athlon™ 64 x2,процессор,3 ghz intel core™2 duo or 3 ghz amd athlon™ 64 x2
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb directx 9.0c–compliant,видео карта,1024 mb directx 10–compliant or higher
directx,9.0c,directx,10
диск,5 gb hd space,диск,5 gb hd space
звуковая карта,directx 9.0c–compliant,звуковая карта,5.1 surround sound
,,,
windows_min_Call of Duty®: Black Ops II,windows_min_Call of Duty®: Black Ops II
операционная система,windows vista sp2 or windows 7. windows xp is not supported
процессор,intel core2 duo e8200 2.66 ghz or amd phenom x3 8750 2.4 ghz
оперативная память,2 gb for 32-bit os or 4 gb for os
видео карта,nvidia geforce 8800gt 512 mb or ati radeon hd 3870 512 mb
directx,version 9.0c
диск,16 gb
звуковая карта,directx 11.0c compatible
additional,broadband connection required for activation and multiplayer gameplay
дополнительно,windows xp operating system is not supported
,
windows_min_Surgeon Simulator,windows_min_Surgeon Simulator,windows_req_Surgeon Simulator,windows_req_Surgeon Simulator,macos_min_Surgeon Simulator,macos_min_Surgeon Simulator,macos_req_Surgeon Simulator,macos_req_Surgeon Simulator,linux_min_Surgeon Simulator,linux_min_Surgeon Simulator,linux_req_Surgeon Simulator,linux_req_Surgeon Simulator
операционная система,windows xp,операционная система,windows 7,операционная система,10.6 snow leopard,операционная система,10.6 snow leopard,операционная система,—,операционная система,ubuntu 13.04
процессор,2.0 ghz,процессор,2.0 ghz,процессор,1.7 ghz,процессор,2.4 ghz,процессор,—,процессор,2.0 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,—,оперативная память,2 gb
видео карта,nvidia geforce 7800 gt,видео карта,radeon x850 or comparable,видео карта,1024x768 desktop screen resolution (intel hd 3000 or comparable),видео карта,nvidia gt 130 or comparable,видео карта,—,видео карта,radeon x850 or comparable
directx,9.0,directx,9.0,диск,500 mb hd space,диск,500 mb hd space,диск,—,диск,500 mb hd space
диск,500 mb hd space,диск,500 mb hd space,additional,"requires keyboard. touchpad supported, but mouse strongly recommended for best play experience.",additional,"requires keyboard. touchpad supported, but mouse strongly recommended for best play experience.",additional,—,additional,"requires keyboard. touchpad supported, but mouse strongly recommended for best play experience."
звуковая карта,directx9.0 compatible sound card,звуковая карта,directx9.0 compatible sound card,,,,,,,,
,,,,,,,,,,,
windows_min_Assassin’s Creed® Brotherhood,windows_min_Assassin’s Creed® Brotherhood,windows_req_Assassin’s Creed® Brotherhood,windows_req_Assassin’s Creed® Brotherhood
операционная система,"only os x version leopard 10.5.8, snow leopard 10.6.3.",операционная система,"only os x version leopard 10.5.8, snow leopard 10.6.3."
процессор,intel core 2 duo 3.06 ghz,процессор,core i5 2.66 ghz
оперативная память,3 gb,оперативная память,4 gb or higher
видео карта,256 mb dedicated shader model 3.0 or higher (see supported list),видео карта,"512 mb dedicated - ati radeon hd 4850, nvidia geforce 200"
directx,9.0,directx,9.0
диск,9 gb,диск,9 gb
звуковая карта,—,звуковая карта,—
периферия,"keyboard, mouse, optional controller",периферия,"keyboard, mouse, joystick optional (xbox 360 controller for windows recommended)"
supported graphicss,"ati radeon hd 2000/3000/4000/5000/6000 series, nvidia geforce 8/9/100/200/300/400/500 series",supported graphicss,"ati radeon hd 2000/3000/4000/5000/6000 series, nvidia geforce 8/9/100/200/300/400/500 series"
дополнительно,this product does not support os prior to mac os x 10.5. this product does not support macs based on powerpc cpurequires a uplay account.,дополнительно,this product does not support os prior to mac os x 10.5. this product does not support macs based on powerpc cpu
,,,
windows_min_Reign Of Kings,windows_min_Reign Of Kings,windows_req_Reign Of Kings,windows_req_Reign Of Kings
операционная система,windows 7 or windows 8 (8.1),операционная система,windows 7 or windows 8 (8.1)
процессор,intel cpu core i5-2500k / amd cpu phenom ii x4 970,процессор,intel cpu core i7 3770 / amd cpu amd fx-8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gpu geforce gtx 470 1gb / amd hd 5800 1gb,видео карта,nvidia gpu geforce gtx 580 gtx 2gb / radeon hd 7870 2gb
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Awesomenauts - the 2D moba,windows_min_Awesomenauts - the 2D moba,windows_req_Awesomenauts - the 2D moba,windows_req_Awesomenauts - the 2D moba,macos_min_Awesomenauts - the 2D moba,macos_min_Awesomenauts - the 2D moba,macos_req_Awesomenauts - the 2D moba,macos_req_Awesomenauts - the 2D moba,linux_min_Awesomenauts - the 2D moba,linux_min_Awesomenauts - the 2D moba,linux_req_Awesomenauts - the 2D moba,linux_req_Awesomenauts - the 2D moba
операционная система,"windows 7, windows 8, or windows 10",операционная система,"windows 7, windows 8, or windows 10",операционная система,osx version 10.7 (lion),операционная система,os x version lion 10.7 .,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,any with 2 cores,процессор,any with 2 cores,процессор,any with 2 cores,процессор,any with 2 cores,процессор,any with 2 cores,процессор,any with 2 cores
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"amd or nvidia videocard with at least 512mb, or intel hd graphics",видео карта,amd or nvidia videocard with at least 1024mb,видео карта,"amd or nvidia videocard with at least 512mb, or intel hd graphics",видео карта,amd or nvidia videocard with at least 1024mb,видео карта,"amd or nvidia videocard with at least 512mb, or intel hd graphics",видео карта,amd or nvidia videocard with at least 1024mb
диск,3.5 gb hd space,диск,3.5 gb hd space,диск,3.5 gd hd space,диск,3.5 gb hd space,диск,3.5 gd hd space,диск,3.5 gb hd space
other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,—,other requirements,широкополосное подключение,other requirements,—
,,,,,,,,,,,
windows_min_Craftopia,windows_min_Craftopia
операционная система,windows 7 sp1
процессор,2.0 ghz dual core or similar
оперативная память,8 gb
видео карта,vram 2gb
directx,version 11
сеть,широкополосное подключение
,
windows_min_Sonic Generations Collection,windows_min_Sonic Generations Collection,windows_req_Sonic Generations Collection,windows_req_Sonic Generations Collection
операционная система,microsoft windows 7/vista/xp,операционная система,microsoft windows 7
