windows_min_Chopper To Hell,windows_min_Chopper To Hell,windows_req_Chopper To Hell,windows_req_Chopper To Hell
оперативная память,4 gb,оперативная память,4 gb
видео карта,radeon vega 8 or intel iris pro 580,видео карта,radeon hd 7870 or geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Resurgence: Earth United,windows_min_Resurgence: Earth United
операционная система,"win 7, win 8."
процессор,"intel core i5-750, 2.67 ghz. | amd phenom ii x4 965, 3.4 ghz."
оперативная память,4 gb
видео карта,nvidia geforce gtx 460. |; amd radeon hd 5850.
directx,version 11
сеть,широкополосное подключение
,
windows_min_Warhammer: End Times - Vermintide Lorebook,windows_min_Warhammer: End Times - Vermintide Lorebook,windows_req_Warhammer: End Times - Vermintide Lorebook,windows_req_Warhammer: End Times - Vermintide Lorebook
операционная система,"windows 7, windows 8/8.1, windows 10 *",операционная система,"windows 7, windows 8/8.1, windows 10 *"
процессор,intel core2 quad q9500 @ 2.83ghz or amd phenom ii x4 940,процессор,intel core i7-4790k @ 4.00 ghz or amd fx-9590 @ 4.7 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 1gb vram,видео карта,nvidia geforce gtx 780 or amd gpu radeon r9 290
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_TOUKIDEN Kiwami - Mission Collection 8-11,windows_min_TOUKIDEN Kiwami - Mission Collection 8-11,windows_req_TOUKIDEN Kiwami - Mission Collection 8-11,windows_req_TOUKIDEN Kiwami - Mission Collection 8-11
операционная система,windows vista/7/8/8.1 (64bit required),операционная система,windows vista/7/8/8.1 (64bit required)
процессор,core i7 870 2.8ghz,процессор,core i7 2600 3.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"640*480 pixel over, high color",видео карта,"1980*1080 pixel over, true color"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,21 gb,диск,21 gb
,,,
windows_min_Adventure Craft,windows_min_Adventure Craft,windows_req_Adventure Craft,windows_req_Adventure Craft
операционная система,microsoft windows vista or higher,операционная система,microsoft windows 7 or higher
процессор,intel core 2 duo 2.5ghz .,процессор,intel core 2 duo 2.8ghz .
оперативная память,512 mb,оперативная память,1 gb
видео карта,"dedicated gpu with 256 mb memory, shader version 4 capable",видео карта,nvidia geforce 8800 / amd radeon hd 5670 video card with 512 mb memory
directx,version 10,directx,version 11
,,,
windows_min_Alien: Isolation - Season Pass,windows_min_Alien: Isolation - Season Pass,windows_req_Alien: Isolation - Season Pass,windows_req_Alien: Isolation - Season Pass,macos_min_Alien: Isolation - Season Pass,macos_min_Alien: Isolation - Season Pass,macos_req_Alien: Isolation - Season Pass,macos_req_Alien: Isolation - Season Pass,linux_min_Alien: Isolation - Season Pass,linux_min_Alien: Isolation - Season Pass,linux_req_Alien: Isolation - Season Pass,linux_req_Alien: Isolation - Season Pass
операционная система,windows 7 (32 bit),операционная система,windows 7 (64bit),операционная система,macos 10.10.4,операционная система,—,операционная система,"ubuntu 14.04, steamos",операционная система,"ubuntu 14.04, steamos"
процессор,3.16 ghz,процессор,"amd: phenom ii x4 955 - 4 core, 3.2 ghz or intel: core 2 quad q9650 - 4 core, 3.0 ghz",процессор,2ghz intel core i5,процессор,—,процессор,2.6ghz intel i3,процессор,3.2ghz+ intel i7 quad core
