directx,version 9.0,directx,version 10
,,,
windows_min_ACE COMBAT™ 7: SKIES UNKNOWN - Ten Million Relief Plan,windows_min_ACE COMBAT™ 7: SKIES UNKNOWN - Ten Million Relief Plan,windows_req_ACE COMBAT™ 7: SKIES UNKNOWN - Ten Million Relief Plan,windows_req_ACE COMBAT™ 7: SKIES UNKNOWN - Ten Million Relief Plan
операционная система,windows 7 / 8 / 8.1 / 10 ( os required),операционная система,windows 7 / 8 / 8.1 / 10 ( os required)
процессор,intel core i3-7100,процессор,intel core i5-7500
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti (2gb),видео карта,nvidia geforce gtx 1060 (3gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Borderlands 2: Assassin Stinging Blade Pack,windows_min_Borderlands 2: Assassin Stinging Blade Pack,windows_req_Borderlands 2: Assassin Stinging Blade Pack,windows_req_Borderlands 2: Assassin Stinging Blade Pack
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/win 7
процессор,2.4 ghz dual core,процессор,2.3 ghz quad core
оперативная память,2 gb(xp)/ 2 gb(vista),оперативная память,2 gb
диск,13 gb free,диск,20 gb free
video memory,256 mb,video memory,512mb
видео карта,nvidia geforce 8500 / ati radeon hd 2600,видео карта,nvidia geforce gtx 560 / ati radeon hd 5850
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Aim Theory - Trainer,windows_min_Aim Theory - Trainer
операционная система,windows 7 / 8 / 10
процессор,2.4 ghz dual core
оперативная память,2 gb
видео карта,gtx 560
,
windows_min_MY HERO ONE'S JUSTICE Mission: O.F.A Deku Shoot Style,windows_min_MY HERO ONE'S JUSTICE Mission: O.F.A Deku Shoot Style
операционная система,windows 7
процессор,intel core i5-750 / amd phenom ii x4 940
оперативная память,4 gb
видео карта,nvidia geforce gtx 460 / amd radeon hd 6870
directx,version 11
,
windows_min_Streamline,windows_min_Streamline,windows_req_Streamline,windows_req_Streamline
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,intel core i5-2410m 2.3ghz,процессор,3 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 3000,видео карта,nvidia geforce 8800 / amd radeon hd 5670 video card (dedicated gpu with 512mb+ video memory(vram))
directx,version 11,directx,version 11
диск,4 gb,диск,6 gb
,,,
windows_min_Dark Skies: The Nemansk Incident,windows_min_Dark Skies: The Nemansk Incident
операционная система,win 7 - directx 11
процессор,intel dual-core 2ghz or amd dual-core 2ghz
оперативная память,8 gb
видео карта,nvidia or amd graphics 4 gb or higher
directx,version 11
диск,5000 mb
,
windows_min_Endless Horizon,windows_min_Endless Horizon
операционная система,windows vista sp1+ or higher
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,1 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290 equivalent"
directx,version 11
,
windows_min_Sniper Elite 4 - Deathstorm Part 1: Inception,windows_min_Sniper Elite 4 - Deathstorm Part 1: Inception,windows_req_Sniper Elite 4 - Deathstorm Part 1: Inception,windows_req_Sniper Elite 4 - Deathstorm Part 1: Inception
операционная система,windows 7 windows 8.1 or windows 10,операционная система,windows 7 windows 8.1 or windows 10
процессор,intel cpu core i3-2100 or amd equivalent,процессор,intel cpu core i7-3770 or amd equivalent
оперативная память,4 gb,оперативная память,—
,,,
windows_min_DOA6 THE KING OF FIGHTERS XIV Mashup Content Set,windows_min_DOA6 THE KING OF FIGHTERS XIV Mashup Content Set,windows_req_DOA6 THE KING OF FIGHTERS XIV Mashup Content Set,windows_req_DOA6 THE KING OF FIGHTERS XIV Mashup Content Set
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core i5-4690 or over,процессор,intel core i7 8700 or over
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 mb
,,,
windows_min_Max Payne 3: Classic Max Payne Character,windows_min_Max Payne 3: Classic Max Payne Character
операционная система,windows 7 32/64 service pack 1
процессор,intel dual core 2.4 ghz - i7 3930k 6 core x 3.06 ghz / amd dual core 2.6 ghz - fx8150 8 core x 3.6 ghz
оперативная память,2gb - 16gb
диск,35 gigs
видео карта,nvidia 8600 gt 512mb vram – nvidia geforce gtx 680 2gb vram / radeon hd 3400 512mb vram - radeon hd 7970 3gb vram
звуковая карта,100% direct x 9.0 compatible – direct x 9.0 compatible supporting dolby digital live
additional,"please refer to your hardware manufacturer and http://www.rockstargames.com/support for current compatibility information. some system components such as mobile chipsets, integrated, and agp graphics cards may be incompatible. unlisted specifications may not be supported by publisher."
,
windows_min_Closers: Premium Super Sale Pack,windows_min_Closers: Premium Super Sale Pack,windows_req_Closers: Premium Super Sale Pack,windows_req_Closers: Premium Super Sale Pack
операционная система,windows 7,операционная система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Glavenus,windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Glavenus,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Glavenus,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Glavenus
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core™ i5 4460 or core™ i3 9100f / amd fx™-6300 or ryzen™ 3 3200g,процессор,intel core™ i7 3770 or core™ i3 8350 or core™ i3 9350f / amd ryzen™ 5 1500x or ryzen™ 5 3400g
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidiageforcegtx 760 or gtx1050 or amd radeon™ r7 260x or rx 560,видео карта,nvidia geforce gtx 1060 (vram 3gb) or gtx 1650 / amd radeon™ rx 480 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c ),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_Tarzan VR™ Issue #1 - THE GREAT APE,windows_min_Tarzan VR™ Issue #1 - THE GREAT APE,windows_req_Tarzan VR™ Issue #1 - THE GREAT APE,windows_req_Tarzan VR™ Issue #1 - THE GREAT APE
операционная система,windows 10,операционная система,windows 10
процессор,quad-core 3.0ghz minimum,процессор,"intel i7 7700k, 3.3ghz+"
оперативная память,8 gb,оперативная память,16 gb
