windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
операционная система,windows 7,операционная система,windows 10,операционная система,mac osx 10.10,операционная система,mac osx 10.12,операционная система,ubuntu 16.04 lts,операционная система,ubuntu 18.04 lts
процессор,1.0 ghz,процессор,2.0 ghz,процессор,1.0 ghz,процессор,2.0 ghz,процессор,1.0 ghz,процессор,2.0 ghz
оперативная память,1 gb,оперативная память,4 gb,оперативная память,1 gb,оперативная память,4 gb,оперативная память,1 gb,оперативная память,4 gb
видео карта,opengl es 3.0+ compatible card,видео карта,opengl es 3.0+ compatible card,видео карта,opengl es 3.0+ compatible card,видео карта,opengl es 3.0+ compatible card,видео карта,opengl es 3.0+ compatible card,видео карта,opengl es 3.0+ compatible card
,,,,,,,,,,,
windows_min_Saint Paul Pre-Alpha,windows_min_Saint Paul Pre-Alpha
операционная система,version of the following operating systems: windows 7 sp1 / windows 8 / windows 8.1 / windows 10
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz
оперативная память,6 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd5770 (1024mb vram)
directx,version 11
сеть,широкополосное подключение
диск,10 gb
,
windows_min_The Karters,windows_min_The Karters,windows_req_The Karters,windows_req_The Karters
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,2 ghz dual-core cpu,процессор,2 ghz dual-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb geforce 8800 / radeon hd 2900 xt,видео карта,896 mb geforce gtx 260
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Lumberhill,windows_min_Lumberhill,windows_req_Lumberhill,windows_req_Lumberhill
операционная система,win7-,операционная система,win7-
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510
directx,version 11,directx,version 11
