windows_min_Act of War: Direct Action,windows_min_Act of War: Direct Action
процессор,2.5 ghz dual core,процессор,3.0 ghz quad core
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,intel hd 4400,видео карта,radeon hd 7870 / nvidia geforce gtx 650
,,,
windows_min_Aka Manto | ,windows_min_Aka Manto | ,windows_req_Aka Manto | ,windows_req_Aka Manto | 
операционная система,windows 7 sp1+,операционная система,windows 10 x64
процессор,intel/amd,процессор,intel i3
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated graphics,видео карта,gtx 750
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_Boreal Blade,windows_min_Boreal Blade,windows_req_Boreal Blade,windows_req_Boreal Blade
операционная система,( / 32 bit *) windows 10 / 8 / 7 / vista,операционная система,( / 32 bit *) windows 10 / 8 / 7 / vista
процессор,intel core i3 / i5/i7 1.8 ghz cpu dual-core. amd 2.0 ghz dual-core.,процессор,intel quad-core 2.0 ghz or dual-core 2.6 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 260 / radeon hd 4000 series / intel hd graphics 4000,видео карта,nvidia geforce gtx 560 2gb / radeon hd 6850 2gb
directx,version 10,directx,version 10
диск,4 gb,диск,4 gb
дополнительно,* highest graphics detail levels are only available in os,дополнительно,* highest graphics detail levels are only available in os
,,,
windows_min_BLADESTORM: Nightmare,windows_min_BLADESTORM: Nightmare,windows_req_BLADESTORM: Nightmare,windows_req_BLADESTORM: Nightmare
операционная система,windows (64bit required),операционная система,windows (64bit required)
процессор,core i7 870 2.8ghz,процессор,core i7 2600 3.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"640*480 pixel over, high color",видео карта,"1980*1080 pixel over, true color, 16:9 display"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
