windows_min_Fimbul Winter,windows_min_Fimbul Winter,windows_req_Fimbul Winter,windows_req_Fimbul Winter
процессор,"intel core™ i5-4460, 3.20ghz / amd fx™-6300",процессор,intel(r) core(tm) i5-6400 cpu @ 2.70ghz / amd fx-8350
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 650-ti / amd radeon hd 7790,видео карта,geforce gtx 1060 6gb / amd rx 480 4gb
диск,3 gb,диск,3 gb
,,,
windows_min_Skabma - Snowfall,windows_min_Skabma - Snowfall
операционная система,windows 10
процессор,intel core i5-2400 / ryzen 5 2200g
оперативная память,8 gb
видео карта,nvidia geforce gtx 1050 3gb / amd radeon rx 460 4gb
directx,version 11
диск,12 gb
,
windows_min_Frisbros,windows_min_Frisbros
операционная система,windows 10
процессор,core i5 7200
оперативная память,2 gb
видео карта,nvidia gtx 750
,
macos_min_Fall Tower,macos_min_Fall Tower
операционная система,ubuntu 16.04ubuntu 18.04centos 7
процессор,sse2
видео карта,opengl 3.2  vulkan  nvidia  amd gpu
,
windows_min_Zula Global,windows_min_Zula Global,windows_req_Zula Global,windows_req_Zula Global
операционная система,windows 7 / 8 / 10 32 bit,операционная система,windows 7 / 8 / 10
процессор,dual core cpu 2.4 ghz,процессор,dual core cpu 3.0 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000 / amd radeon r5 m320,видео карта,graphics intel hd 520 / radeon r7 m260
directx,version 9.0,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Geometric Sniper - Z,windows_min_Geometric Sniper - Z
операционная система,microsoft windows 10
процессор,intel core i5 3.0 ghz s
оперативная память,8 gb
видео карта,geforce gt 430 (1024 mb) / radeon hd 5570 (1024 mb)
directx,version 11
диск,1 gb
,
windows_min_Boxed-In,windows_min_Boxed-In,windows_req_Boxed-In,windows_req_Boxed-In
операционная система,windows 10,операционная система,windows 10
процессор,5th gen i3 or higher,процессор,5th gen i3 or higher
оперативная память,8 gb,оперативная память,8 gb
видео карта,modern discrete graphics,видео карта,modern discrete graphics
,,,
windows_min_Blackwind,windows_min_Blackwind,windows_req_Blackwind,windows_req_Blackwind
операционная система,high sierra 10.13+,операционная система,—
процессор,"apple silicon, x64 architecture with sse2.",процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,metal capable intel and amd gpus,видео карта,—
directx,version 11,directx,version 11
,,,
windows_min_Vindictus,windows_min_Vindictus,windows_req_Vindictus,windows_req_Vindictus
операционная система,windows 7 (),операционная система,windows 10
процессор,dual-core 3.0 ghz,процессор,"intel i5 haswell, amd ryzen3 2200g (quad-core 3.2 ghz or higher)"
оперативная память,4 gb,оперативная память,8 gb
диск,at least 15 gb of free space,диск,at least 15 gb of free space
видео карта,geforce gts 250 / radeon hd 4850,видео карта,"geforce gtx 660, radeon hd 7850 (vram 2 gb or higher)"
directx,version 9.0c or higher,directx,version 9.0c or higher
звуковая карта,16-bit sound card,звуковая карта,16-bit sound card
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Rogue Company,windows_min_Rogue Company,windows_req_Rogue Company,windows_req_Rogue Company
операционная система,windows 7,операционная система,windows 10
процессор,intel(r) core i5-2320,процессор,intel core i7 3.20 ghz 12
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 555,видео карта,gtx 960
,,,
