windows_min_Ball 2D: Soccer Online,windows_min_Ball 2D: Soccer Online
windows_min_Horse Riding Deluxe,windows_min_Horse Riding Deluxe,windows_req_Horse Riding Deluxe,windows_req_Horse Riding Deluxe
операционная система,microsoft windows 7 (64bit),операционная система,microsoft windows 10 (64bit)
процессор,dual core,процессор,quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"radeon hd 5830, nvidia geforce gtx 285",видео карта,"nvidia geforce 760 gtx, amd radeon hd 7950 serie"
directx,version 11,directx,version 12
,,,
windows_min_The Admin,windows_min_The Admin,windows_req_The Admin,windows_req_The Admin
операционная система,windows 7,операционная система,windows 7
процессор,intel g640 / amd a6-6400,процессор,intel i3 3220 / amd a8-7670k
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt530 / amd hd 5570,видео карта,nvidia geforce gtx750 / amd r7 250
directx,version 11,directx,version 11
,,,
windows_min_Quantum Gravity,windows_min_Quantum Gravity,windows_req_Quantum Gravity,windows_req_Quantum Gravity
операционная система,ubuntu 13,операционная система,ubuntu 20
процессор,intel core i4,процессор,intel core i5
оперативная память,500 mb,оперативная память,700 mb
видео карта,video card 256 mb,видео карта,nvidia geforce gtx 1050 or bether
,,,
windows_min_Grace Online,windows_min_Grace Online,windows_req_Grace Online,windows_req_Grace Online
операционная система,"ubuntu 20.04 lts or steamos (other distributions may work, but are not officially supported)",операционная система,"ubuntu 20.04 lts or steamos (other distributions may work, but are not officially supported)"
процессор,requires a and operating system,процессор,requires a and operating system
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card with opengl 3.3 support,видео карта,graphics card with opengl 3.3 support
directx,version 10,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,—,диск,8 gb
дополнительно,—,дополнительно,"for an optimal play experience, we strongly recommend installing grace online onto an ssd."
,,,
windows_min_Christmas Shooter,windows_min_Christmas Shooter,windows_req_Christmas Shooter,windows_req_Christmas Shooter,macos_min_Christmas Shooter,macos_min_Christmas Shooter,macos_req_Christmas Shooter,macos_req_Christmas Shooter,linux_min_Christmas Shooter,linux_min_Christmas Shooter,linux_req_Christmas Shooter,linux_req_Christmas Shooter
операционная система,7,операционная система,"8,10,11",операционная система,7,операционная система,"8,10,11",операционная система,7,операционная система,"8,10,11"
процессор,intel core 2 duo e8400,процессор,amd ryzen 5 1600,процессор,intel core 2 duo e8400,процессор,amd ryzen 5 1600,процессор,intel core 2 duo e8400,процессор,amd ryzen 5 1600
оперативная память,100 mb,оперативная память,500 mb,оперативная память,100 mb,оперативная память,500 mb,оперативная память,100 mb,оперативная память,500 mb
видео карта,"gigabyte gt 1030 oc 2g, 2gb gddr5",видео карта,asus rx5700xt-8g,видео карта,"gigabyte gt 1030 oc 2g, 2gb gddr5",видео карта,asus rx5700xt-8g,видео карта,"gigabyte gt 1030 oc 2g, 2gb gddr5",видео карта,asus rx5700xt-8g
directx,version 7.0,directx,version 10,диск,214 mb,диск,214 mb,диск,214 mb,диск,214 mb
диск,214 mb,диск,214 mb,дополнительно,-,дополнительно,-,дополнительно,-,дополнительно,-
,,,,,,,,,,,
windows_min_BEAT AIMER!,windows_min_BEAT AIMER!
операционная система,windows 10 home 64bit
процессор,intel core™ i5-1035g1
видео карта,intel uhd graphics
диск,1 gb
,
windows_min_SHOOT THE BUUUUUUUGS,windows_min_SHOOT THE BUUUUUUUGS,windows_req_SHOOT THE BUUUUUUUGS,windows_req_SHOOT THE BUUUUUUUGS
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel pentium 4 2ghz,процессор,intel pentium 4 2ghz
оперативная память,1 gb,оперативная память,1 gb
видео карта,512 mb video memory,видео карта,512 mb video memory
,,,
windows_min_Mr.Addon Game Maker,windows_min_Mr.Addon Game Maker,windows_req_Mr.Addon Game Maker,windows_req_Mr.Addon Game Maker
операционная система,10,операционная система,10
процессор,intel core 2 quad 2.7ghz,процессор,intel i5-4440 3.10ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 8800gts,видео карта,amd radeon hd 6950
directx,version 11,directx,version 11
диск,5 gb,диск,8 gb
,,,
windows_min_PARKET Evolution (Beta),windows_min_PARKET Evolution (Beta),windows_req_PARKET Evolution (Beta),windows_req_PARKET Evolution (Beta)
операционная система,windows 10,операционная система,windows 10
