windows_min_Hat Trick Header,windows_min_Hat Trick Header
операционная система,"windows 8.1 x64, windows 10 x64"
процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290 equivalent
directx,version 11
,
windows_min_Epic Battle Simulator 2,windows_min_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2
диск,2 gb,диск,2 gb
,,,
windows_min_The Forbidden Arts,windows_min_The Forbidden Arts,windows_req_The Forbidden Arts,windows_req_The Forbidden Arts
операционная система,10.12,операционная система,10.12
процессор,intel i5 5th generation,процессор,intel i7 6700k
оперативная память,4 gb,оперативная память,6 gb
видео карта,graphics card with direct x 10 (shader model 4.0) capabilities,видео карта,radeon pro 580
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Hypnorain,windows_min_Hypnorain
операционная система,windows xp
процессор,2.0 ghz
оперативная память,2 gb
видео карта,opengl 1.4
,
windows_min_The Childs Sight,windows_min_The Childs Sight
операционная система,windows 7
процессор,intel core i5-4440 ()
видео карта,"nvidia 320m or higher, or radeon 7000 or higher, or intel hd 3000 or higher"
,
windows_min_Square Weapons Dungeon,windows_min_Square Weapons Dungeon
операционная система,windows 10
процессор,intel core i3
оперативная память,4 gb
видео карта,1gb
directx,version 9.0c
,
windows_min_Singularity Roller,windows_min_Singularity Roller
операционная система,"windows 7, 8 or 10"
процессор,intel core i3 or amd fx4300
оперативная память,5500 mb
,
windows_min_War of Castle VR,windows_min_War of Castle VR,windows_req_War of Castle VR,windows_req_War of Castle VR
операционная система,windows 7 -,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd,видео карта,nvidia gtx 980 / amd
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,8 gb
,,,
windows_min_Survival Maze,windows_min_Survival Maze,windows_req_Survival Maze,windows_req_Survival Maze
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10
процессор,core 2 duo or higher,процессор,core 4 duo or higher
видео карта,directx11 compatible gpu with 512 mb video,видео карта,directx11 compatible gpu with 1 gb video
диск,500 mb,диск,500 mb
,,,
windows_min_Five Day Great Escape ,windows_min_Five Day Great Escape ,windows_req_Five Day Great Escape ,windows_req_Five Day Great Escape 
операционная система,windows 10/7/8/8.1/vista (32 or ),операционная система,windows 10/7/8/8.1/vista (32 or )
процессор,2.50ghz,процессор,3.40ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,graphics cards produced in the past five years,видео карта,graphics cards produced in the past five years
directx,version 9.0c,directx,version 12
,,,
windows_min_Dragon of Hongkong,windows_min_Dragon of Hongkong,windows_req_Dragon of Hongkong,windows_req_Dragon of Hongkong
операционная система,windows xp,операционная система,windows 10
процессор,intel core2 2.4ghz,процессор,intel core2 2.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 9800gt/ati radeon hd4250,видео карта,geforce gtx 660ti
directx,version 9.0,directx,version 9.0
,,,
windows_min_The DRG Initiative,windows_min_The DRG Initiative,windows_req_The DRG Initiative,windows_req_The DRG Initiative
операционная система,windows 10,операционная система,windows 10
процессор,quad core intel i5 5th generation or higher,процессор,quad core intel i7 5th generation or higher
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 780 (),видео карта,nvidia gtx 1070 ()
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,integrated audio,звуковая карта,integrated audio
,,,
windows_min_Ziggy's Chase,windows_min_Ziggy's Chase,windows_req_Ziggy's Chase,windows_req_Ziggy's Chase
операционная система,mac os x 10.8,операционная система,macos 10.12
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1060
directx,version 9.0,directx,—
диск,400 mb,диск,400 mb
,,,
windows_min_Incognito,windows_min_Incognito,windows_req_Incognito,windows_req_Incognito
операционная система,microsoft windows xp,операционная система,microsoft windows 7
