windows_min_Battleborn,windows_min_Battleborn,windows_req_Battleborn,windows_req_Battleborn
операционная система,windows 7 x,операционная система,windows 7 x
процессор,intel i5-750 / amd phenom iix4 945,процессор,intel i5-750 / amd phenom iix4 945
оперативная память,6 gb,оперативная память,6 gb
видео карта,"amd hd 6870/ nvidia geforce gtx 460, physx support",видео карта,"amd hd 7850/ nvidia geforce gtx 660, physx support"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,30 gb,диск,50 gb
звуковая карта,directx 11 compliant,звуковая карта,—
,,,
windows_min_Kingdoms of Amalur: Re-Reckoning,windows_min_Kingdoms of Amalur: Re-Reckoning,windows_req_Kingdoms of Amalur: Re-Reckoning,windows_req_Kingdoms of Amalur: Re-Reckoning
операционная система,"windows 7, windows, 8, windows 10 ()",операционная система,"windows 7, windows, 8, windows 10 ()"
процессор,intel or amd dual core cpu 2.5 ghz,процессор,intel or amd quad core cpu 3 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 10 feature level amd or nvidia card with 1 gb vram,видео карта,directx 11 feature level amd or nvidia card with 2 gb vram
directx,version 11,directx,version 11
,,,
windows_min_Music Racer,windows_min_Music Racer,windows_req_Music Racer,windows_req_Music Racer
операционная система,windows 7,операционная система,windows 10
процессор,1.2 ghz,процессор,2.0 ghz
оперативная память,1 gb,оперативная память,4 gb
видео карта,256,видео карта,512
диск,200 mb,диск,200 mb
звуковая карта,any soundcard,звуковая карта,any soundcard
,,,
windows_min_WARRIORS OROCHI 4 Ultimate - OROCHI Ultimate,windows_min_WARRIORS OROCHI 4 Ultimate - OROCHI Ultimate,windows_req_WARRIORS OROCHI 4 Ultimate - OROCHI Ultimate,windows_req_WARRIORS OROCHI 4 Ultimate - OROCHI Ultimate
операционная система,win 8.1/10(64bit required),операционная система,win 8.1/10(64bit required)
процессор,intel core i5 2400 or over,процессор,intel core i7 3770 or over
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or over,видео карта,nvidia geforce gtx 960 or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звуковая карта,directx 11 or over,звуковая карта,directx 11 or over
,,,
windows_min_The Infected,windows_min_The Infected,windows_req_The Infected,windows_req_The Infected
операционная система,windows 7+ (),операционная система,windows 7+ ()
процессор,intel core i5-2400 / amd fx-8320,процессор,intel core i5-2400 / amd fx-8320
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb,видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb
directx,version 10,directx,version 10
,,,
windows_min_DEADBOLT,windows_min_DEADBOLT,macos_min_DEADBOLT,macos_min_DEADBOLT,linux_min_DEADBOLT,linux_min_DEADBOLT
операционная система,windows 7/8/10,операционная система,mac os x 10.6+,операционная система,any linux distribution 2012+
процессор,2.5 ghz,процессор,2.5 ghz,процессор,2.5 ghz
