windows_min_King Arthur's Gold,windows_min_King Arthur's Gold,windows_req_King Arthur's Gold,windows_req_King Arthur's Gold,macos_min_King Arthur's Gold,macos_min_King Arthur's Gold,macos_req_King Arthur's Gold,macos_req_King Arthur's Gold,linux_min_King Arthur's Gold,linux_min_King Arthur's Gold,linux_req_King Arthur's Gold,linux_req_King Arthur's Gold
видео карта,3d graphics card compatible with directx 9 and 256 mb vram
directx,version 9.0
диск,3 gb
звуковая карта,16-bit sound card
,
windows_min_Apotheon,windows_min_Apotheon,macos_min_Apotheon,macos_min_Apotheon,linux_min_Apotheon,linux_min_Apotheon
операционная система,xp/vista/windows 7,операционная система,10.9 mavericks,операционная система,glibc 2.17+ only
процессор,dual-core (intel dual core 2.0 ghz or amd athlon x2 5200+ 2.6 ghz),процессор,dual core 2.5 ghz,процессор,dual core 2.5 ghz
оперативная память,1 gb,оперативная память,3 gb,оперативная память,3 gb
видео карта,directx 9.0c compatible,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
directx,version 9.0c,,,,
,,,,,
windows_min_Hired Ops,windows_min_Hired Ops,windows_req_Hired Ops,windows_req_Hired Ops
операционная система,", windows 7, windows 8.1, windows 10",операционная система,windows 10
процессор,intel core i5-2500k or amd fx-8120,процессор,intel core i5-8400 or amd ryzen 5 2600 and better
оперативная память,6 gb,оперативная память,8 gb
видео карта,video card must be 1024 mb or more and should be a directx 11-compatible,видео карта,nvidia geforce gtx 1060 or radeon rx 480
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Space Pirate Trainer,windows_min_Space Pirate Trainer,windows_req_Space Pirate Trainer,windows_req_Space Pirate Trainer
операционная система,win 7 or higher,операционная система,win 7 or higher
процессор,intel i5,процессор,intel i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970,видео карта,gtx 980
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
звуковая карта,integrated,звуковая карта,—
,,,
windows_min_Betrayer,windows_min_Betrayer,windows_req_Betrayer,windows_req_Betrayer
операционная система,windows vista,операционная система,windows vista / windows 7 / windows 8
процессор,3.0 ghz dual core,процессор,2.4 ghz quad core (enhanced for multi-core s)
оперативная память,3 gb,оперативная память,4 gb
видео карта,directx 9 compatible with 1gb video (nvidia geforce gtx 460 / amd radeon hd 6850),видео карта,directx 9 compatible with 2gb video (nvidia geforce gtx 560 ti/amd radeon hd 6870)
directx,version 9.0c,directx,version 9.0c
диск,4 gb,диск,4 gb
,,,
windows_min_AKIBA'S TRIP: Undead  Undressed,windows_min_AKIBA'S TRIP: Undead  Undressed,windows_req_AKIBA'S TRIP: Undead  Undressed,windows_req_AKIBA'S TRIP: Undead  Undressed
операционная система,windows vista (sp2),операционная система,"windows vista (sp2), windows 7, windows 8"
процессор,intel core i3-530 @ 2.93 ghz / amd phenom ii x4 810 @ 2.60 ghz,процессор,intel core i5-2500k @ 3.3 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450 / ati radeon hd 5870 (1gb vram),видео карта,nvidia geforce gtx 760 (4gb vram)
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Electronic Super Joy,windows_min_Electronic Super Joy,windows_req_Electronic Super Joy,windows_req_Electronic Super Joy
операционная система,osx,операционная система,osx
процессор,intel,процессор,intel
оперативная память,1 gb,оперативная память,3 gb
видео карта,open gl,видео карта,open gl
directx,version 9.0,directx,version 9.0
диск,375 mb,диск,375 mb
,,,
windows_min_DARK SOULS™ III - Ashes of Ariandel™,windows_min_DARK SOULS™ III - Ashes of Ariandel™,windows_req_DARK SOULS™ III - Ashes of Ariandel™,windows_req_DARK SOULS™ III - Ashes of Ariandel™
операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit",операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit"
процессор,intel core i3-2100 / amd fx-6300,процессор,intel core i7-3770 / amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti / ati radeon hd 7950,видео карта,nvidia geforce gtx 970 / ati radeon r9 series
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звуковая карта,directx 11 sound device,звуковая карта,directx 11 sound device
,,,
windows_min_Mitsurugi Kamui Hikae,windows_min_Mitsurugi Kamui Hikae,windows_req_Mitsurugi Kamui Hikae,windows_req_Mitsurugi Kamui Hikae
операционная система,windows xp/vista/7/8,операционная система,—
процессор,intel core2 2ghz (recommended),процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,directx 9.0c (shader model3.0 ),видео карта,geforce 9600gt
directx,version 9.0c,directx,—
,,,
windows_min_Heroes & Generals,windows_min_Heroes & Generals,windows_req_Heroes & Generals,windows_req_Heroes & Generals
операционная система,windows 7 and up,операционная система,windows 10 x64
процессор,2ghz cpu w. dual-core,процессор,intel i5 / amd ryzen 5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,ati hd 4810 / nvidia 9600gt or higher,видео карта,nvidia geforce gtx 560 / amd hd 6870 or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Space Pirates And Zombies 2,windows_min_Space Pirates And Zombies 2,windows_req_Space Pirates And Zombies 2,windows_req_Space Pirates And Zombies 2,macos_min_Space Pirates And Zombies 2,macos_min_Space Pirates And Zombies 2,macos_req_Space Pirates And Zombies 2,macos_req_Space Pirates And Zombies 2,linux_min_Space Pirates And Zombies 2,linux_min_Space Pirates And Zombies 2,linux_req_Space Pirates And Zombies 2,linux_req_Space Pirates And Zombies 2
операционная система,windows xp/vista/7/8/10,операционная система,windows xp/vista/7/8/10,операционная система,macos x 10.8.5,операционная система,macos x 10.8.5,операционная система,ubuntu 16.04 lts or steamos,операционная система,ubuntu 16.04 lts or steamos
процессор,2.6 ghz dual core,процессор,3.1 ghz dual core,процессор,intel core i5 2.6 ghz,процессор,intel core i7 3.1 ghz+,процессор,2.6+ ghz quad core,процессор,3.1+ ghz quad core
оперативная память,2 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,8 gb
видео карта,1gb 3d directx 9 compatible video card,видео карта,2gb 3d directx 9 compatible video card,видео карта,opengl 3 compatible gpu with 1gb video,видео карта,opengl 3 compatible gpu with 2gb video,видео карта,opengl 3 compatible gpu with 1gb video,видео карта,opengl 3 compatible gpu with 2gb video
directx,version 9.0c,directx,version 9.0c,диск,4 gb,диск,4 gb,диск,4 gb,диск,4 gb
,,,,,,,,,,,
windows_min_Tooth and Tail,windows_min_Tooth and Tail,macos_min_Tooth and Tail,macos_min_Tooth and Tail,linux_min_Tooth and Tail,linux_min_Tooth and Tail
операционная система,windows 7,операционная система,os x mavericks 10.10,операционная система,ubuntu 12.04 ()
процессор,2 ghz,процессор,dual core from intel,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"1.5gb video card required to play. nvidia 320m, radeon hd 2400, intel hd 3000",видео карта,"1.5gb video card required to play. nvidia 320m, radeon hd 2400, intel hd 3000",видео карта,"(driver mesa 10.6) 1.5gb video card required to play. nvidia 320m, radeon hd 2400, intel hd 3000"
directx,version 11,диск,2 gb,диск,1 gb
,,,,,
windows_min_Bladed fury,windows_min_Bladed fury,windows_req_Bladed fury,windows_req_Bladed fury
операционная система,windows 7 sp1 / 8.1 / 10,операционная система,windows 7 sp1 / 8.1 / 10
процессор,i3 sandy bridge dual core,процессор,i5 sandy bridge dual core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660,видео карта,nvidia geforce gtx 960
диск,3 gb,диск,3 gb
,,,
windows_min_Deceit,windows_min_Deceit,windows_req_Deceit,windows_req_Deceit
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i3 / amd ryzen 3,процессор,intel core i5 / amd ryzen 5 or higher
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 ti / amd radeon r7 265,видео карта,nvidia geforce gtx 970 / amd radeon r9 290x or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Maximum Action,windows_min_Maximum Action,windows_req_Maximum Action,windows_req_Maximum Action
операционная система,windows 7,операционная система,windows 10
процессор,2.4ghz dual core or higher,процессор,3.0 ghz quad core or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 9800gt,видео карта,geforce gtx 460
directx,version 9.0,directx,version 11
,,,
windows_min_Angry Video Game Nerd Adventures,windows_min_Angry Video Game Nerd Adventures,windows_req_Angry Video Game Nerd Adventures,windows_req_Angry Video Game Nerd Adventures
операционная система,windows xp,операционная система,windows 7 or 8
процессор,pentium 4 or higher,процессор,—
оперативная память,256 mb,оперативная память,1 gb
видео карта,256mb or higher,видео карта,—
directx,version 9.0,directx,version 10
диск,40 mb,диск,—
,,,
windows_min_Need for Speed™ Hot Pursuit Remastered,windows_min_Need for Speed™ Hot Pursuit Remastered,windows_req_Need for Speed™ Hot Pursuit Remastered,windows_req_Need for Speed™ Hot Pursuit Remastered
операционная система,"windows 10,",операционная система,"windows 10,"
процессор,(amd) phenom ii x4 965 (intel) corei3-2120,процессор,(amd) fx-8350 (intel) core i5-350k
оперативная память,8 gb,оперативная память,8 gb
видео карта,(amd) radeon hd 5870 (nvidia) geforce gt 640,видео карта,(amd) radeon r9 270x (nvidia) geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
