windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition
windows_min_Tribes of Midgard,windows_min_Tribes of Midgard,windows_req_Tribes of Midgard,windows_req_Tribes of Midgard
операционная система,windows 7 s,операционная система,windows 10 s
процессор,intel quad core i5-2300 or amd fx-6300,процессор,intel quad core i5-2300 or amd fx-6300
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560 (1gb) or amd radeon hd 7770 (1gb),видео карта,nvidia geforce gtx 780 ti/970 (high settings) and 1070 (ultra settings) or amd r9 290 / amd rx480 (high settings)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_STAR WARS™ Jedi Knight II - Jedi Outcast™,windows_min_STAR WARS™ Jedi Knight II - Jedi Outcast™
операционная система,10.12 (sierra)
процессор,1.8 ghz intel chipset or faster
оперативная память,512 mb or higher
видео карта,ati radeon x1600 / nvidia geforce 7300 / intel hd 3000 (128 mb vram or higher)
directx,9.0c
диск,1 gb
звуковая карта,direct x 8.0a
multiplayer requirements,pentium ii or athlon 400mhz
languages,"english, french and german"
,
windows_min_Blade Symphony,windows_min_Blade Symphony,macos_min_Blade Symphony,macos_min_Blade Symphony,linux_min_Blade Symphony,linux_min_Blade Symphony
операционная система,"windows vista, 7, 8, 10",операционная система,"debian, ubuntu, linuxmint or other common distributions",операционная система,"debian, ubuntu, linuxmint or other common distributions"
процессор,"3.0 ghz p4(+), dual core 2.0(+) or amd64x2(+)",процессор,"2.7 ghz p4(+), dual core 2.0(+)",процессор,"3.0 ghz p4(+), dual core 2.0(+) or amd64x2(+)"
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb
видео карта,"dx9.0c compatible 256mb vram, nvidia geforce 7600 series / ati x1600 series",видео карта,"dx9.0c compatible 512mb vram, nvidia geforce gt640m series",видео карта,"dx9.0c compatible 256mb vram, nvidia geforce 7600 series / ati x1600 series"
directx,9.0c,directx,9.0c,directx,9.0c
диск,5 gb hd space,диск,5 gb hd space,диск,5 gb hd space
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,,,
windows_min_LUFTRAUSERS,windows_min_LUFTRAUSERS
операционная система,osx 10.8+
процессор,1.2ghz+
оперативная память,1024 mb
видео карта,opengl 2.1 compatibale + 256mb video
,
windows_min_Dungeon Defenders II,windows_min_Dungeon Defenders II,windows_req_Dungeon Defenders II,windows_req_Dungeon Defenders II,macos_min_Dungeon Defenders II,macos_min_Dungeon Defenders II,macos_req_Dungeon Defenders II,macos_req_Dungeon Defenders II,linux_min_Dungeon Defenders II,linux_min_Dungeon Defenders II,linux_req_Dungeon Defenders II,linux_req_Dungeon Defenders II
операционная система,windows 7 (sp1),операционная система,windows 7 (sp1) / windows 8.1 / windows 10,операционная система,"os x version snow leopard 10.6.3, .",операционная система,—,операционная система,ubuntu 12.04 lts,операционная система,—
процессор,2.0 ghz dual-core cpu,процессор,intel core i5 or amd quad-core,процессор,1.3 ghz intel cpu,процессор,—,процессор,2 ghz cpu,процессор,—
оперативная память,3 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—,видео карта,"ati radeon hd 2400 or nvidia geforce 7600,",видео карта,—
видео карта,"ati radeon hd 2600 / nvidia geforce 8600, 512 mb video memory, with shader model 3 support",видео карта,nvidia geforce gtx 260 or amd radeon hd 4770 (1gb vram),видео карта,open gl 2.1 / shader model 3 capable graphics card with 256 mb video,видео карта,—,сеть,широкополосное подключение,сеть,широкополосное подключение
directx,version 9.0,directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение,диск,6 mb,диск,—
сеть,широкополосное подключение,сеть,широкополосное подключение,дополнительно,internet connection is required to play.,дополнительно,—,дополнительно,internet connection is required to play.,дополнительно,—
диск,20 gb,диск,20 gb,,,,,,,,
звуковая карта,directsound-compatible sound device,звуковая карта,directsound-compatible sound device,,,,,,,,
,,,,,,,,,,,
