windows_min_EVAN QUEST 2,windows_min_EVAN QUEST 2,windows_req_EVAN QUEST 2,windows_req_EVAN QUEST 2
windows_min_Magic crystals 2,windows_min_Magic crystals 2,windows_req_Magic crystals 2,windows_req_Magic crystals 2
операционная система,windows xp,операционная система,windows 10
процессор,core2duo,процессор,quadcore
оперативная память,512 mb,оперативная память,1024 mb
видео карта,intel hd2000,видео карта,intel hd2000
,,,
windows_min_Eigen Space,windows_min_Eigen Space,windows_req_Eigen Space,windows_req_Eigen Space
операционная система,requires a and operating system,операционная система,requires a and operating system
процессор,intel i3,процессор,intel i5 for above
оперативная память,4 gb,оперативная память,4 mb
видео карта,nvidia geforce gtx 1050,видео карта,nvidia geforce gtx 1060
,,,
windows_min_Heroes of The Sacred Tree,windows_min_Heroes of The Sacred Tree,windows_req_Heroes of The Sacred Tree,windows_req_Heroes of The Sacred Tree
операционная система,7/8/10,операционная система,7/8/10
процессор,intel i3 or amd equivalent,процессор,2.8 ghz
оперативная память,8 mb,оперативная память,16 mb
видео карта,onboard,видео карта,onboard
directx,version 12,directx,version 12
диск,3 gb,диск,3 gb
,,,
