windows_min_Contort Effect,windows_min_Contort Effect,windows_req_Contort Effect,windows_req_Contort Effect
windows_min_Sleeping Dogs - Tactical Soldier Pack,windows_min_Sleeping Dogs - Tactical Soldier Pack,windows_req_Sleeping Dogs - Tactical Soldier Pack,windows_req_Sleeping Dogs - Tactical Soldier Pack
операционная система,"windows vista service pack 2, windows 7",операционная система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx®,10,directx®,11
диск,15 gb hd space,диск,15 gb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Megadimension Neptunia VIIR - Famitsu Set,windows_min_Megadimension Neptunia VIIR - Famitsu Set,windows_req_Megadimension Neptunia VIIR - Famitsu Set,windows_req_Megadimension Neptunia VIIR - Famitsu Set
операционная система,"windows 7, 32bit, 64bit",операционная система,windows 10 64bit
процессор,intel i5 2.3 ghz,процессор,intel i5 3.3 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card with 1gb vram or more and compatibility with direct x 11.0 or higher,видео карта,nvidia geforce gtx 960ati mobility radeon r9 290
directx,version 11,directx,version 11
диск,9 gb,диск,9 gb
,,,
windows_min_Injustice™ 2 - Fighter Pack 2,windows_min_Injustice™ 2 - Fighter Pack 2,windows_req_Injustice™ 2 - Fighter Pack 2,windows_req_Injustice™ 2 - Fighter Pack 2
операционная система,windows 7 / windows 10,операционная система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzen™ 3 1200, 3.1 ghz",процессор,"intel core i3-2100, 3.10 ghz / amd fx-6300, 3.5 ghz or amd ryzen™ 5 1400, 3.2 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx 570 or nvidia geforce™ gtx 1050/ amd radeon™ hd 7850 or amd radeon™ rx 550,видео карта,nvidia geforce™ gtx 780 / amd radeon™ r9 290 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Castlevania: Lords of Shadow 2 - Relic Rune Pack,windows_min_Castlevania: Lords of Shadow 2 - Relic Rune Pack,windows_req_Castlevania: Lords of Shadow 2 - Relic Rune Pack,windows_req_Castlevania: Lords of Shadow 2 - Relic Rune Pack
операционная система,windows xp service pack 3,операционная система,windows 7 or higher
процессор,2.4ghz intel core 2 duo or amd equivalent,процессор,quad core cpu
оперативная память,2 gb,оперативная память,2 gb
видео карта,direct x9 compatible video card 512mb,видео карта,direct x11 compatible video card with 1024mb
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directsound supported with direct x9.0c,звуковая карта,directsound supported with direct x9.0c
,,,
windows_min_Bless Online: Founder's Pack - Standard Edition,windows_min_Bless Online: Founder's Pack - Standard Edition,windows_req_Bless Online: Founder's Pack - Standard Edition,windows_req_Bless Online: Founder's Pack - Standard Edition
операционная система,"windows 7, 8, 8.1, 10 (64bit) *bless online cannot be played on 32bit",операционная система,windows 10 (64bit) *bless online cannot be played on 32bit
процессор,intel core i5 4670 / amd fx8350,процессор,intel core i7 7700 / amd ryzen 7 1700
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx760 / amd radeon hd7870,видео карта,nvidia geforce gtx1060 / amd radeon rx580
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Ironsight - Pure Trinitium Pack,windows_min_Ironsight - Pure Trinitium Pack,windows_req_Ironsight - Pure Trinitium Pack,windows_req_Ironsight - Pure Trinitium Pack
операционная система,windows 7,операционная система,windows 7 or above
процессор,intel core™2 duo e7500,процессор,intel core™ i5
оперативная память,4 mb,оперативная память,8 mb
видео карта,nvidia geforce 9600 gt,видео карта,nvidia geforce gtx 650
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Victor Vran: Highlander's Outfit,windows_min_Victor Vran: Highlander's Outfit,windows_req_Victor Vran: Highlander's Outfit,windows_req_Victor Vran: Highlander's Outfit,macos_min_Victor Vran: Highlander's Outfit,macos_min_Victor Vran: Highlander's Outfit,macos_req_Victor Vran: Highlander's Outfit,macos_req_Victor Vran: Highlander's Outfit,linux_min_Victor Vran: Highlander's Outfit,linux_min_Victor Vran: Highlander's Outfit,linux_req_Victor Vran: Highlander's Outfit,linux_req_Victor Vran: Highlander's Outfit
операционная система,"windows vista sp2, windows 7, windows 8",операционная система,"windows 7 (), windows 8 ()",операционная система,osx 10.9 (mavericks),операционная система,osx 10.9 (mavericks),операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce 8800 or higher, amd radeon hd 4000 or higher, intel hd 4000 or higher (min. 512 mb vram)",видео карта,"geforce 560 or higher, amd radeon hd 5800 or higher",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher, intel hd 4000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)"
directx,version 9.0c,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,4 gb,диск,4 gb,диск,4 gb,диск,4 gb
диск,4 gb,диск,4 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Watch_Dogs™ - Season Pass,windows_min_Watch_Dogs™ - Season Pass,windows_req_Watch_Dogs™ - Season Pass,windows_req_Watch_Dogs™ - Season Pass
операционная система,"windows vista (sp2), windows 7 (sp1) or windows 8 (please note that we only support os.)",операционная система,"windows vista (sp2), windows 7 (sp1) or windows 8 (please note that we only support oss.)"
процессор,intel core 2 quad q8400 @ 2.66ghz or amd phenom ii x4 940 @ 3.0ghz,процессор,eight core - intel core i7-3770 @3.5 ghz or amd fx-8350 x8 @ 4 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,directx 11 graphics card with 1 gb video - nvidia geforce gtx 460 or amd radeon hd 5770,видео карта,directx 11 graphics card with 2 gb video - nvidia geforce gtx 560 ti or amd radeon hd 7850
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
звуковая карта,directx 9.0c compatible sound card with latest drivers,звуковая карта,directx 9.0c compatible sound card with latest drivers
,,,
windows_min_Tomb Raider: Aviatrix Skin,windows_min_Tomb Raider: Aviatrix Skin,windows_req_Tomb Raider: Aviatrix Skin,windows_req_Tomb Raider: Aviatrix Skin,macos_min_Tomb Raider: Aviatrix Skin,macos_min_Tomb Raider: Aviatrix Skin,macos_req_Tomb Raider: Aviatrix Skin,macos_req_Tomb Raider: Aviatrix Skin,linux_min_Tomb Raider: Aviatrix Skin,linux_min_Tomb Raider: Aviatrix Skin,linux_req_Tomb Raider: Aviatrix Skin,linux_req_Tomb Raider: Aviatrix Skin
операционная система,"windows xp service pack 3, windows vista,7,8 (32bit/64bit)",операционная система,"windows vista, windows 7 or windows 8",операционная система,macos 10.14,операционная система,—,операционная система,ubuntu 14.04 or steam os 2.0 (),операционная система,ubuntu 14.04 or steam os 2.0 ()
процессор,"dual core cpu: amd athlon64 x2 2.1 ghz (4050+), intel core2 duo 1.86 ghz (e6300)",процессор,"quad core cpu: amd phenom ii x4 955, intel core i5-750",процессор,1.1 ghz intel core m,процессор,—,процессор,intel i3 or amd fx-6300,процессор,intel i5
оперативная память,1gb memory (2gb on vista),оперативная память,4 gb,оперативная память,4gb,оперативная память,—,оперативная память,4gb memory,оперативная память,8gb memory
видео карта,"directx 9 graphics card with 512mb video: amd radeon hd 2600 xt, nvidia 8600",видео карта,"directx 11 graphics card with 1gb video: amd radeon hd 5870, nvidia gtx 480",видео карта,"512mb nvidia 640m, 2gb amd m20, 1.5gb intel hd 4000",видео карта,—,диск,15 gb hd space,диск,15 gb hd space
directx,9.0c,directx,11,диск,14gb,диск,—,видео карта,"nvidia geforce 640 with 1gb of video memory (driver version 364.12 tested), amd r7 260x (driver version mesa 11.2 tested).",видео карта,"nvidia geforce 760 with 3gb of video memory, (driver version 364.12 tested)"
диск,12 gb hd space,диск,12 gb hd space,,,,,,,,
,,,,,,,,,,,
windows_min_Flying Aces - Navy Pilot Simulator,windows_min_Flying Aces - Navy Pilot Simulator,windows_req_Flying Aces - Navy Pilot Simulator,windows_req_Flying Aces - Navy Pilot Simulator
операционная система,windows 7,операционная система,windows 7
процессор,intel-i5-4590,процессор,intel-i5-8400
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
