windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
процессор,intel p4 1.8 ghz/amd athlon xp 2200+,процессор,"intel core 2 duo/amd athlon 64, 2.8ghz"
оперативная память,512mb,оперативная память,2gb
видео карта,ati x1300/nvidia geforce fx 5800 (256 mb),видео карта,ati hd 2900/nvidia geforce 8800
звуковая карта,100% directx9.0c compatible audio device,звуковая карта,100% directx9.0c compatible audio device
,,,
windows_min_NECROPOLIS: BRUTAL EDITION,windows_min_NECROPOLIS: BRUTAL EDITION,windows_req_NECROPOLIS: BRUTAL EDITION,windows_req_NECROPOLIS: BRUTAL EDITION
операционная система,os x mavericks,операционная система,os x el capitan
процессор,intel 2.0 ghz; amd 2.5 ghz,процессор,intel: 2.5 ghz; amd 3.5 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce 210; intel hd graphics 3000; amd radeon hd 4650,видео карта,nvidia geforce gtx 750ti; intel hd graphics 4000; amd radeon hd 7900 series
directx,version 9.0c,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
звуковая карта,on board audio,звуковая карта,on board audio
,,,
windows_min_LEGO® Star Wars™ III - The Clone Wars™,windows_min_LEGO® Star Wars™ III - The Clone Wars™,windows_req_LEGO® Star Wars™ III - The Clone Wars™,windows_req_LEGO® Star Wars™ III - The Clone Wars™
операционная система,"windows xp sp3, windows vista sp2, or windows 7",операционная система,—
процессор,intel p4 2.24 ghz or amd athlon 64,процессор,intel core 2 duo or amd athlon 64 x2
оперативная память,512 mb,оперативная память,—
диск,8gb,диск,—
видео карта,256 mb video memory with shader 3.0 support; ati radeon x1300 / nvidia geforce fx 5800 / intel gma 3-series,видео карта,256 mb video memory with shader 3.0 support; ati radeon hd 2900 / nvidia geforce 9800
,,,
windows_min_Valkyria Chronicles 4 Complete Edition,windows_min_Valkyria Chronicles 4 Complete Edition
операционная система,microsoft windows 7
процессор,intel core i3 6100 amd
оперативная память,4 gb
видео карта,nvidia geforce 650ti 2gb
directx,version 9.0c
,
windows_min_Dead Rising® 2,windows_min_Dead Rising® 2
операционная система,"windows vista/xp, windows 7"
процессор,"intel core 2 duo 2.4 ghz, amd athlon x2 2.2 ghz"
оперативная память,2 gb
видео карта,"nvidia geforce 8800gts, ati radeon™ hd 3850"
directx,directx 9.0c
диск,8.5 gb free hard drive space
,
windows_min_Dead Space,windows_min_Dead Space,windows_req_Dead Space,windows_req_Dead Space
операционная система,window 10 +,операционная система,window 10 +
процессор,"ryzen 5 2600x, core i5 8600",процессор,"ryzen 5 5600x,core i5 11600k"
оперативная память,16 gb,оперативная память,16 gb
видео карта,"amd rx 5700, gtx 1070",видео карта,"radeon rx 6700 xt, geforce rtx 2070"
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_AMID EVIL,windows_min_AMID EVIL,windows_req_AMID EVIL,windows_req_AMID EVIL
операционная система,windows 7,операционная система,windows 10
процессор,quad core 2.5 ghz or faster,процессор,quad core 3.5 ghz or faster
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 470 / amd radeon 6870 hd,видео карта,nvidia gtx 1060 / amd radeon rx 580
directx,version 10,directx,version 12
диск,5 gb,диск,5 gb
,,,
windows_min_Russian Life Simulator,windows_min_Russian Life Simulator,windows_req_Russian Life Simulator,windows_req_Russian Life Simulator,macos_min_Russian Life Simulator,macos_min_Russian Life Simulator,macos_req_Russian Life Simulator,macos_req_Russian Life Simulator,linux_min_Russian Life Simulator,linux_min_Russian Life Simulator,linux_req_Russian Life Simulator,linux_req_Russian Life Simulator
операционная система,windows xp/vista/7/8/10,операционная система,windows xp/vista/7/8/10,операционная система,mac os x 10.5+,операционная система,mac os x 10.5+,операционная система,ubuntu 12.04+,операционная система,ubuntu 14.10+
процессор,2 ghz dual core,процессор,3 ghz dual core,процессор,2 ghz dual core,процессор,3 ghz dual core,процессор,2 ghz dual core,процессор,3 ghz dual core
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,512mb+,видео карта,512mb+,видео карта,512mb+,видео карта,512mb+,видео карта,512mb+,видео карта,512mb+
directx,version 9.0c,directx,version 9.0c,диск,300 mb,диск,300 mb,диск,300 mb,диск,300 mb
диск,300 mb,диск,300 mb,звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any
,,,,,,,,,,,
windows_min_MO:Astray,windows_min_MO:Astray,windows_req_MO:Astray,windows_req_MO:Astray
операционная система,windows 7,операционная система,windows 10
