windows_min_BIT.TRIP RUNNER,windows_min_BIT.TRIP RUNNER
windows_min_N++ (NPLUSPLUS),windows_min_N++ (NPLUSPLUS),windows_req_N++ (NPLUSPLUS),windows_req_N++ (NPLUSPLUS),macos_min_N++ (NPLUSPLUS),macos_min_N++ (NPLUSPLUS),macos_req_N++ (NPLUSPLUS),macos_req_N++ (NPLUSPLUS),linux_min_N++ (NPLUSPLUS),linux_min_N++ (NPLUSPLUS),linux_req_N++ (NPLUSPLUS),linux_req_N++ (NPLUSPLUS)
операционная система,32-bit windows vista,операционная система,windows 7,операционная система,x,операционная система,x,операционная система,ubuntu,операционная система,ubuntu
процессор,core i3 / amd a6 2.4ghz,процессор,core i5 / amd fx 2.4ghz,дополнительно,(to be updated shortly!),дополнительно,(to be updated shortly!),,,,
оперативная память,2 gb,оперативная память,4 gb,,,,,,,,
видео карта,512mb vram nvidia geforce 8xxx series / ati radeon hd 3xxx series. opengl 3.3 support,видео карта,1024mb vram nvidia geforce gtx 4xx series / ati radeon hd 5xxx series. opengl 3.3 support,,,,,,,,
диск,650 mb,диск,650 mb,,,,,,,,
,,,,,,,,,,,
windows_min_Planet Centauri,windows_min_Planet Centauri,macos_min_Planet Centauri,macos_min_Planet Centauri,linux_min_Planet Centauri,linux_min_Planet Centauri
операционная система,windows vista s,операционная система,os x 10.7+,операционная система,ubuntu 12 +
процессор,dualcore 2ghz,процессор,64bit intel cpu - dualcore 2ghz,процессор,dualcore 2ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,card with 256mb and support shader model 1.3,видео карта,card with 256mb and support shader model 1.3,видео карта,card with 256mb and support shader model 1.3
диск,400 mb,диск,250 mb,диск,250 mb
,,,,,
windows_min_Ys I & II Chronicles+,windows_min_Ys I & II Chronicles+,windows_req_Ys I & II Chronicles+,windows_req_Ys I & II Chronicles+
операционная система,windows xp,операционная система,"windows xp, vista, 7 ( supported)"
процессор,pentium iii 866 mhz,процессор,pentium iii 1.6 ghz or higher
оперативная память,1 gb,оперативная память,2 gb
видео карта,"64 mb vram, 3d accelerator compatible w/ directx 9.0c",видео карта,"64 mb vram, 3d accelerator compatible w/ directx 9.0c"
directx,9.0c,directx,9.0c
диск,2 gb hd space,диск,3 gb hd space
,,,
windows_min_ULTIMATE HARDBASS DEFENCE,windows_min_ULTIMATE HARDBASS DEFENCE,windows_req_ULTIMATE HARDBASS DEFENCE,windows_req_ULTIMATE HARDBASS DEFENCE
операционная система,windows 7 x64,операционная система,windows 10 x64
процессор,intel core i3-530 or intel xeon e5430 or amd phenom ii x4 3.0 ghz+,процессор,intel pentium g4560 or amd fx-6000 series 3.0 ghz+
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 750ti or amd radeon hd6970,видео карта,nvidia geforce gtx 1050ti or amd radeon r9 280x
directx,version 11,directx,version 11
диск,2400 mb,диск,4 gb
звуковая карта,directx 11 support,звуковая карта,directx 11 support
,,,
windows_min_God Mode,windows_min_God Mode,windows_req_God Mode,windows_req_God Mode
операционная система,"windows xp, vista, windows 7",операционная система,"windows xp, vista, windows 7"
процессор,"intel core2 duo or amd athlon 64 x2, 2ghz",процессор,"intel core2 quad or amd phenom x4 9950, 2.6ghz"
оперативная память,2 gb,оперативная память,3 gb
видео карта,nvidia geforce 8800 or ati radeon 2900 xt,видео карта,nvidia geforce gtx 460 or ati radeon 5850
directx,9.0c,directx,9.0c
диск,5 gb hd space,диск,5 gb hd space
звуковая карта,any directx compatible card,звуковая карта,any directx compatible card
,,,
windows_min_Witch Hunt,windows_min_Witch Hunt,windows_req_Witch Hunt,windows_req_Witch Hunt
операционная система,"windows vista, 7, 8, 10",операционная система,"windows vista, 7, 8, 10"
процессор,"intel core 2 quad, intel core 2 duo e8500",процессор,intel core i5-2500k
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gt 710 (1gb), intel hd graphics 630 .",видео карта,nvidia geforce gtx 780 (3gb) .
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Kao the Kangaroo: Round 2 (2003 re-release),windows_min_Kao the Kangaroo: Round 2 (2003 re-release)
операционная система,win 7
процессор,600 mhz
оперативная память,128 mb
видео карта,32mb graphic card compatible with directx 8.1
directx,version 9.0c
диск,950 mb
,
windows_min_Seek Girl ,windows_min_Seek Girl 
операционная система,windows7/8/10
процессор,intel core i5
оперативная память,4 gb
видео карта,nvidia gef
диск,400 mb
,
windows_min_Gal*Gun: Double Peace,windows_min_Gal*Gun: Double Peace,windows_req_Gal*Gun: Double Peace,windows_req_Gal*Gun: Double Peace
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-550 / amd phenom ii x4 964,процессор,intel core i5-4460
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450 / ati radeon hd 5870,видео карта,nvidia geforce gtx 750
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Strike Vector,windows_min_Strike Vector,windows_req_Strike Vector,windows_req_Strike Vector
операционная система,windows xp,операционная система,windows 7
процессор,2.0+ ghz,процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,sm3-compatible video card,видео карта,nvidia 8000 series or higher graphics card
directx,version 9.0,directx,version 11
диск,5000 mb,диск,5000 mb
,,,
