windows_min_Trine 3: The Artifacts of Power,windows_min_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power
видео карта,directx11 compatible graphics card w/ dedicated 2gb vram,видео карта,directx11 compatible graphics card w/ dedicated 4gb vram
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,35 gb,диск,35 gb
,,,
windows_min_Yakuza Kiwami 2,windows_min_Yakuza Kiwami 2,windows_req_Yakuza Kiwami 2,windows_req_Yakuza Kiwami 2
операционная система,windows 7,операционная система,windows 10
процессор,"intel core i5-3470, 3.2 ghz / amd ryzen 3 1200, 3.1 ghz",процессор,"intel core i7-6700, 3.4 ghz / amd ryzen 7 1700, 3.7 ghz"
оперативная память,4 gb,оперативная память,16 gb
видео карта,"geforce gtx 660, 2 gb / radeon hd 7870, 2 gb",видео карта,"geforce gtx 1070, 8 gb / radeon rx vega 56, 8gb"
directx,version 11,directx,version 11
диск,42 gb,диск,42 gb
,,,
windows_min_RUNNING WITH RIFLES,windows_min_RUNNING WITH RIFLES,windows_req_RUNNING WITH RIFLES,windows_req_RUNNING WITH RIFLES
операционная система,mac osx 10.9 mavericks,операционная система,—
процессор,1.6 ghz dual core,процессор,2.4 ghz dual core
оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia geforce 6800, ati x800, intel hd3000 with 256mb vram - please note that the game is not playable with ati/amd proprietary drivers!",видео карта,—
directx,version 9.0c,directx,—
диск,800 mb,диск,—
дополнительно,try out the latest demo to see if the game will run fine for you.,дополнительно,—
,,,
windows_min_THE KING OF FIGHTERS XIII STEAM EDITION,windows_min_THE KING OF FIGHTERS XIII STEAM EDITION,windows_req_THE KING OF FIGHTERS XIII STEAM EDITION,windows_req_THE KING OF FIGHTERS XIII STEAM EDITION
операционная система,windows xp,операционная система,windows7
процессор,intel pentium4 2.0 ghz and up,процессор,intel core i5 2300 and up
оперативная память,1 gb,оперативная память,4 gb
видео карта,"geforce 9500 gt ,vram: 256mb and up",видео карта,"geforce gts 250 ,vram: 512mb and up"
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
звуковая карта,"directsound, directx9.0c compatible audio",звуковая карта,"directsound, directx9.0c compatible audio"
,,,
windows_min_The Wild Eight,windows_min_The Wild Eight
операционная система,windows 7 or higher 64bit
процессор,intel core i5-2400 @ 3.1 ghz or amd fx-6300 @ 3.5 ghz
оперативная память,6 gb
видео карта,nvidia geforce gtx 670 or analogue with 2gb vram
,
windows_min_SOULCALIBUR VI,windows_min_SOULCALIBUR VI,windows_req_SOULCALIBUR VI,windows_req_SOULCALIBUR VI
операционная система,"windows 7, 8.1, 10 ()",операционная система,"windows 7, 8.1, 10 ()"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690 3.5 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1050,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_Dungreed,windows_min_Dungreed,windows_req_Dungreed,windows_req_Dungreed,macos_min_Dungreed,macos_min_Dungreed,macos_req_Dungreed,macos_req_Dungreed,linux_min_Dungreed,linux_min_Dungreed,linux_req_Dungreed,linux_req_Dungreed
операционная система,windows 7+,операционная система,windows 7+,операционная система,mac os x 10.10 (yosemite)+,операционная система,mac os x 10.10 (yosemite)+,операционная система,ubuntu 12.04+,операционная система,ubuntu 12.04+
процессор,dual core 2.6 ghz +,процессор,intel core i5 series +,процессор,dual core 2.6 ghz +,процессор,intel core i5 series +,процессор,dual core 2.4 ghz +,процессор,intel core i5 series +
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia gts 450,видео карта,nvidia gts 450,видео карта,nvidia gts 450,видео карта,nvidia gts 450,видео карта,nvidia gts 450,видео карта,nvidia gts 450
,,,,,,,,,,,
windows_min_DESOLATE,windows_min_DESOLATE,windows_req_DESOLATE,windows_req_DESOLATE
операционная система,windows 8/10,операционная система,windows 8/10
процессор,intel core i5-2400 @ 3.1 ghz or amd fx-6300 @ 3.5 ghz,процессор,intel core i7-4770 @ 3.4 ghz or amd ryzen 5 1600 @ 3.2 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 670 or analogue with 2gb vram,видео карта,nvidia geforce gtx 970 or analogue with 4 gb vram
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Tannenberg,windows_min_Tannenberg,windows_req_Tannenberg,windows_req_Tannenberg,macos_min_Tannenberg,macos_min_Tannenberg,macos_req_Tannenberg,macos_req_Tannenberg,linux_min_Tannenberg,linux_min_Tannenberg,linux_req_Tannenberg,linux_req_Tannenberg
операционная система,windows 8/10,операционная система,windows 10,операционная система,10.11+,операционная система,—,операционная система,"ubuntu 18.04+ 64bit only. other distros will probably work, but are not officially supported.",операционная система,—
