видео карта,nvidia geforce 7600 gt or ati™ radeon™ x800 xt,видео карта,nvidia geforce 8800 gt (512 mb) or ati™ radeon™ hd 4850,видео карта,nvidia geforce 9400m or ati™ radeon™ hd 2600 pro,видео карта,ati™ radeon™ hd 4850 or nvidia geforce gt 650m,видео карта,nvidia geforce 7600 gt or ati™ radeon™ x800 xt,видео карта,—
directx,version 9.0c,directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,1 gb,диск,1 gb,диск,1 gb,диск,—
,,,,,,,,,,,
windows_min_Strike Force: Desert Thunder,windows_min_Strike Force: Desert Thunder,windows_req_Strike Force: Desert Thunder,windows_req_Strike Force: Desert Thunder
операционная система,win7/8/10 32-bit,операционная система,win7/8/10
процессор,core 2 duo e8200 2.66ghz or phenom ii x2 545,процессор,core 2 quad q9550 2.83ghz or phenom ii x4 955
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 295 or radeon hd 5870 (at least 1gb vram),видео карта,geforce gtx 580 or radeon hd 7970 (at least 2gb vram)
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_RUINS Survival,windows_min_RUINS Survival,windows_req_RUINS Survival,windows_req_RUINS Survival
операционная система,windows 7 / 10,операционная система,windows 7 / 10
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560,видео карта,nvidia geforce gtx 770
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Mortal Royale,windows_min_Mortal Royale,windows_req_Mortal Royale,windows_req_Mortal Royale
операционная система,windows 7 x64,операционная система,windows 10 x64
процессор,dual core 2.4ghz,процессор,—
оперативная память,6 gb,оперативная память,8 gb
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Chaos,windows_min_Chaos,windows_req_Chaos,windows_req_Chaos
операционная система,windows 8 or above (windows 7 works but is not supported),операционная система,windows 10
процессор,"intel core i3, or amd fx 6300",процессор,"intel core i5, or amd a10"
оперативная память,4 gb,оперативная память,6 gb
видео карта,intergrated graphics,видео карта,"gtx 1050, or rx 570"
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_DESPOILER,windows_min_DESPOILER,windows_req_DESPOILER,windows_req_DESPOILER
операционная система,windows 8.1,операционная система,windows 10
процессор,intel i5 2500,процессор,intel i5 4000 series
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
диск,11 gb,диск,11 gb
,,,
windows_min_Slay Together,windows_min_Slay Together
операционная система,windows 7 / windows 8 / windows 10
процессор,intel core i3
оперативная память,512 mb
видео карта,nvidia geforce gtx 660 2gb or gtx 1050 2gb
directx,version 11
,
windows_min_Gear City Against Chaos,windows_min_Gear City Against Chaos,windows_req_Gear City Against Chaos,windows_req_Gear City Against Chaos
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel celeron-g1820,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 295 / amd radeon r7 260x,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_The Pirate: Plague of the Dead,windows_min_The Pirate: Plague of the Dead,windows_req_The Pirate: Plague of the Dead,windows_req_The Pirate: Plague of the Dead,macos_min_The Pirate: Plague of the Dead,macos_min_The Pirate: Plague of the Dead,macos_req_The Pirate: Plague of the Dead,macos_req_The Pirate: Plague of the Dead,linux_min_The Pirate: Plague of the Dead,linux_min_The Pirate: Plague of the Dead,linux_req_The Pirate: Plague of the Dead,linux_req_The Pirate: Plague of the Dead
операционная система,windows xp,операционная система,windows 7,операционная система,10.8,операционная система,10.8,операционная система,ubuntu 12.04 / steam os,операционная система,ubuntu 12.04 / steam os
процессор,core 2 duo - 1.5 ghz or higher,процессор,core 2 duo - 2.0 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher
оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb
видео карта,256 mb vram,видео карта,1 gb vram,видео карта,256 mb vram,видео карта,1 gb vram,видео карта,256 mb vram,видео карта,1 gb vram
directx,version 9.0b,directx,version 9.0b,диск,200 mb,диск,200 mb,диск,200 mb,диск,200 mb
диск,200 mb,диск,200 mb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,directx compatible,звуковая карта,directx compatible,,,,,,,,
,,,,,,,,,,,
