windows_min_Mass Effect 3,windows_min_Mass Effect 3,windows_req_Mass Effect 3,windows_req_Mass Effect 3
видео карта,nvidia geforce gtx 960 / radeon rx 480,видео карта,nvidia geforce gtx 980 / radeon rx 490
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Hunting Unlimited 2,windows_min_Hunting Unlimited 2,windows_req_Hunting Unlimited 2,windows_req_Hunting Unlimited 2
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10
процессор,pentium 4,процессор,pentium 4 1.3ghz / amd duron 2.0ghz
оперативная память,128 mb,оперативная память,128 mb
видео карта,3d graphics card compatible with directx 8,видео карта,3d graphics card compatible with directx 8
directx,version 8.0,directx,version 8.0
,,,
windows_min_Hunting Unlimited 3,windows_min_Hunting Unlimited 3
операционная система,windows 7 / 8 / 10
процессор,pentium 4 1.4 ghz or 100% compatible
оперативная память,256 mb
видео карта,64 mb directx/direct3d and t&l compatible video accelerator card
directx,version 9.0
,
windows_min_SUPER UFO FIGHTER,windows_min_SUPER UFO FIGHTER
операционная система,mac os big sur
процессор,intel core™ i5 or higher
оперативная память,2 gb
видео карта,intel hd graphics 520
directx,version 9.0
,
windows_min_Holomento,windows_min_Holomento,windows_req_Holomento,windows_req_Holomento
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-8300 cpu @ 2.3ghz,процессор,intel core i7-6700k cpu @ 4.00 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1050,видео карта,nvidia gtx 1080 or amd rx 5700
,,,
windows_min_Road Z : The Last Drive,windows_min_Road Z : The Last Drive,windows_req_Road Z : The Last Drive,windows_req_Road Z : The Last Drive
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i5-2300 @ 2.8 ghz or amd ryzen 3 1200 @ 3.1ghz or amd fx-8350 @ 4.2ghz,процессор,intel core i5-6600 @ 3.3 ghz or amd ryzen 3 1300 x @ 3.4 ghz
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 780 or amd hd 7950 with 3gb vram minimum,видео карта,nvidia geforce gtx 1060 or amd radeon rx 580 with 4gb vram minimum
directx,version 11,directx,version 11
,,,
windows_min_Isles of Yore,windows_min_Isles of Yore
процессор,"quad-core, 3.0 ghz"
оперативная память,8 gb
видео карта,"dedicated graphics card, nvidia geforce gtx 1060 (6gb vram version)"
directx,version 11
сеть,широкополосное подключение
диск,5 gb
,
windows_min_Spooky Chase,windows_min_Spooky Chase
операционная система,windows 7
процессор,intel core i3 8100
оперативная память,4 gb
видео карта,intel hd 4000
directx,version 10
,
windows_min_CyberBorn,windows_min_CyberBorn,windows_req_CyberBorn,windows_req_CyberBorn
операционная система,microsoft windows 10 64bit,операционная система,microsoft windows 10 64bit
процессор,intel core i3 - 6xxx,процессор,intel core i5 - 8xxx
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1060,видео карта,rtx 2070
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Automata Break,windows_min_Automata Break,windows_req_Automata Break,windows_req_Automata Break
операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350",процессор,intel i5-4590 / amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,nvidia gtx 1060 / amd radeon rx 480
directx,version 11,directx,version 11
,,,
windows_min_Cybershock: Future Parkour,windows_min_Cybershock: Future Parkour
операционная система,windows vista
процессор,2 ghz
оперативная память,4 gb
видео карта,"256 mb video memory, shader model 3.0+"
directx,version 10
,
windows_min_The Riftbreaker: Prologue,windows_min_The Riftbreaker: Prologue,windows_req_The Riftbreaker: Prologue,windows_req_The Riftbreaker: Prologue
операционная система,windows 8.1,операционная система,windows 10
процессор,intel i5 gen 2 or amd bulldozer {4 cores),процессор,intel i7 gen 2 or amd ryzen
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia gtx 750 2gb or amd r7 265 2gb,видео карта,nvidia gtx 1060 6gb or amd rx570 8gb
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Devolverland Expo,windows_min_Devolverland Expo,windows_req_Devolverland Expo,windows_req_Devolverland Expo
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,amd / intel cpu running at 2.8 ghz or higher (amd phenom ii x4 925 or intel i3-4130 are recommended),процессор,amd / intel running at 3.5 ghz or higher (amd fx-6300 series or intel core i3-8100 is recommended)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"amd/nvidia graphic card, with at least 2gb of dedicated vram and with at least directx 11 and shader model 5.1 support: amd radeon hd 7870 or nvidia geforce gtx 760 is recommended",видео карта,"amd/nvidia dedicated graphic card, with at least 4gb of dedicated vram (or more) and with at least directx 11 and shader model 5.1 support: nvidia geforce gtx 1050 ti or amd radeon r9 directx: wersja ...  11 miejsce na dysku: 8 gb dostpnej przestrzeni karta dwikowa: integrated or dedicated directx 9 compatible soundcard dodatkowe uwagi: requires a and operating system, windows 7 and 8.1 are supported but some amd graphics cards might show weaker performance on these os versions.  еще"
directx,version 11,directx,version 12
диск,7 gb,диск,7 gb
звуковая карта,integrated or dedicated directx 9 compatible soundcard,звуковая карта,integrated or dedicated directx 9 compatible soundcard
,,,
windows_min_Humans V Zombies,windows_min_Humans V Zombies,windows_req_Humans V Zombies,windows_req_Humans V Zombies
операционная система,windows 7,операционная система,windows 10
процессор,intel i 3,процессор,intel i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd rx 560,видео карта,rtx 2070
,,,
windows_min_Kill It With Fire: HEATWAVE,windows_min_Kill It With Fire: HEATWAVE,windows_req_Kill It With Fire: HEATWAVE,windows_req_Kill It With Fire: HEATWAVE
операционная система,windows 7,операционная система,windows 10
процессор,2.4 ghz dual core,процессор,2.4 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 760,видео карта,gtx 1060
,,,
windows_min_The Haunted House of Doom,windows_min_The Haunted House of Doom,windows_req_The Haunted House of Doom,windows_req_The Haunted House of Doom
операционная система,windows 7,операционная система,windows 7
процессор,core i3,процессор,core i3
,,,
windows_min_Hentai Cyberpunk,windows_min_Hentai Cyberpunk,windows_req_Hentai Cyberpunk,windows_req_Hentai Cyberpunk
операционная система,"windows 7 sp1, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,2ghz,процессор,intel i3
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or amd r9 270,видео карта,nvidia geforce gtx 750 ti or amd r9 280x
,,,
windows_min_President's Sniper Shooting,windows_min_President's Sniper Shooting,macos_min_President's Sniper Shooting,macos_min_President's Sniper Shooting,linux_min_President's Sniper Shooting,linux_min_President's Sniper Shooting
операционная система,windows 7 32-bit sp1,операционная система,mac os x 10.8+,операционная система,"most recent version of ubuntu lts with the unity, gnome, or kde desktops"
процессор,intel core i5 2.8ghz or amd equivalent,процессор,2011 intel core i5,процессор,2011 intel core i5
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,dx10 compatible,видео карта,nvidia or ati gpu with 1gb memory,диск,500 mb
диск,500 mb,диск,500 mb,звуковая карта,any
,,,,,
windows_min_The Evil in the Forest,windows_min_The Evil in the Forest,windows_req_The Evil in the Forest,windows_req_The Evil in the Forest
операционная система,mac os x 10.7.5+,операционная система,mac os x10.11+
процессор,intel core i5,процессор,intel core i7
оперативная память,1 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,amd radeon r9 m370x
directx,version 11,directx,version 11
диск,1 gb,диск,2 gb
,,,
windows_min_BLEACH Brave Souls,windows_min_BLEACH Brave Souls,windows_req_BLEACH Brave Souls,windows_req_BLEACH Brave Souls
операционная система,"windows8(64bit), windows8.1(64bit), windows 10(64bit)",операционная система,windows 10(64bit)
процессор,intel(r) core(tm) i5-2520m,процессор,intel(r) core(tm) i5-8265u
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel(r) hd graphics,видео карта,intel(r) hd graphics
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_Sword Reverie,windows_min_Sword Reverie,windows_req_Sword Reverie,windows_req_Sword Reverie
операционная система,windows 10,операционная система,windows 10
