windows_min_Pacify,windows_min_Pacify,windows_req_Pacify,windows_req_Pacify
операционная система,macos 10.14.x mojave,операционная система,macos 10.15.x catalina
процессор,intel i5,процессор,intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,2gb video,видео карта,4gb video
directx,version 11,directx,version 12
диск,5 gb,диск,6 gb
дополнительно,direct x 11 feature level 10 required to run.,дополнительно,—
,,,
windows_min_BioShock™ Remastered,windows_min_BioShock™ Remastered,windows_req_BioShock™ Remastered,windows_req_BioShock™ Remastered
операционная система,macos 10.12.5,операционная система,—
процессор,2.4ghz intel core i5,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris pro 5200 (see notes for more details)",видео карта,—
directx,version 11,directx,version 11
диск,27 gb,диск,—
звуковая карта,directx compatible sound device,звуковая карта,directx compatible sound device
,,,
windows_min_Batman: Arkham City - Game of the Year Edition,windows_min_Batman: Arkham City - Game of the Year Edition
