windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law
процессор,intel i5-4590 / amd fx 8350
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 970
directx,version 11
,
windows_min_Exit Limbo: Opening,windows_min_Exit Limbo: Opening,windows_req_Exit Limbo: Opening,windows_req_Exit Limbo: Opening
операционна€ система,windows 7 or higher 64bit,операционна€ система,windows 7 or higher 64bit
процессор,intel core i3 2.00 ghz or amd equivalent,процессор,intel core i5 3.5 ghz or amd equivalent
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 450 or higher with 1gb memory,видео карта,nvidia geforce 970 or higher with 4gb memory
directx,version 11,directx,version 11
,,,
windows_min_Strange Brigade - Season Pass,windows_min_Strange Brigade - Season Pass
операционна€ система,windows 7 windows 8.1 or windows 10
оперативна€ пам€ть,4 gb
,
windows_min_Terror,windows_min_Terror,windows_req_Terror,windows_req_Terror
операционна€ система,microsoft windows xp / vista / 7,операционна€ система,microsoft windows xp / vista / 7
процессор,core i3-530,процессор,core i3-750
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 460,видео карта,nvidia geforce gtx 660
диск,11 gb,диск,11 gb
,,,
windows_min_DRAGON BALL FighterZ - SSGSS Goku and SSGSS Vegeta Unlock,windows_min_DRAGON BALL FighterZ - SSGSS Goku and SSGSS Vegeta Unlock,windows_req_DRAGON BALL FighterZ - SSGSS Goku and SSGSS Vegeta Unlock,windows_req_DRAGON BALL FighterZ - SSGSS Goku and SSGSS Vegeta Unlock
операционна€ система,windows 7/8/10 ( os required),операционна€ система,windows 7/8/10 ( os required)
процессор,"amd fx-4350, 4.2 ghz / intel core i5-3470, 3.20 ghz",процессор,"amd ryzen 5 1400, 3.2 ghz / intel core i7-3770, 3.40 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,"radeon hd 7870, 2 gb / geforce gtx 660, 2 gb"
directx,version 11,directx,Ч
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Call of DutyЃ: Ghosts - Merrick Special Character,windows_min_Call of DutyЃ: Ghosts - Merrick Special Character,windows_req_Call of DutyЃ: Ghosts - Merrick Special Character,windows_req_Call of DutyЃ: Ghosts - Merrick Special Character
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Sniper Ghost Warrior Contracts - KELL-T,windows_min_Sniper Ghost Warrior Contracts - KELL-T
операционна€ система,windows 7
процессор,intel core i5 4460 / amd fx 6350
видео карта,nvidia geforce gtx 760 or amd radeon hd 7870 (2gb vram)
directx,version 10
,
windows_min_Tale of Fortune,windows_min_Tale of Fortune,windows_req_Tale of Fortune,windows_req_Tale of Fortune
операционна€ система,windows 7/8/8.1/10,операционна€ система,Ч
процессор,intel core i5-4590 (),процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 960 (),видео карта,Ч
,,,
windows_min_MY HERO ONE'S JUSTICE Playable Character: Pro Hero Endeavor,windows_min_MY HERO ONE'S JUSTICE Playable Character: Pro Hero Endeavor
операционна€ система,windows 7
процессор,intel core i5-750 / amd phenom ii x4 940
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 460 / amd radeon hd 6870
directx,version 11
,
windows_min_Street Fighter X Tekken: Additional 12 Characters Pack,windows_min_Street Fighter X Tekken: Additional 12 Characters Pack,windows_req_Street Fighter X Tekken: Additional 12 Characters Pack,windows_req_Street Fighter X Tekken: Additional 12 Characters Pack
,,,
windows_min_Gone with the Demon,windows_min_Gone with the Demon,windows_req_Gone with the Demon,windows_req_Gone with the Demon
операционна€ система,windows 7 sp1 (),операционна€ система,windows 10 ()
процессор,"x64 dual core cpu, 2+ ghz",процессор,"x64 quad core cpu, 3+ ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 750,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
,,,
windows_min_Total War: WARHAMMER - Wurrzag,windows_min_Total War: WARHAMMER - Wurrzag,windows_req_Total War: WARHAMMER - Wurrzag,windows_req_Total War: WARHAMMER - Wurrzag,macos_min_Total War: WARHAMMER - Wurrzag,macos_min_Total War: WARHAMMER - Wurrzag,macos_req_Total War: WARHAMMER - Wurrzag,macos_req_Total War: WARHAMMER - Wurrzag,linux_min_Total War: WARHAMMER - Wurrzag,linux_min_Total War: WARHAMMER - Wurrzag,linux_req_Total War: WARHAMMER - Wurrzag,linux_req_Total War: WARHAMMER - Wurrzag
операционна€ система,windows 7 64bit,операционна€ система,windows 7/8.1/10 64bit,операционна€ система,macos 10.12.4,операционна€ система,Ч,операционна€ система,ubuntu 16.04 or steam os 2.0 ( required),операционна€ система,ubuntu 16.04 or steam os 2.0 ( required)
процессор,intel coreЩ 2 duo 3.0ghz,процессор,intel coreЩ i5-4570 3.20ghz,процессор,2.0ghz intel core i5,процессор,Ч,процессор,"3.4ghz intel core i3-4130, 3.5ghz amd fx6300",процессор,3.4 ghz intel core i7-4770
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
