directx,9.0c,directx,11,диск,14gb,диск,—,видео карта,"nvidia geforce 640 with 1gb of video memory (driver version 364.12 tested), amd r7 260x (driver version mesa 11.2 tested).",видео карта,"nvidia geforce 760 with 3gb of video memory, (driver version 364.12 tested)"
диск,12 gb hd space,диск,12 gb hd space,,,,,,,,
,,,,,,,,,,,
windows_min_DOOMED,windows_min_DOOMED,windows_req_DOOMED,windows_req_DOOMED
операционная система,windows xp 32/64,операционная система,windows 7 32/64
процессор,dual core 2.4 ghz,процессор,intel core™ i3
оперативная память,4 gb,оперативная память,4 gb
видео карта,1 gb dx9 compliant,видео карта,2 gb dx9 compliant
directx,version 9.0,directx,version 9.0
диск,2 gb,диск,2 gb
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Battleground Shooting Training ,windows_min_Battleground Shooting Training ,windows_req_Battleground Shooting Training ,windows_req_Battleground Shooting Training 
операционная система,windows 7-,операционная система,windows 7-
процессор,intel i3-4170,процессор,intel i7-6700
оперативная память,8 gb,оперативная память,8 gb
видео карта,amd r9 270 or nvidia gtx 660,видео карта,amd rx 470 or nvidia gtx 970
directx,version 11,directx,version 11
,,,
windows_min_Life is Strange - Episode 3,windows_min_Life is Strange - Episode 3,windows_req_Life is Strange - Episode 3,windows_req_Life is Strange - Episode 3,macos_min_Life is Strange - Episode 3,macos_min_Life is Strange - Episode 3,macos_req_Life is Strange - Episode 3,macos_req_Life is Strange - Episode 3,linux_min_Life is Strange - Episode 3,linux_min_Life is Strange - Episode 3,linux_req_Life is Strange - Episode 3,linux_req_Life is Strange - Episode 3
операционная система,windows vista,операционная система,windows 7,операционная система,macos 10.11,операционная система,—,операционная система,ubuntu 16.04 / steamos 2.0,операционная система,ubuntu 16.04 / steamos 2.0
процессор,dual core 2.0ghz,процессор,dual core 3.0ghz,процессор,1.8ghz intel,процессор,—,процессор,intel i3 or amd fx6300,процессор,intel core i5
оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,ati or nvidia card w/ 512 mb (not recommended for intel hd graphics cards),видео карта,ati or nvidia card w/ 1024 mb (nvidia geforce gtx 260 or ati hd 4890),видео карта,"512mb amd 4850, 512mb nvidia gt130, intel hd4000 (see notes for more details)",видео карта,—,видео карта,"nvidia 640 (1gb), amd r9 270, intel iris pro 6200",видео карта,nvidia 7xx series
directx,version 9.0,directx,version 9.0,диск,15 gb,диск,—,дополнительно,nvidia gpu's require driver version 367.27 (tested). amd and intel gpu's require mesa 11.2 (tested). amd gpus are not supported on steamos,дополнительно,nvidia gpu's require driver version 367.27 (tested). amd and intel gpu's require mesa 11.2 (tested). amd gpus are not supported on steamos
,,,,,,,,,,,
