,,,
windows_min_Steampunk Syndicate,windows_min_Steampunk Syndicate,windows_req_Steampunk Syndicate,windows_req_Steampunk Syndicate
операционная система,windows xp service pack 3,операционная система,windows xp service pack 3
процессор,dual core cpu,процессор,dual core cpu
оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.0 compliant with 512mb of video.,видео карта,opengl 3.0 compliant with 1.0gb of video.
,,,
windows_min_CRAFT BATTLE SIMULATOR,windows_min_CRAFT BATTLE SIMULATOR,macos_min_CRAFT BATTLE SIMULATOR,macos_min_CRAFT BATTLE SIMULATOR,linux_min_CRAFT BATTLE SIMULATOR,linux_min_CRAFT BATTLE SIMULATOR
операционная система,windows 7,операционная система,osx 10.10 yosemite,операционная система,ubuntu or steam os
процессор,1+ ghz intel/amd dual core,процессор,1+ ghz intel dual core,процессор,1+ ghz intel/amd dual core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 5500,видео карта,intel iris pro graphics,видео карта,intel hd 5500
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,
windows_min_Elsword,windows_min_Elsword,windows_req_Elsword,windows_req_Elsword
операционная система,windows 7 (32bit),операционная система,windows 7 (64bit)
процессор,intel/amd (2ghz),процессор,intel core i3
оперативная память,2gb,оперативная память,4gb or higher
видео карта,nvidia geforce 8600 gt,видео карта,nvidia geforce gt 240
directx,9.0c,directx,9.0c
,,,
windows_min_Super Cube Smash,windows_min_Super Cube Smash,windows_req_Super Cube Smash,windows_req_Super Cube Smash
операционная система,os x,операционная система,os x
процессор,intel i3,процессор,intel i5
оперативная память,1 mb,оперативная память,4 mb
видео карта,1gb vram,видео карта,1gb ddr5 vram
directx,version 9.0,directx,version 9.0
,,,
