windows_min_CS:GO,windows_min_CS:GO,macos_min_CS:GO,macos_min_CS:GO,linux_min_CS:GO,linux_min_CS:GO
видео карта,nvidia geforce gtx 760 or amd r9 270x,видео карта,nvidia geforce gtx 1060 or amd rx 580
directx,version 11,directx,version 11
диск,25 gb,диск,30 gb
звуковая карта,directx-compatible,звуковая карта,directx-compatible
,,,
windows_min_The Forest,windows_min_The Forest,windows_req_The Forest,windows_req_The Forest
операционная система,windows 7,операционная система,windows 7
процессор,intel dual-core 2.4 ghz,процессор,quad core
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt,видео карта,nvidia geforce gtx 560
directx,version 9.0,directx,version 9.0
диск,5 gb,диск,5 gb
звуковая карта,directx-compatible,звуковая карта,directx-compatible
,,,
windows_min_Geometry Dash,windows_min_Geometry Dash
операционная система,mac os x 10.7
процессор,2.0+ ghz
оперативная память,512 mb
видео карта,opengl 2.0 support
,
windows_min_Portal 2,windows_min_Portal 2,macos_min_Portal 2,macos_min_Portal 2,linux_min_Portal 2,linux_min_Portal 2
операционная система,windows 7 / vista / xp,операционная система,mac os x 10.6.7 or higher,операционная система,ubuntu 12.04
процессор,"3.0 ghz p4, dual core 2.0 (or higher) or amd64x2 (or higher)",процессор,intel core duo (2ghz ),процессор,dual core from intel or amd at 2.8 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,video card must be 128 mb or more and with support for pixel shader 2.0b (ati radeon x800 or higher / nvidia geforce 7600 or higher / intel hd graphics 2000 or higher).,видео карта,ati radeon 2400 or higher / nvidia 8600m or higher / intel hd graphics 3000,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1"
directx,version 9.0c,диск,8 gb,диск,8 gb
диск,8 gb,,,звуковая карта,openal compatible sound card
,,,,,
windows_min_The Binding of Isaac: Rebirth,windows_min_The Binding of Isaac: Rebirth,windows_req_The Binding of Isaac: Rebirth,windows_req_The Binding of Isaac: Rebirth
операционная система,10.8,операционная система,10.9
процессор,core 2 duo,процессор,2.4 ghz dual core 2.0 (or higher)
оперативная память,2 gb,оперативная память,8 gb
видео карта,discreet video card,видео карта,discreet video card
диск,449 mb,диск,449 mb
,,,
windows_min_Monster Hunter: World,windows_min_Monster Hunter: World,windows_req_Monster Hunter: World,windows_req_Monster Hunter: World
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intel core™ i5-4460, 3.20ghz or amd fx™-6300",процессор,intel core™ i7 3770 3.4ghz or intel core™ i3 8350 4ghz or amd ryzen™ 5 1500x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x (vram 2gb),видео карта,nvidia geforce gtx 1060 (vram 3gb) or amd radeon™ rx 570 (vram 4gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_Red Dead Redemption 2,windows_min_Red Dead Redemption 2,windows_req_Red Dead Redemption 2,windows_req_Red Dead Redemption 2
операционная система,windows 7 - service pack 1 (6.1.7601),операционная система,windows 10 - april 2018 update (v1803)
процессор,intel core™ i5-2500k / amd fx-6300,процессор,intel core™ i7-4770k / amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 770 2gb / amd radeon r9 280 3gb,видео карта,nvidia geforce gtx 1060 6gb / amd radeon rx 480 4gb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,150 gb,диск,150 gb
,,,
windows_min_DARK SOULS™ III,windows_min_DARK SOULS™ III,windows_req_DARK SOULS™ III,windows_req_DARK SOULS™ III
операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit",операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit"
процессор,intel core i3-2100 / amd fx-6300,процессор,intel core i7-3770 / amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti / ati radeon hd 7950,видео карта,nvidia geforce gtx 970 / ati radeon r9 series
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звуковая карта,directx 11 sound device,звуковая карта,directx 11 sound device
,,,
windows_min_7 Days to Die,windows_min_7 Days to Die,windows_req_7 Days to Die,windows_req_7 Days to Die,macos_min_7 Days to Die,macos_min_7 Days to Die,macos_req_7 Days to Die,macos_req_7 Days to Die,linux_min_7 Days to Die,linux_min_7 Days to Die,linux_req_7 Days to Die,linux_req_7 Days to Die
операционная система,windows 7 or higher (),операционная система,windows 7 or higher (),операционная система,10.13,операционная система,10.13,операционная система,ubuntu 16.04 (),операционная система,ubuntu 18.04 ()
процессор,2.8 ghz quad core cpu,процессор,3.2 ghz quad core cpu or faster,процессор,2.8 ghz quad core cpu,процессор,3.2 ghz quad core cpu or faster,процессор,2.8 ghz quad core cpu,процессор,3.2 ghz quad core cpu or faster
оперативная память,8 gb,оперативная память,12 gb,оперативная память,8 gb,оперативная память,12 gb,оперативная память,8 gb,оперативная память,12 gb
видео карта,2 gb dedicated memory,видео карта,4 gb dedicated memory,видео карта,2 gb dedicated memory,видео карта,4 gb dedicated memory,видео карта,2 gb dedicated memory,видео карта,4 gb dedicated memory
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,15 gb,диск,15 gb,диск,15 gb,диск,15 gb
диск,15 gb,диск,15 gb,дополнительно,running the dedicated server and client on the same computer will double requirements. also future releases may require more hard drive space.,дополнительно,running the dedicated server and client on the same computer will double requirements. also future releases may require more hard drive space.,дополнительно,running the dedicated server and client on the same computer will double requirements. also future releases may require more hard drive space.,дополнительно,running the dedicated server and client on the same computer will double requirements. also future releases may require more hard drive space.
звуковая карта,sound card: directx compatible,звуковая карта,sound card: directx compatible,,,,,,,,
,,,,,,,,,,,
windows_min_Borderlands 2,windows_min_Borderlands 2,windows_req_Borderlands 2,windows_req_Borderlands 2
операционная система,10.12 (sierra),операционная система,10.12 (sierra)
процессор,2.4 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core
оперативная память,4 gb,оперативная память,4 gb
диск,13 gb,диск,—
video memory,256 mb,video memory,512 mb
видео карта,ati radeon hd 2600 / nvidia geforce 8800/ intel hd 3000,видео карта,ati radeon hd 5750 / nvidia geforce 650m / intel hd 4000
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще",other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще"
additional,macintosh mouse and keyboard. borderlands 2 supports both the xbox 360 wired gamepad and the playstation 3 dualshock 3 wireless controller,additional,—
,,,
windows_min_Mount & Blade II: Bannerlord,windows_min_Mount & Blade II: Bannerlord,windows_req_Mount & Blade II: Bannerlord,windows_req_Mount & Blade II: Bannerlord
операционная система,windows 7 ( only),операционная система,windows 10 ( only)
процессор,intel core™ i3-8100 / amd ryzen™ 3 1200,процессор,intel core™ i5-9600k / amd ryzen™ 5 3600x
оперативная память,6 gb,оперативная память,8 gb
видео карта,intel uhd graphics 630 / nvidia geforce gtx 660 2gb / amd radeon™ hd 7850 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon™ rx 580
диск,60 gb,диск,60 gb
,,,
windows_min_No Man's Sky,windows_min_No Man's Sky
операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i3
оперативная память,8 gb
видео карта,"nvidia gtx 480, amd radeon 7870"
,
windows_min_People Playground,windows_min_People Playground,windows_req_People Playground,windows_req_People Playground
операционная система,windows 7 sp2+,операционная система,windows 10
процессор,2 ghz,процессор,3 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities,видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10,directx,version 12
диск,350 mb,диск,1 gb
,,,
windows_min_Arma 3,windows_min_Arma 3,windows_req_Arma 3,windows_req_Arma 3
операционная система,windows 7 sp1 (64bit),операционная система,windows 7 / 8 / 10 (64bit)
процессор,intel dual-core 2.4 ghz or amd dual-core athlon 2.5 ghz,процессор,intel core i5-4460 or amd fx 4300
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 9800gt / amd radeon hd 5670 / intel hd graphics 4000 with 512 mb vram,видео карта,nvidia geforce gtx 660 / amd radeon hd 7800 series with 2 gb vram
directx,10,directx,11
диск,45 gb free space,диск,"70 gb free space, ssd / hybrid hdd / sshd storage"
,,,
windows_min_New World,windows_min_New World,windows_req_New World,windows_req_New World
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-2400 / amd cpu with 4 physical cores @ 3ghz,процессор,intel core™ i7-2600k / amd ryzen 5 1400
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 670 2gb / amd radeon r9 280,видео карта,nvidia geforce gtx 970 / amd radeon r9 390x
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_Z1 Battle Royale,windows_min_Z1 Battle Royale,windows_req_Z1 Battle Royale,windows_req_Z1 Battle Royale
операционная система,"windows 7, 8, 8.1, 10 ( only)",операционная система,"windows 7, 8, 8.1, 10 ( only)"
процессор,intel i5 quad-core,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 series or higher,видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Hollow Knight,windows_min_Hollow Knight,windows_req_Hollow Knight,windows_req_Hollow Knight,macos_min_Hollow Knight,macos_min_Hollow Knight,macos_req_Hollow Knight,macos_req_Hollow Knight,linux_min_Hollow Knight,linux_min_Hollow Knight,linux_req_Hollow Knight,linux_req_Hollow Knight
операционная система,windows 7 (64bit),операционная система,windows 10 (64bit),операционная система,mac os 10.13 (64bit),операционная система,mac os 10.13 (64bit),операционная система,ubuntu 16.04 lts (64bit),операционная система,ubuntu 16.04 lts (64bit)
процессор,intel core 2 duo e5200,процессор,intel core i5,процессор,intel core i3,процессор,intel core i5,процессор,intel core 2 duo e5200,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 9800gtx+ (1gb),видео карта,geforce gtx 560,видео карта,geforce gtx 470,видео карта,geforce gtx 570,видео карта,geforce 9800gtx+ (1gb),видео карта,geforce gtx 560
directx,version 10,directx,version 11,диск,9 gb,диск,9 gb,диск,9 gb,диск,9 gb
диск,9 gb,диск,9 gb,дополнительно,"1080p, 16:9 recommended",дополнительно,"1080p, 16:9 recommended",дополнительно,"1080p, 16:9 recommended",дополнительно,"1080p, 16:9 recommended"
,,,,,,,,,,,
windows_min_Sea of Thieves,windows_min_Sea of Thieves,windows_req_Sea of Thieves,windows_req_Sea of Thieves
операционная система,windows 10,операционная система,windows 10
процессор,intel q9450 @ 2.6ghz or amd phenom ii x6 @ 3.3 ghz,процессор,intel i5 4690 @ 3.5ghz or amd fx-8150 @ 3.6 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 or amd radeon 7750,видео карта,nvidia geforce gtx 770 or amd radeon r9 380x
directx,version 11,directx,version 11
,,,
windows_min_Hades,windows_min_Hades,windows_req_Hades,windows_req_Hades
операционная система,10.13.6+,операционная система,macos 10.14+
процессор,dual core 2.4ghz,процессор,quad core 3.0 ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 5000 (must support metal api),видео карта,intel uhd 630+ (must support metal api)
диск,15 gb gb,диск,20 gb
,,,
windows_min_Far Cry® 5,windows_min_Far Cry® 5,windows_req_Far Cry® 5,windows_req_Far Cry® 5
операционная система,"windows 8.1, windows 10 ( versions only)",операционная система,"windows 8.1, windows 10 ( versions only)"
процессор,intel core i5-2400 @ 3.1 ghz or amd fx-6300 @ 3.5 ghz,процессор,intel core i7-4770 @ 3.4 ghz or amd ryzen 5 1600 @ 3.2 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 670 or amd r9 270 (2gb vram with shader model 5.0 ),видео карта,nvidia geforce gtx 970 or amd r9 290x (4gb vram with shader model 5.0 )
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Assassin's Creed® Odyssey,windows_min_Assassin's Creed® Odyssey,windows_req_Assassin's Creed® Odyssey,windows_req_Assassin's Creed® Odyssey
операционная система,"windows 8.1, windows 10 (64bit versions only)",операционная система,"windows 8.1, windows 10 (64bit versions only)"
процессор,"amd fx 6300 @ 3.8 ghz, ryzen 3 - 1200, intel core i5 2400 @ 3.1 ghz (more details here)",процессор,"amd fx-8350 @ 4.0 ghz, ryzen 5 - 1400, intel core i7-3770 @ 3.5 ghz (more details here)"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"amd radeon r9 285, nvidia geforce gtx 660 (2gb vram with shader model 5.0) (more details here)",видео карта,"amd radeon r9 290, nvidia geforce gtx 970 (4gb vram with shader model 5.0) (more details here)"
directx,version 11,directx,—
диск,46+ gb,диск,46+ gb
,,,
windows_min_Tomb Raider,windows_min_Tomb Raider,windows_req_Tomb Raider,windows_req_Tomb Raider,macos_min_Tomb Raider,macos_min_Tomb Raider,macos_req_Tomb Raider,macos_req_Tomb Raider,linux_min_Tomb Raider,linux_min_Tomb Raider,linux_req_Tomb Raider,linux_req_Tomb Raider
операционная система,"windows xp service pack 3, windows vista,7,8 (32bit/64bit)",операционная система,"windows vista, windows 7 or windows 8",операционная система,macos 10.14,операционная система,—,операционная система,ubuntu 14.04 or steam os 2.0 (),операционная система,ubuntu 14.04 or steam os 2.0 ()
процессор,"dual core cpu: amd athlon64 x2 2.1 ghz (4050+), intel core2 duo 1.86 ghz (e6300)",процессор,"quad core cpu: amd phenom ii x4 955, intel core i5-750",процессор,1.1 ghz intel core m,процессор,—,процессор,intel i3 or amd fx-6300,процессор,intel i5
оперативная память,1gb memory (2gb on vista),оперативная память,4 gb,оперативная память,4gb,оперативная память,—,оперативная память,4gb memory,оперативная память,8gb memory
видео карта,"directx 9 graphics card with 512mb video: amd radeon hd 2600 xt, nvidia 8600",видео карта,"directx 11 graphics card with 1gb video: amd radeon hd 5870, nvidia gtx 480",видео карта,"512mb nvidia 640m, 2gb amd m290, 1.5gb intel hd 4000",видео карта,—,диск,15 gb hd space,диск,15 gb hd space
directx,9.0c,directx,11,диск,14gb,диск,—,видео карта,"nvidia geforce 640 with 1gb of video memory (driver version 364.12 tested), amd r7 260x (driver version mesa 11.2 tested).",видео карта,"nvidia geforce 760 with 3gb of video memory, (driver version 364.12 tested)"
диск,12 gb hd space,диск,12 gb hd space,,,,,,,,
,,,,,,,,,,,
windows_min_DOOM Eternal,windows_min_DOOM Eternal,windows_req_DOOM Eternal,windows_req_DOOM Eternal
операционная система,windows 7 / windows 10,операционная система,windows 10
