windows_min_Dead Cells: Rise of the Giant,windows_min_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant
windows_min_Rabi-Ribi - Before Next Adventure,windows_min_Rabi-Ribi - Before Next Adventure,windows_req_Rabi-Ribi - Before Next Adventure,windows_req_Rabi-Ribi - Before Next Adventure
операционная система,windows xp or above,операционная система,windows xp or above
процессор,1.0 ghz or above,процессор,2.0 ghz or above
оперативная память,1 gb,оперативная память,2 gb
видео карта,any directx 9.0 supported card,видео карта,any non-integrated card with directx 9.0 support w/ 1280 x 720 or above
,,,
windows_min_WARRIORS OROCHI 4/OROCHI - Legendary Weapons Samurai Warriors Pack 4,windows_min_WARRIORS OROCHI 4/OROCHI - Legendary Weapons Samurai Warriors Pack 4,windows_req_WARRIORS OROCHI 4/OROCHI - Legendary Weapons Samurai Warriors Pack 4,windows_req_WARRIORS OROCHI 4/OROCHI - Legendary Weapons Samurai Warriors Pack 4
операционная система,win 7/8.1/10(64bit required),операционная система,win 7/8.1/10(64bit required)
процессор,core i5 2400 or over,процессор,core i7 3770 or over
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or over,видео карта,nvidia geforce gtx 960 or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
звуковая карта,directx 11 or over,звуковая карта,directx 11 or over
,,,
windows_min_New Day: Cataclysm,windows_min_New Day: Cataclysm,windows_req_New Day: Cataclysm,windows_req_New Day: Cataclysm
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-6600k,процессор,intel core™ i5-7600k
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia quadro k620,видео карта,nvidia gtx 980 ti
directx,version 9.0,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Dark Shadows - Army of Evil,windows_min_Dark Shadows - Army of Evil,windows_req_Dark Shadows - Army of Evil,windows_req_Dark Shadows - Army of Evil
операционная система,windows xp / vista / 7 / 8,операционная система,windows 7
процессор,intel core 2 duo with 2 ghz or similar,процессор,intel(r) core(tm) i5-2500 cpu @ 3.30ghz or similar
оперативная память,2 gb,оперативная память,4 gb
видео карта,amd radeon™ 1300 / nvidia geforce™ 6600,видео карта,amd radeon™ hd 6850 / nvidia geforce gtx 560
directx,version 9.0c,directx,version 9.0c
диск,2200 mb,диск,2200 mb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Aircraft War,windows_min_Aircraft War,windows_req_Aircraft War,windows_req_Aircraft War
операционная система,windows xp sp3,операционная система,windows 7 ultimate
процессор,intel pentium 4,процессор,intel core2 duo
оперативная память,256 mb,оперативная память,512 mb
видео карта,128 mb and directx 9 supported and pixel shader version 1.1 graphics card,видео карта,256 mb and directx 9 supported and pixel shader version 1.1 graphics card
directx,version 9.0c,directx,version 9.0c
диск,200 mb,диск,200 mb
,,,
windows_min_Closers: Character Starter Pack,windows_min_Closers: Character Starter Pack,windows_req_Closers: Character Starter Pack,windows_req_Closers: Character Starter Pack
операционная система,windows 7,операционная система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_LEGO® Marvel Super Heroes 2 - Marvel's Ant-Man and the Wasp Character and Level Pack,windows_min_LEGO® Marvel Super Heroes 2 - Marvel's Ant-Man and the Wasp Character and Level Pack,windows_req_LEGO® Marvel Super Heroes 2 - Marvel's Ant-Man and the Wasp Character and Level Pack,windows_req_LEGO® Marvel Super Heroes 2 - Marvel's Ant-Man and the Wasp Character and Level Pack
операционная система,macos 10.13.5,операционная система,—
процессор,1.8ghz intel core i3,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,—
,,,
windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Nergigante,windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Nergigante,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Nergigante,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Nergigante
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core™ i5 4460 or core™ i3 9100f / amd fx™-6300 or ryzen™ 3 3200g,процессор,intel core™ i7 3770 or core™ i3 8350 or core™ i3 9350f / amd ryzen™ 5 1500x or ryzen™ 5 3400g
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidiageforcegtx 760 or gtx1050 or amd radeon™ r7 260x or rx 560,видео карта,nvidia geforce gtx 1060 (vram 3gb) or gtx 1650 / amd radeon™ rx 480 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c ),звуковая карта,directsound (directx 9.0c )
,,,
