windows_min_Shootout on Cash Island,windows_min_Shootout on Cash Island,macos_min_Shootout on Cash Island,macos_min_Shootout on Cash Island,linux_min_Shootout on Cash Island,linux_min_Shootout on Cash Island
операционная система,windows xp,операционная система,os x lion 10.7.5,операционная система,ubuntu 12.04.4 lts
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel gma 900,видео карта,intel gma 950,видео карта,intel gma 900
диск,100 mb,диск,100 mb,диск,130 mb
,,,,,
windows_min_Touhou Kishinjou ~ Double Dealing Character.,windows_min_Touhou Kishinjou ~ Double Dealing Character.,windows_req_Touhou Kishinjou ~ Double Dealing Character.,windows_req_Touhou Kishinjou ~ Double Dealing Character.
операционная система,windows 7/8/10,операционная система,—
процессор,core 2 duo or faster,процессор,—
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,shader model 2.0 compatible,видео карта,—
directx,version 9.0c,directx,—
диск,500 mb,диск,—
звуковая карта,directsound compatible,звуковая карта,—
,,,
windows_min_Tomato Way,windows_min_Tomato Way,windows_req_Tomato Way,windows_req_Tomato Way
операционная система,windows 7,операционная система,windows 7
процессор,dual core cpu (2.2+ ghz dual core cpu ),процессор,any quad core or 3.0+ ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10, shader model 4 compliant graphics cards (geforce 8800 gt 512 mb, geforce gts 250, etc)",видео карта,directx 11 compliant graphics card (geforce gtx 480 and above)
directx,version 9.0c,directx,version 11
,,,
windows_min_Steampunk Tower 2,windows_min_Steampunk Tower 2,windows_req_Steampunk Tower 2,windows_req_Steampunk Tower 2
операционная система,osx 10.7 lion,операционная система,osx 10.7 lion
процессор,2.0 ghz,процессор,4.0 ghz
оперативная память,4 mb,оперативная память,8 mb
видео карта,dx11 compatible gpu with 1 gb vram,видео карта,dx11 compatible gpu with 2 gb vram
directx,version 11,directx,version 11
,,,
windows_min_Zero G Arena,windows_min_Zero G Arena
операционная система,mac os x 10.9.2
процессор,i3-2120
оперативная память,4 gb
видео карта,radeon hd6670
сеть,широкополосное подключение
диск,8 gb
,
windows_min_The Warlock of Firetop Mountain,windows_min_The Warlock of Firetop Mountain,windows_req_The Warlock of Firetop Mountain,windows_req_The Warlock of Firetop Mountain
операционная система,mac os 10.10.5+,операционная система,—
процессор,1.5 ghz,процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,hardware accelerated graphics with 1gb memory,видео карта,hardware accelerated graphics with 2gb memory
,,,
windows_min_Fly'N,windows_min_Fly'N,windows_req_Fly'N,windows_req_Fly'N
операционная система,windows xp 32 bits,операционная система,windows 7 32 bits
процессор,single core 2.4 ghz,процессор,dual core 2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"radeon 2400 pro or nvidia 8500 gt, shader model 3, 512 mb of video memory",видео карта,"radeon 4850 or nvidia 9800 gt, shader model 3, 512 mb of video memory"
directx,9.0c,directx,9.0c
диск,1500 mb hd space,диск,2000 mb hd space
