операционная система,windows xp / vista / 7 / 8 / 10 ( systems only),операционная система,osx 10.0+ ( systems only),операционная система,ubuntu 12.04 or higher ( systems only)
процессор,2.2ghz dual core,процессор,2.2ghz dual core,процессор,2.2ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,512 mb,видео карта,512 mb,видео карта,512 mb
диск,350 mb,диск,350 mb,диск,350 mb
,,,,,
windows_min_Salt,windows_min_Salt,windows_req_Salt,windows_req_Salt
операционная система,windows xp,операционная система,windows xp
процессор,2.0ghz dual core cpu,процессор,3.0ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,512mb video card with shader model 2.0,видео карта,1024mb video card with shader model 3.0
directx,version 9.0c,directx,version 11
,,,
windows_min_140,windows_min_140,macos_min_140,macos_min_140,linux_min_140,linux_min_140
операционная система,windows xp,операционная система,mac osx 10.6 snow leopard,операционная система,ubuntu or mint
процессор,1.5 ghz,процессор,1.5 ghz,процессор,1.5 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
directx,version 9.0c,диск,100 mb,диск,100 mb
,,,,,
windows_min_Cortex Command,windows_min_Cortex Command,windows_req_Cortex Command,windows_req_Cortex Command
операционная система,microsoft windows xp / vista / 7,операционная система,microsoft windows xp / vista / 7
процессор,1.6 ghz core 2 duo,процессор,—
оперативная память,1gb,оперативная память,—
диск,150mb hdd space,диск,150mb hdd space
видео карта,intel gma x3100,видео карта,—
additional,should run on any pc released within the past 5 years.,additional,should run on any pc released within the past 5 years.
osx,10.4 (osx tiger ),osx,—
,,,
windows_min_Tom Clancy's Splinter Cell®,windows_min_Tom Clancy's Splinter Cell®,windows_req_Tom Clancy's Splinter Cell®,windows_req_Tom Clancy's Splinter Cell®
операционная система,microsoft windows 2000/xp,операционная система,microsoft windows 2000/xp
процессор,pentium iii or amd athlon™ 800 mhz,процессор,pentium iii or amd athlon™ 1.0 ghz
system memory,256 mb of or above,system memory,256 mb of or above
видео карта,32 mb 3d video card (64,видео карта,64 mb 3d video card/
звуковая карта,direct x 8.1 compliant sound card (,звуковая карта,direct x 8.1 compliant sound card with surround system
directx,directx version 8.1 or higher,directx,direct x 8.1
диск,1.5 gb available hard disk space,диск,2.1 gb available hard disk space
мультиплеер,широкополосное подключение,мультиплеер,—
,,,
windows_min_Race The Sun,windows_min_Race The Sun,macos_min_Race The Sun,macos_min_Race The Sun,linux_min_Race The Sun,linux_min_Race The Sun
операционная система,"windows: xp, vista, 7, 8",операционная система,"mac os x: 10.7, 10.8, 10.9",операционная система,ubuntu 10.04 (and newer)
процессор,dual core,процессор,dual core,процессор,dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,sm2.0 () graphics card,видео карта,sm2.0 () graphics card,видео карта,sm2.0 () graphics card
,,,,,
"windows_min_Cook, Serve, Delicious! 2!!","windows_min_Cook, Serve, Delicious! 2!!","windows_req_Cook, Serve, Delicious! 2!!","windows_req_Cook, Serve, Delicious! 2!!","macos_min_Cook, Serve, Delicious! 2!!","macos_min_Cook, Serve, Delicious! 2!!","macos_req_Cook, Serve, Delicious! 2!!","macos_req_Cook, Serve, Delicious! 2!!","linux_min_Cook, Serve, Delicious! 2!!","linux_min_Cook, Serve, Delicious! 2!!","linux_req_Cook, Serve, Delicious! 2!!","linux_req_Cook, Serve, Delicious! 2!!"
операционная система,windows 7/8/10,операционная система,windows 7/8/10,операционная система,mac os x 10.8 and above,операционная система,—,операционная система,ubuntu 12.04 and above,операционная система,—
оперативная память,4 gb,оперативная память,8 gb,,,,,видео карта,opengl-capable graphics card with valid driver,видео карта,—
,,,,,,,,,,,
windows_min_Prince of Persia®: The Sands of Time,windows_min_Prince of Persia®: The Sands of Time
операционная система,windows® 2000/xp (only)
процессор,800 mhz pentium®; iii or amd athlon™
system memory,256 mb of
видео карта,"64 mb geforce™ 3 or higher, or ati® radeon™ 8500 or higher, matrox parhelia&trade;. (geforce4 mx not supported)"
звуковая карта,directx® 9.0 or higher compliant sound card
directx,directx® version 9.0c or higher
диск,1.5 gb available hard disk space
supported peripherals,thrustmaster firestorm dual analog 3
,
windows_min_Hellpoint,windows_min_Hellpoint,windows_req_Hellpoint,windows_req_Hellpoint
операционная система,osx el capitan (10.11),операционная система,osx el capitan (10.11)
процессор,"4 threads, 2.5+ ghz",процессор,"4 cores, 3+ ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 760,видео карта,geforce gtx 1050
directx,version 11,directx,version 11
,,,
windows_min_Stories: The Path of Destinies,windows_min_Stories: The Path of Destinies,windows_req_Stories: The Path of Destinies,windows_req_Stories: The Path of Destinies
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i3-2500k 2.0ghz+ / amd cpu phenom ii 570,процессор,intel cpu core i5 3770 3.4 ghz / amd cpu phenom ii x4 940
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce 8800 gtx, gt640, gt730, radeon hd 5850, hd graphics 530",видео карта,"geforce gtx 770, gpu radeon hd 7870"
directx,version 10,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Agony,windows_min_Agony,windows_req_Agony,windows_req_Agony
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 /10
процессор,"intel core i3 3.2 ghz, amd phenom ii x4 955 - 4 core, 3.2 ghz",процессор,"intel core i5-8400, amd ryzen 5 1600"
оперативная память,8 gb,оперативная память,16 gb
видео карта,radeon r9 280 or nvidia geforce gtx 660,видео карта,radeon rx 580 or nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
диск,17 gb,диск,17 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Wild Animal Racing,windows_min_Wild Animal Racing,macos_min_Wild Animal Racing,macos_min_Wild Animal Racing,macos_req_Wild Animal Racing,macos_req_Wild Animal Racing,linux_min_Wild Animal Racing,linux_min_Wild Animal Racing
операционная система,windows xp,операционная система,10.4,операционная система,—,операционная система,ubuntu 10.10
,,,,,,,
windows_min_Regions Of Ruin,windows_min_Regions Of Ruin,macos_min_Regions Of Ruin,macos_min_Regions Of Ruin,linux_min_Regions Of Ruin,linux_min_Regions Of Ruin
операционная система,windows 7,операционная система,10.10,операционная система,ubuntu 16.04
процессор,1 ghz intel core i5,процессор,1 ghz intel core i5,процессор,1 ghz intel
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,nvidia or amd above 512 mb dedicated,видео карта,1 ghz intel core i5,видео карта,1 ghz intel
directx,version 9.0c,диск,900 mb,диск,1 gb
диск,900 mb,звуковая карта,anything that works,звуковая карта,anything that works
,,,,,
windows_min_ NINE TRIALS,windows_min_ NINE TRIALS,windows_req_ NINE TRIALS,windows_req_ NINE TRIALS
операционная система,windows10,операционная система,windows10
процессор,intel core i5,процессор,intel core i7
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb,видео карта,nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
,,,
windows_min_Daymare: 1998,windows_min_Daymare: 1998,windows_req_Daymare: 1998,windows_req_Daymare: 1998
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intelcore i5-4460, 2.70ghz or amd fx-6300",процессор,intelcore i7-3770 or amd fx-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon r7 260x with 2 gb video,видео карта,nvidia geforce gtx 1060 or amd radeon rx 480 with 3gb vram
directx,version 11,directx,version 11
,,,
