windows_min_Under Waves,windows_min_Under Waves,windows_req_Under Waves,windows_req_Under Waves
windows_min_ZombieMaze,windows_min_ZombieMaze,windows_req_ZombieMaze,windows_req_ZombieMaze
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,i3,процессор,i3
оперативная память,100 mb,оперативная память,100 mb
видео карта,intel hd graphics 5000,видео карта,intel hd graphics 5000
диск,200 mb,диск,200 mb
,,,
windows_min_Monty on the Run,windows_min_Monty on the Run
оперативная память,40 mb
,
windows_min_Nordicandia,windows_min_Nordicandia,windows_req_Nordicandia,windows_req_Nordicandia
операционная система,ubuntu 18.04.5,операционная система,ubuntu 20.04.2.0
процессор,x64 architecture with sse2 instruction set support.,процессор,x64 architecture with sse2 instruction set support.
оперативная память,2 gb,оперативная память,4 gb
directx,version 10,directx,version 11
диск,2 gb,диск,4 gb
,,,
windows_min_Koatl el Defensor: Los tneles perdidos,windows_min_Koatl el Defensor: Los tneles perdidos,windows_req_Koatl el Defensor: Los tneles perdidos,windows_req_Koatl el Defensor: Los tneles perdidos
операционная система,windows 10,операционная система,windows 10
процессор,intel i5,процессор,intel(r) core(tm) i7-9700 cpu @ 3.00ghz 3.00 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gt 710,видео карта,geforce gt 710
directx,version 11,directx,version 12
,,,
windows_min_A toad well travelled,windows_min_A toad well travelled,windows_req_A toad well travelled,windows_req_A toad well travelled
операционная система,windows 8,операционная система,windows 10
процессор,intel core i5 or amd equivalent,процессор,intel core i5 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 7900 series,видео карта,nvidia geforce gtx 960 or amd equivalent
directx,version 9.0,directx,version 9.0
диск,200 mb,диск,200 mb
звуковая карта,integrated sound card,звуковая карта,creative soundblaster
,,,
windows_min_Godtail: First Cut,windows_min_Godtail: First Cut,windows_req_Godtail: First Cut,windows_req_Godtail: First Cut
операционная система,mac os 10.13,операционная система,mac os 10.13
процессор,intel core i3-4340,процессор,intel core i3-4340
оперативная память,8 gb,оперативная память,8 gb
видео карта,compatible opengl / vram 1gb,видео карта,compatible opengl / vram 1gb
диск,1 gb,диск,1 gb
,,,
windows_min_Touhou Hero of Ice Fairy,windows_min_Touhou Hero of Ice Fairy
операционная система,windows 10
процессор,intel i3-2100 / amd a8-5600k
оперативная память,8 gb
видео карта,geforce gtx 760
диск,2 gb
,
windows_min_Bounder,windows_min_Bounder
оперативная память,40 mb
,
windows_min_Jim The Spy,windows_min_Jim The Spy
операционная система,windows
процессор,s
,
windows_min_Pixel,windows_min_Pixel
операционная система,"windows xp, vista, 7, 8 or 10"
оперативная память,260 mb
,
windows_min_Chompies!,windows_min_Chompies!
операционная система,"10, 8, 7"
процессор,2.5
оперативная память,2 gb
,
windows_min_YOW,windows_min_YOW
операционная система,mac os x 10.12+
процессор,"3ghz or higher, m1+"
оперативная память,4 gb
видео карта,directx 11 compatible graphics card
,
