windows_min_Planet Nomads,windows_min_Planet Nomads,windows_req_Planet Nomads,windows_req_Planet Nomads,macos_min_Planet Nomads,macos_min_Planet Nomads,macos_req_Planet Nomads,macos_req_Planet Nomads,linux_min_Planet Nomads,linux_min_Planet Nomads,linux_req_Planet Nomads,linux_req_Planet Nomads
операционная система,winxp sp3,операционная система,win7,операционная система,10.6.8 snow leopard,операционная система,10.6.8 snow leopard,операционная система,ubuntu 12.04 lts,операционная система,ubuntu 12.04 lts
процессор,—,процессор,—,процессор,—,процессор,—,процессор,—,процессор,—
оперативная память,2 gb memory,оперативная память,4 gb memory,оперативная память,2 gb memory,оперативная память,8 gb memory,оперативная память,2 gb memory,оперативная память,8 gb memory
видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx),видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx),видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx),видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx),видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx),видео карта,geforce 8 series (8xxxx) or radeon hd4 series (hd4xxxx)
directx,9.0c,directx,9.0c,диск,850 mb free hard drive space,диск,850 mb free hard drive space,диск,850 mb free hard drive space,диск,850 mb free hard drive space
диск,850 mb free hard drive space,диск,850 mb free hard drive space,,,,,,,,
,,,,,,,,,,,
windows_min_Fragmented,windows_min_Fragmented,windows_req_Fragmented,windows_req_Fragmented
операционная система,"os required, windows vista",операционная система,"os required, windows 7, 8, 10"
процессор,dual core,процессор,quad core
видео карта,dx10 gpu with 1gb vram: nvidia gtx 460/ amd radeon 5850,видео карта,dx11 gpu with 3gb+ vram: nvidia gtx 970/ amd radeon 390
directx,version 10,directx,version 11
,,,
windows_min_Crimsonland,windows_min_Crimsonland,macos_min_Crimsonland,macos_min_Crimsonland,linux_min_Crimsonland,linux_min_Crimsonland
операционная система,windows xp / vista / 7,операционная система,10.6+,операционная система,ubuntu
процессор,1 ghz,процессор,1 ghz,процессор,1 ghz
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
directx,version 8.1,диск,200 mb,диск,200 mb
диск,200 mb,дополнительно,tested gamepads include ps4 and ps3 controllers. other modern gamepads work probably too.,,
,,,,,
windows_min_Neverending Nightmares,windows_min_Neverending Nightmares,macos_min_Neverending Nightmares,macos_min_Neverending Nightmares,linux_min_Neverending Nightmares,linux_min_Neverending Nightmares
операционная система,"windows xp, vista, 7, 8",операционная система,os x 10.7,операционная система,ubuntu 12.04
процессор,1.7ghz intel/amd cpu,процессор,1.7ghz intel/amd cpu,процессор,1.7ghz intel/amd cpu
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,opengl 2.0 compliant video card,видео карта,opengl 2.0 compliant video card,видео карта,opengl 2.0 compliant video card
,,,,,
windows_min_NOT A HERO,windows_min_NOT A HERO
операционная система,snow leopard 10.6
процессор,2.0 ghz +
оперативная память,1 gb
видео карта,2gb video memory
directx,version 9.0
диск,500 mb
,
windows_min_DOOM VFR,windows_min_DOOM VFR,windows_req_DOOM VFR,windows_req_DOOM VFR
операционная система,windows 7/8.1/10 ( versions),операционная система,windows 7/8.1/10 ( versions)
процессор,cpu: intel core i5-4590 or amd fx 8350,процессор,cpu: intel core i7-6700k or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1070 / amd radeon rx 480,видео карта,nvidia geforce gtx 1080 / amd rx vega 64
,,,
windows_min_Survive the Nights,windows_min_Survive the Nights,windows_req_Survive the Nights,windows_req_Survive the Nights
операционная система,os x lion 10.7,операционная система,os x mavericks
процессор,2ghz,процессор,3ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 760 or higher/amd radeon hd 7870,видео карта,nvidia gtx 1060 / amd radeon rx 480
directx,version 9.0,directx,version 11
сеть,—,сеть,широкополосное подключение
,,,
windows_min_Assassin's Creed Freedom Cry,windows_min_Assassin's Creed Freedom Cry,windows_req_Assassin's Creed Freedom Cry,windows_req_Assassin's Creed Freedom Cry
