windows_min_Bed Lying Simulator 2020,windows_min_Bed Lying Simulator 2020
операционна€ система,win 7/8.1/10 (64bit)
процессор,i7
оперативна€ пам€ть,8 gb
видео карта,gtx 660
directx,version 12
,
windows_min_Borderlands 2: Gunzerker Domination Pack,windows_min_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack
операционна€ система,windows xp sp2,операционна€ система,mac os x 10.8,операционна€ система,ubuntu 12.04
процессор,sse2 instruction set support,процессор,sse2 instruction set support,процессор,sse2 instruction set support
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,1 gb,оперативна€ пам€ть,1 gb
видео карта,shader model 3.0,видео карта,shader model 3.0,видео карта,shader model 3.0
directx,version 9.0,диск,1 gb,диск,1 gb
,,,,,
windows_min_Tales of BerseriaЩ - Idolm@ster Costumes Set,windows_min_Tales of BerseriaЩ - Idolm@ster Costumes Set,windows_req_Tales of BerseriaЩ - Idolm@ster Costumes Set,windows_req_Tales of BerseriaЩ - Idolm@ster Costumes Set
операционна€ система,"windows 7, 8, 10 ()",операционна€ система,"windows 7, 8, 10 ()"
процессор,"intel core 2 duo e8400 3.0ghz or amd phenom ii x2 550, 3.1ghz",процессор,"intel core i5-750, 2.66ghz or amd phenom ii x4 965, 3.2ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,geforce 9800 gtx or amd radeon hd 4850,видео карта,geforce 9800 gtx or amd radeon hd 4850
directx,version 9.0c,directx,version 9.0c
диск,15 gb,диск,15 gb
,,,
windows_min_ASRECorp,windows_min_ASRECorp
операционна€ система,windows operating system
процессор,intel core2 duo 1.5ghz
оперативна€ пам€ть,4 gb
видео карта,ati radeonhd 4550
,
windows_min_G.A.M.E.S - Beer For Developer,windows_min_G.A.M.E.S - Beer For Developer,windows_req_G.A.M.E.S - Beer For Developer,windows_req_G.A.M.E.S - Beer For Developer
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel(r) celeron(r) cpu n3350 @ 1.10ghz,процессор,intel(r) celeron(r) cpu n3350 @ 1.10ghz
видео карта,intel(r) hd graphics,видео карта,intel(r) hd graphics
диск,2637 mb,диск,3 gb
,,,
windows_min_Chaos Starter,windows_min_Chaos Starter,windows_req_Chaos Starter,windows_req_Chaos Starter
операционна€ система,"windows xp, 7, 8, 10",операционна€ система,"windows xp, 7, 8, 10"
процессор,dual core 2.4 ghz,процессор,dual core 2.4 ghz
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,geforce gtx 550,видео карта,geforce gtx 960
,,,
windows_min_Protocol VR,windows_min_Protocol VR,windows_req_Protocol VR,windows_req_Protocol VR
операционна€ система,win 7 or higher,операционна€ система,win 10
процессор,intel core i5-4590 (amd fx 8350),процессор,intel core i5-4590 (amd fx 8350)
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 970 (amd radeon r9 290),видео карта,geforce gtx 970 (amd radeon r9 290)
directx,version 9.0,directx,version 11
,,,
windows_min_Kritika:REBOOT,windows_min_Kritika:REBOOT,windows_req_Kritika:REBOOT,windows_req_Kritika:REBOOT
операционна€ система,windows 7 64bit or higher,операционна€ система,windows 7 64bit or higher
процессор,dual core (2ghz) or higher,процессор,quad core (2ghz) or higher
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,geforce 7600 / radeon 4650,видео карта,geforce 9600 / radeon 2850
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Chronicles of King Arthur - Episode 1: Excalibur,windows_min_The Chronicles of King Arthur - Episode 1: Excalibur,windows_req_The Chronicles of King Arthur - Episode 1: Excalibur,windows_req_The Chronicles of King Arthur - Episode 1: Excalibur
операционна€ система,"windows xp, vista, 7, 8, 10",операционна€ система,"windows xp, vista, 7, 8, 10"
процессор,1.2 ghz cpu,процессор,1.5 ghz cpu
оперативна€ пам€ть,500 mb,оперативна€ пам€ть,500 mb
видео карта,256 mb,видео карта,256 mb
directx,version 9.0,directx,version 9.0
диск,3 gb,диск,3 gb
,,,
windows_min_Troll and IЩ,windows_min_Troll and IЩ,windows_req_Troll and IЩ,windows_req_Troll and IЩ
операционна€ система,windows 10,операционна€ система,windows 10
процессор,intel i5,процессор,intel i7
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,"2gb of vram, nvidia 6 series",видео карта,"3gb of vram, nvidia 7 series or above"
диск,19 gb,диск,19 gb
,,,
windows_min_Bit Odyssey,windows_min_Bit Odyssey
операционна€ система,"minimum windows xp sp3 operating system. supports vista, 7 and 8"
процессор,200 mhz pentium or higher
оперативна€ пам€ть,256 mb
видео карта,must support minimum of direct3d 9
,
