windows_min_Outpost Defender 2-Beta,windows_min_Outpost Defender 2-Beta
операционная система,windows xp/vista/7/8/8.1/10
процессор,1ghz
видео карта,256mb video memory
,
windows_min_Jumping Jack,windows_min_Jumping Jack
оперативная память,50 mb
,
windows_min_Baka Adventures,windows_min_Baka Adventures,windows_req_Baka Adventures,windows_req_Baka Adventures
диск,2 gb,диск,8 gb
,,,
windows_min_She is mad : Pay your demon,windows_min_She is mad : Pay your demon
операционная система,windows 10
процессор,any
оперативная память,200 mb
видео карта,any
directx,version 10
диск,300 mb
,
windows_min_Bhop Craze,windows_min_Bhop Craze,windows_req_Bhop Craze,windows_req_Bhop Craze
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7 7820x,процессор,amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 1050 ti,видео карта,gtx 1060
,,,
windows_min_Dwarfenstein,windows_min_Dwarfenstein,windows_req_Dwarfenstein,windows_req_Dwarfenstein
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-2300 |; amd ryzen 3 1200,процессор,intel core i5-6600 |; amd ryzen 5 3600x
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 660, 2 gb | amd radeon hd 7870, 2 gb",видео карта,"nvidia geforce gtx 1060, 3 gb | amd radeon rx vega 64"
диск,2 gb,диск,2 gb
,,,
windows_min_For another day,windows_min_For another day,windows_req_For another day,windows_req_For another day
операционная система,windows 7,операционная система,windows 10
процессор,2.2 ghz quad core or faster,процессор,3 ghz quad core or faster
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 1060,видео карта,nvidia geforce gtx 1660
,,,
windows_min_ThanksTaking,windows_min_ThanksTaking
операционная система,requires a and operating system
процессор,dual core 2.00ghz
оперативная память,2 gb
видео карта,intel hd 520
диск,100 mb
,
windows_min_Brave Survivor,windows_min_Brave Survivor,windows_req_Brave Survivor,windows_req_Brave Survivor
операционная система,windows xp\ vista \ 7 \ 8 or higher,операционная система,windows 10
процессор,dual core 2.0 ghz or higher,процессор,intel core i3
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,intel hd graphics,видео карта,nvidia gtx 1030
,,,
windows_min_Personal Space,windows_min_Personal Space
операционная система,7 / 8 / 10
процессор,1.2ghz
оперативная память,2 gb
видео карта,128 mb
,
windows_min_Outnumbered,windows_min_Outnumbered,windows_req_Outnumbered,windows_req_Outnumbered
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7-4790s / amd fx-9590,процессор,intel core i7-6900k / amd ryzen 5 3500x
видео карта,nvidia gtx 970 / amd r9 290x,видео карта,geforce gtx 1080 / amd rx 5700 xt.
,,,
windows_min_Cosmic Purge,windows_min_Cosmic Purge
операционная система,windows 10 (64bit)
процессор,intel i5-6500
оперативная память,8 gb
видео карта,nvidia geforce gtx 970
,
windows_min_Pitchfork Kingdom,windows_min_Pitchfork Kingdom,windows_req_Pitchfork Kingdom,windows_req_Pitchfork Kingdom
операционная система,win7-,операционная система,win10 -
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Village Guardians,windows_min_Village Guardians
,
windows_min_Scavenger's Deep,windows_min_Scavenger's Deep
,
windows_min_StudioS Fighters: Climax Champions,windows_min_StudioS Fighters: Climax Champions
операционная система,windows 7/8/8.1/10
процессор,intel pentium3 1ghz
оперативная память,4 gb
видео карта,integrated graphics chip
directx,version 9.0
диск,400 mb
звуковая карта,integrated sound chip
,
windows_min_GoRogue,windows_min_GoRogue,windows_req_GoRogue,windows_req_GoRogue
операционная система,macos big sur 11.6.5,операционная система,macos big sur 11.6.5
процессор,intel,процессор,intel
оперативная память,4 gb,оперативная память,8 gb
видео карта,ati radeon / nvidia geforce,видео карта,ati radeon / nvidia geforce
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Dungeon Fall,windows_min_Dungeon Fall
операционная система,windows 7
процессор,—
,
