directx,version 8.0a,directx,version 11
диск,1 gb,диск,1 gb
дополнительно,"the game works in every pc ,but it not work at the old version of windows",дополнительно,the game works in every pc greater than old version of windows
,,,
windows_min_Monsterlands,windows_min_Monsterlands,macos_min_Monsterlands,macos_min_Monsterlands,linux_min_Monsterlands,linux_min_Monsterlands
операционная система,windows 10 and above,операционная система,macos 10.11+,операционная система,linux-based distro
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 mb
видео карта,512 mb video memory,видео карта,512 mb video memory,видео карта,512 mb video memory
,,,,,
windows_min_Meat Beating: The Second Coming,windows_min_Meat Beating: The Second Coming
операционная система,windows 10
процессор,core i3 2.4 ghz
оперативная память,1 mb
видео карта,intel hd 4000
directx,version 11
диск,400 mb
звуковая карта,na
,
windows_min_Hero of war,windows_min_Hero of war,windows_req_Hero of war,windows_req_Hero of war
операционная система,windows,операционная система,windows 10
процессор,i3,процессор,i5
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,"geforce 2g dedicated, compatible with open gl 2.1"
диск,180 mb,диск,180 mb
,,,
windows_min_Final Vendetta,windows_min_Final Vendetta,macos_min_Final Vendetta,macos_min_Final Vendetta,linux_min_Final Vendetta,linux_min_Final Vendetta
операционная система,windows 7/8.x/10,операционная система,mac os x 10.10+,операционная система,ubuntu 16.04 and ubuntu 18.04
процессор,intel core i5,процессор,intel core i5,процессор,intel core i5 (x64 architecture with sse2 instruction set support)
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,1gb vram,видео карта,metal capable intel and amd gpus 1gb vram,видео карта,"1gb vram opengl 3.2+, vulkan capable"
directx,version 10,диск,500 mb,диск,500 mb
диск,500 mb,звуковая карта,any compatible soundcard,звуковая карта,any compatible soundcard
звуковая карта,any compatible soundcard,дополнительно,2 player requires at least one controller,дополнительно,2 player requires at least one controller
,,,,,
