операционная система,"windows 7, windows 8.1, windows 10( version)",операционная система,"windows 7, windows 8.1, windows 10 ( version)"
процессор,"intel i3 8130u(2cores, 2.3ghz)",процессор,"intel i5 2500(4 core, 3.3hgz)"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 730,видео карта,nvidia geforce gtx 1050
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Creative Destruction,windows_min_Creative Destruction,windows_req_Creative Destruction,windows_req_Creative Destruction
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-4160,процессор,intel core i5-6500
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4600,видео карта,nvidia geforce gtx 1050
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_FIGHT KNIGHT,windows_min_FIGHT KNIGHT
операционная система,windows 7
процессор,intel i3-3110m (2.40ghz)
оперативная память,8 gb
видео карта,integrated graphics card
directx,version 11
диск,300 mb
,
windows_min_Renegade Ops,windows_min_Renegade Ops,windows_req_Renegade Ops,windows_req_Renegade Ops
операционная система,microsoft windows vista (windows xp not supported),операционная система,windows 7
процессор,intel corer 2 duo 2.6 ghz or amd phenom x3 2.4ghz or similar,процессор,intel corer i5 m540 or similar
оперативная память,2gb system memory,оперативная память,3gb system memory
видео карта,dx10.1 compatible graphics card with 256 mb memory,видео карта,dx10.1 compatible graphics card with 512 mb memory (nvidia geforce gts 250 series/ ati radeon hd 5750 series)
directx,microsoft directx 10.1,directx,microsoft directx 10.1
диск,10gb,диск,10gb
звуковая карта,100% directx 10.1 compatible sound card,звуковая карта,100% directx 10.1 compatible dolby digital 5.1 sound card
,,,
windows_min_Rocket Arena,windows_min_Rocket Arena,windows_req_Rocket Arena,windows_req_Rocket Arena
операционная система,windows 7,операционная система,windows 10
процессор,phenom x3 8650 /core i3,процессор,phenom ii x3 /core i5
оперативная память,4 gb,оперативная память,6 gb
видео карта,radeon hd 4850 / geforce gtx 460,видео карта,radeon rx 480 / geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Hellbound,windows_min_Hellbound,windows_req_Hellbound,windows_req_Hellbound
операционная система,windows 7 and later,операционная система,windows 7 and later
процессор,md phenom ii x4-945 / intel core 2 quad 6600,процессор,amd fx-8320 / intel i5-2400
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd r7 240 gb / nvidia gt 730 2gb / intel hd 530,видео карта,amd r9 290 4gb / nvidia gtx 770 4gb
,,,
windows_min_You Must Build A Boat,windows_min_You Must Build A Boat,windows_req_You Must Build A Boat,windows_req_You Must Build A Boat,macos_min_You Must Build A Boat,macos_min_You Must Build A Boat,macos_req_You Must Build A Boat,macos_req_You Must Build A Boat,linux_min_You Must Build A Boat,linux_min_You Must Build A Boat,linux_req_You Must Build A Boat,linux_req_You Must Build A Boat
операционная система,windows xp,операционная система,windows 7,операционная система,osx 10.5,операционная система,osx 10.8,операционная система,ubuntu 12.04 32-bit or ubuntu 12.10 32-bit,операционная система,ubuntu 12.04 32-bit or ubuntu 12.10 32-bit
процессор,core2duo,процессор,core2duo,процессор,core2duo,процессор,core2duo,процессор,2.6ghz single core,процессор,2.6ghz single core
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia),видео карта,opengl 2.0 compatible video card with 256 mb shared or dedicated (ati or nvidia)
directx,version 9.0c,directx,version 9.0c,диск,150 mb,диск,2 gb,диск,150 mb,диск,2 gb
,,,,,,,,,,,
windows_min_Red Faction II,windows_min_Red Faction II
операционная система,windows 2000/xp
directx,directx 8.1
процессор,pentium iii 500 mhz
оперативная память,128 mb
видео карта,3d graphics accelerator card (16 mb)
,
windows_min_Crystar,windows_min_Crystar
операционная система,windows 7
процессор,intel core i3-4170 @ 3.70ghz
оперативная память,4 gb
видео карта,nvidia@ geforce@ gtx 460
directx,version 11
диск,10 gb
,
windows_min_Mushroom Wars 2,windows_min_Mushroom Wars 2,macos_min_Mushroom Wars 2,macos_min_Mushroom Wars 2,linux_min_Mushroom Wars 2,linux_min_Mushroom Wars 2
операционная система,windows 7,операционная система,os x mavericks 10.10,операционная система,ubuntu/steamos
процессор,dual core,процессор,dual core from intel,оперативная память,4 gb
оперативная память,2 gb,оперативная память,2 gb,диск,2 gb
видео карта,works fine on integrated laptop graphics like intel hd 3000,видео карта,"nvidia 320m or higher, or radeon hd 2400 or higher, or intel hd 3000 or higher",,
directx,version 9.0c,диск,2 gb,,
диск,2 gb,,,,
,,,,,
windows_min_Evoland Legendary Edition,windows_min_Evoland Legendary Edition,windows_req_Evoland Legendary Edition,windows_req_Evoland Legendary Edition
операционная система,10.6 leopard,операционная система,mavericks 10.9
процессор,intel 2.0ghz core 2 duo,процессор,intel i5 3.1 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 260 gts / radeon hd 4850,видео карта,nvidia gtx 660 / radeon hd 7800
directx,version 10,directx,version 10
диск,1 gb,диск,2 gb
,,,
windows_min_Suits: A Business RPG,windows_min_Suits: A Business RPG,windows_req_Suits: A Business RPG,windows_req_Suits: A Business RPG,macos_min_Suits: A Business RPG,macos_min_Suits: A Business RPG,macos_req_Suits: A Business RPG,macos_req_Suits: A Business RPG,linux_min_Suits: A Business RPG,linux_min_Suits: A Business RPG,linux_req_Suits: A Business RPG,linux_req_Suits: A Business RPG
операционная система,microsoft windows xp / vista / 7 (32-bit/),операционная система,recent,операционная система,mac osx 10.10,операционная система,—,операционная система,ubuntu 14.04 or steam os 2.0 (32 bit or ),операционная система,—
