windows_min_Skul: The Hero Slayer,windows_min_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer
windows_min_S.T.A.L.K.E.R.: Shadow of Chernobyl,windows_min_S.T.A.L.K.E.R.: Shadow of Chernobyl,windows_req_S.T.A.L.K.E.R.: Shadow of Chernobyl,windows_req_S.T.A.L.K.E.R.: Shadow of Chernobyl
операционная система,microsoft windows xp(service pack 2)/microsoft windows 2000 sp4,операционная система,microsoft windows xp/vista (sp1)
процессор,intel pentium 4 2.0 ghz / amd xp 2200+,процессор,intel core 2 duo e6400 / amd 64 x2 4200+
видео карта,128 mb directx 8.0 compatible card / nvidia geforce™ 5700 / ati radeon 9600,видео карта,256 mb directx 9.0c compatible card* / nvidia geforce™ 8800 gt / ati radeon hd 2900 xt
оперативная память,512 mb,оперативная память,2 gb
звуковая карта,directx 9.0 compatible sound card,звуковая карта,directx 9.0 compatible sound card
,,,
windows_min_Sniper Elite 3,windows_min_Sniper Elite 3
операционная система,microsoft windows vista (service pack 2) or windows 7 (service pack 1) or windows 8 or windows 8.1. windows xp is not supported.
процессор,dual-core cpu with sse3 (intel pentium d 3ghz / amd athlon™ 64 x2 4200)
оперативная память,2 gb
видео карта,microsoft directx 10.0 compatible graphics card with 256 mb of memory (nvidia geforce 8800 series / ati radeon™ hd 3870)
directx,version 11
сеть,широкополосное подключение
диск,18 gb
звуковая карта,microsoft directx 10.0 compatible sound card
,
windows_min_Infestation: Survivor Stories 2020,windows_min_Infestation: Survivor Stories 2020,windows_req_Infestation: Survivor Stories 2020,windows_req_Infestation: Survivor Stories 2020
операционная система,windows 7 sp1 (enhanced for os),операционная система,windows 10
процессор,2.4 ghz quad core,процессор,amd fx 8150 3.6 ghz or intel core™ i7 2600 3.4 ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia gtx 460 / ati radeon hd 5850,видео карта,—
directx,9.0,directx,9.0b
диск,10 gb hd space,диск,15 gb hd space
звуковая карта,windows compatible sound card,звуковая карта,windows compatible sound card
,,,
windows_min_Steep™,windows_min_Steep™,windows_req_Steep™,windows_req_Steep™
операционная система,windows 7 sp1 or windows 8.1 or windows 10( versions),операционная система,windows 7 sp1 or windows 8.1 or windows 10( versions)
процессор,intel core i5 2400s at 2.5 ghz or amd fx-4100 at 3.6 ghz,процессор,intel core i7 3770k at 3.5 ghz or amd fx-8350 at 4.0 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 560ti or radeon r7 260x,видео карта,geforce gtx 970 or radeon r9 390
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Dead Space™ 2,windows_min_Dead Space™ 2
процессор,2.8 ghz
оперативная память,"1 gb (xp), 2 gb (vista or windows 7)"
диск,"at least 10gb of hard drive space for installation, plus additional space for saved games"
видео карта,"nvidia geforce 6800 (7300, 7600 gs, and 8500 are below minimum system requirements), ati x1600 pro (x1300, x1300 pro and hd2400 are below minimum system requirements), 256mb video card and shader model 3.0 required"
,
windows_min_Assassin's Creed® Syndicate,windows_min_Assassin's Creed® Syndicate,windows_req_Assassin's Creed® Syndicate,windows_req_Assassin's Creed® Syndicate
операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions),операционная система,windows 7 sp1 or windows 8.1 or windows 10 (64bit versions)
процессор,intel core i5 2400s @ 2.5 ghz / amd fx 6350 @ 3.9 ghz,процессор,intel core i7 3770 @ 3.5 ghz / amd fx 8350 @ 4.0 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / amd radeon r9 270 (2gb vram with shader model 5.0),видео карта,nvidia geforce gtx 760 (4gb) or the newer gtx 970 (4gb) / amd radeon r9 280x (3gb of vram)
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_Control Ultimate Edition,windows_min_Control Ultimate Edition,windows_req_Control Ultimate Edition,windows_req_Control Ultimate Edition
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-4690 / amd fx 4350,процессор,intel core i5-7600k / amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 780 / amd radeon r9 280x,видео карта,nvidia geforce gtx 1660 / 1060 / amd radeon rx 580 amd |; for ray tracing: geforce rtx 2060
directx,version 11,directx,version 12
диск,42 gb,диск,42 gb
,,,
windows_min_Notes of Soul,windows_min_Notes of Soul,windows_req_Notes of Soul,windows_req_Notes of Soul
операционная система,"windows 7, windows 8.1,windows10",операционная система,"windows 7, windows 8.1,windows10"
процессор,intel core i3-4170 / amd fx-8120,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 460 1gbamd hd 6850 1gb,видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Serious Sam 3: BFE,windows_min_Serious Sam 3: BFE,windows_req_Serious Sam 3: BFE,windows_req_Serious Sam 3: BFE,macos_min_Serious Sam 3: BFE,macos_min_Serious Sam 3: BFE,macos_req_Serious Sam 3: BFE,macos_req_Serious Sam 3: BFE,linux_min_Serious Sam 3: BFE,linux_min_Serious Sam 3: BFE,linux_req_Serious Sam 3: BFE,linux_req_Serious Sam 3: BFE
операционная система,windows xp 32-bit (with service pack 2 or 3),операционная система,windows 7,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционная система,—,операционная система,linux ubuntu 12.04,операционная система,linux ubuntu 12.04
процессор,dual-core from intel or amd at 2.0 ghz,процессор,quad-core from intel (i5 / i7-series) or amd (phenom ii) at 3.0 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel i3 / i5 quad code 2.7+ ghz,процессор,dual-core from intel or amd at 2.8 ghz,процессор,quad-core from intel (i5-series) or amd (phenom ii) at 3.0 ghz
оперативная память,1gb,оперативная память,4gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2gb,оперативная память,4gb
видео карта,"nvidia geforce 7800 / 7900/8600 series, ati/amd radeon hd2600/3600 or 1800/x1900 series",видео карта,"nvidia geforce 480 / 580 gtx, ati/amd radeon hd 5870/6970",диск,6 gb,диск,6 gb,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11)",видео карта,"nvidia geforce 280 / 460 gtx, ati/amd radeon hd 4870/5770 (graphic drivers: nvidia 310, amd 12.11)"
directx,9.0c,directx,9.0c,видео карта,"nvidia geforce gt 120 / 9600m/320m, or ati (amd) radeon hd 4670. intel integrated gpus are not supported.",видео карта,"nvidia geforce 8800 / 9800/260, or ati (amd) radeon hd 4870",opengl,2.1,opengl,2.1
диск,4gb free hard drive space,диск,4gb free hard drive space,,,,,диск,4gb free hard drive space,диск,4gb free hard drive space
,,,,,,,,,,,
windows_min_Resident Evil 5,windows_min_Resident Evil 5,windows_req_Resident Evil 5,windows_req_Resident Evil 5
операционная система,windows 7,операционная система,windows 7
процессор,"intel core™ 2 quad 2.4ghz, amd phenom™ ii x4 3.4ghz",процессор,"intel core™ i5-3570, amd phenom™ ii x4 3.4ghz"
оперативная память,4gb,оперативная память,4gb
видео карта,"512 mb vram, nvidia geforce 9800 series, ati radeon hd 7770",видео карта,"512 mb vram, nvidia(r) geforce gtx 650, ati radeon hd 7770"
монитор,minimum 800 x 600 pixel resolution,монитор,minimum 1280 x 720 pixel resolution
звуковая карта,directsound compatible (directx 9.0c or higher),звуковая карта,directsound compatible (directx 9.0c or higher)
directx,directx 9.0c / shader 3.0,directx,directx 9.0c / shader 3.0
диск,15 gb free hard drive space,диск,15 gb free hard drive space
,,,
windows_min_Superliminal,windows_min_Superliminal,windows_req_Superliminal,windows_req_Superliminal,macos_min_Superliminal,macos_min_Superliminal,macos_req_Superliminal,macos_req_Superliminal,linux_min_Superliminal,linux_min_Superliminal,linux_req_Superliminal,linux_req_Superliminal
операционная система,windows 7,операционная система,windows 10,операционная система,sierra 10.12,операционная система,mojave 10.14,операционная система,glibc 2.17+ only,операционная система,glibc 2.17+ only
процессор,2.0ghz,процессор,2.4ghz,процессор,2.0ghz,процессор,2.4ghz,процессор,2.0ghz,процессор,2.4ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
