windows_min_In Celebration of Violence,windows_min_In Celebration of Violence,windows_req_In Celebration of Violence,windows_req_In Celebration of Violence,macos_min_In Celebration of Violence,macos_min_In Celebration of Violence,macos_req_In Celebration of Violence,macos_req_In Celebration of Violence,linux_min_In Celebration of Violence,linux_min_In Celebration of Violence,linux_req_In Celebration of Violence,linux_req_In Celebration of Violence
операционная система,7,операционная система,10,операционная система,10.9,операционная система,—,операционная система,tested on ubuntu 16 only,операционная система,—
процессор,athlon ii x3 @ 3.20ghz,процессор,—,процессор,1.6ghz intel core i5,процессор,—,процессор,athlon ii x3 @ 3.20ghz,процессор,—
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,amd radeon hd 5570,видео карта,—,видео карта,intel hd graphics 6000,видео карта,—,видео карта,amd radeon hd 5570,видео карта,—
диск,350 mb,диск,350 mb,диск,350 mb,диск,—,диск,350 mb,диск,—
звуковая карта,nay!,звуковая карта,the most expensive one.,,,,,,,,
,,,,,,,,,,,
windows_min_3000th Duel,windows_min_3000th Duel,windows_req_3000th Duel,windows_req_3000th Duel
операционная система,snow leopard 10.6,операционная система,mavericks 10.9
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 470,видео карта,geforce gtx 570
directx,version 11,directx,version 11
,,,
windows_min_Black Market of Bulletphilia ~ 100th Black Market.,windows_min_Black Market of Bulletphilia ~ 100th Black Market.
операционная система,windows 8.x/10
процессор,core 2 duo or faster
оперативная память,1024 mb
видео карта,shader model 2.0 compatible
directx,version 9.0
диск,350 mb
,
windows_min_Descent,windows_min_Descent
операционная система,"windows xp, 7, 8"
процессор,1 gigahertz or faster
оперативная память,1 gb
видео карта,3d graphics card compatible with directx 7
directx,version 7.0
сеть,широкополосное подключение
диск,32 mb
звуковая карта,sound blaster compatible
,
windows_min_Sparc,windows_min_Sparc
операционная система,windows 10 64bit
процессор,intel i3-6100 / amd fx4350
оперативная память,8 gb
видео карта,nvidia gtx 960
directx,version 11
сеть,широкополосное подключение
диск,8 gb
,
windows_min_Wrongworld,windows_min_Wrongworld
операционная система,windows xp
процессор,"yes, a is required. my 2011 middle-of-the-road laptop can just about cope. but to err on the side of caution and also try to sound a little less clueless about hardware, i'll say an intel ...  i3 is probably wise.  еще"
оперативная память,4 gb
видео карта,"you don't need a beast - as mentioned above, my ancient laptop (it's called larry, by the way) has something known as a radeon hd 6520g stuffed inside it, and it can just about deliver ...  30fps with all the settings on ""low"";. definitely wouldn't want to go older/lamer than that, but the fact you're actually looking at 3-dimensional games on steam makes me think you've probably already got that covered. but it is quite important that your graphics card supports directx 11. things can get a little wonky on dx10.  еще"
directx,version 11
диск,500 mb
,
windows_min_Rapture Rejects,windows_min_Rapture Rejects
операционная система,windows 7 and up
процессор,i3 and up
оперативная память,4 gb
видео карта,gt860 and up
сеть,широкополосное подключение
,
