directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Moving Out,windows_min_Moving Out,windows_req_Moving Out,windows_req_Moving Out
операционная система,os x mavericks 10.10,операционная система,—
процессор,dual core from intel,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"1.5gb video card required to play. nvidia 320m, radeon hd 2400, intel hd 3000",видео карта,—
directx,version 12,directx,—
,,,
windows_min_Gal*Gun 2,windows_min_Gal*Gun 2,windows_req_Gal*Gun 2,windows_req_Gal*Gun 2
операционная система,"windows 7, 8.1, 10 ( only)",операционная система,"windows 7, 8.1, 10 ( only)"
процессор,intel core i5-4670 / amd fx 8350,процессор,intel core i5-4670 / amd fx 8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970 / amd radeon rx 570,видео карта,nvidia geforce gtx 1080 / amd radeon rx 480
directx,version 11,directx,version 11
,,,
windows_min_Candleman: The Complete Journey,windows_min_Candleman: The Complete Journey,windows_req_Candleman: The Complete Journey,windows_req_Candleman: The Complete Journey
операционная система,osx version lion 10.7,операционная система,osx version lion 10.7
процессор,intel core 2 duo 2.2 ghz,процессор,intel quad code 3.2 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce gt 9600m/320m 512mb vram, amd radeon hd 4670 512mb vram (intel integrated gpus are not supported!)",видео карта,"nvidia geforce 480 gtx 1gb vram, amd radeon hd 5870 1gb vram (intel integrated gpus are not supported!)"
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Symphony,windows_min_Symphony,macos_min_Symphony,macos_min_Symphony,linux_min_Symphony,linux_min_Symphony
операционная система,windows xp sp3 / vista / 7,операционная система,os x 10.8,операционная система,major linux distributions from 2012
процессор,2 ghz,процессор,"dual core, 2 ghz or faster",процессор,"dual core, 2 ghz or faster"
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
диск,500 mb,видео карта,opengl 2.1 (with shader model 3 video card or higher),видео карта,opengl 2.1 (with shader model 3 video card or higher)
видео карта,"mb, directx 9.0c-compatible, shader model 3.0 or higher",hard drive,500 mb,hard drive,500 mb
directx,directx 9.0c,,,,
,,,,,
windows_min_The Red Solstice,windows_min_The Red Solstice
операционная система,windows 7
процессор,intel core i5-2320 cpu @ 3.00 ghz
оперативная память,4 gb
видео карта,ati radeon hd 3800 / nvidia geforce 9600 gt
сеть,широкополосное подключение
диск,2 gb
звуковая карта,a fine high definition audio device never hurt anyone
,
windows_min_Templar Battleforce,windows_min_Templar Battleforce,windows_req_Templar Battleforce,windows_req_Templar Battleforce,macos_min_Templar Battleforce,macos_min_Templar Battleforce,macos_req_Templar Battleforce,macos_req_Templar Battleforce,linux_min_Templar Battleforce,linux_min_Templar Battleforce,linux_req_Templar Battleforce,linux_req_Templar Battleforce
операционная система,"windows xp, windos vista, or windows 7 / 8 / 10",операционная система,windows 10,операционная система,"macos 10.13 (high sierra), 10.14 (mojave), 10.5 (catalina), 11 (big sur)",операционная система,macos 11 (big sur),операционная система,ubuntu 14+,операционная система,ubuntu 20
оперативная память,1024 mb,оперативная память,2048 mb,процессор,1.2 ghz,процессор,2.0+ ghz,процессор,1.2 ghz (32 or ),процессор,2.0 ghz (32 or )
видео карта,requires opengl 2.0 or higher,видео карта,opengl 2.0 or higher,оперативная память,1048 mb,оперативная память,2048 mb,оперативная память,1024 mb,оперативная память,2048 mb
диск,250 mb,диск,250 mb,видео карта,opengl 2.0 or higher,видео карта,opengl 2.0 or higher,видео карта,requires opengl 2.0 or higher,видео карта,requires opengl 2.0 or higher
,,,,,,,,,,,
windows_min_XIII,windows_min_XIII,windows_req_XIII,windows_req_XIII
операционная система,windows 10,операционная система,windows 10
процессор,i5-4460 cpu @ 3.20ghz (4 cpus),процессор,5-7400 cpu @ 3.00ghz (4 cpus)
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce 3gb+ // radeon 4gb+,видео карта,nvidia geforce 4gb+ // radeon 4gb+
,,,
windows_min_Beyond Gravity,windows_min_Beyond Gravity,macos_min_Beyond Gravity,macos_min_Beyond Gravity,linux_min_Beyond Gravity,linux_min_Beyond Gravity
операционная система,windows 7 or higher,операционная система,snow leopard or higher,операционная система,ubuntu 12
процессор,2.0 ghz dual core,процессор,2.0 ghz dual core,процессор,2.0 ghz dual core
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,intel hd3000 or higher with opengl 2.1 support,видео карта,intel hd3000 or higher with opengl 2.1 support,видео карта,intel hd3000 or higher with opengl 2.1 support
,,,,,
windows_min_Fights in Tight Spaces,windows_min_Fights in Tight Spaces,windows_req_Fights in Tight Spaces,windows_req_Fights in Tight Spaces
операционная система,windows,операционная система,—
процессор,multicore with sse2 instruction set support,процессор,—
